# Reference      Predicted      Error          #atoms         
-73.00294       -74.16314       1.16020         13.00000       
-61.33545       -60.41797       0.91747         10.00000       
-96.40155       -96.40155       0.00000         18.00000       
-61.89408       -62.05669       0.16261         11.00000       
-84.18726       -86.63347       2.44621         15.00000       
-84.62958       -86.84633       2.21675         15.00000       
-74.49237       -73.63346       0.85891         13.00000       
-84.33286       -86.08196       1.74910         15.00000       
-62.54868       -63.19576       0.64708         11.00000       
-56.74893       -58.79893       2.05000         10.00000       
-56.72541       -57.51792       0.79251         10.00000       
-55.29798       -60.00194       4.70396         10.00000       
-55.99074       -58.82177       2.83102         10.00000       
-55.89346       -58.29037       2.39691         10.00000       
-55.54916       -59.81097       4.26181         10.00000       
-55.83686       -60.44020       4.60334         10.00000       
-55.91594       -57.01027       1.09432         10.00000       
-56.21340       -60.28238       4.06898         10.00000       
-56.23141       -60.26255       4.03115         10.00000       
-55.91404       -57.59880       1.68476         10.00000       
-55.54594       -57.64123       2.09529         10.00000       
-56.22497       -59.58397       3.35901         10.00000       
-56.25671       -57.70353       1.44682         10.00000       
-56.32070       -58.70064       2.37994         10.00000       
-56.47396       -59.26983       2.79587         10.00000       
-56.36952       -59.27872       2.90920         10.00000       
-56.24419       -58.08299       1.83880         10.00000       
-56.69793       -59.30810       2.61017         10.00000       
-56.64964       -58.94961       2.29997         10.00000       
-56.22004       -59.97601       3.75597         10.00000       
-56.80335       -59.51423       2.71087         10.00000       
-56.62358       -60.11283       3.48925         10.00000       
-56.45073       -59.83360       3.38288         10.00000       
-56.07020       -57.33016       1.25996         10.00000       
-55.94722       -59.27784       3.33061         10.00000       
-56.19629       -59.72574       3.52946         10.00000       
-56.25920       -57.63717       1.37796         10.00000       
-56.33993       -59.97563       3.63570         10.00000       
-56.89052       -59.88681       2.99629         10.00000       
-56.47883       -58.78113       2.30230         10.00000       
-56.66164       -59.99272       3.33107         10.00000       
-56.39073       -59.95781       3.56708         10.00000       
-55.97855       -57.56212       1.58357         10.00000       
-56.44165       -59.05448       2.61283         10.00000       
-56.19369       -59.39876       3.20507         10.00000       
-56.16665       -59.91180       3.74515         10.00000       
-55.84648       -55.92705       0.08057         10.00000       
-55.87238       -55.79273       0.07965         10.00000       
-55.95191       -59.09195       3.14004         10.00000       
-56.56834       -58.62779       2.05945         10.00000       
-56.23583       -57.39576       1.15993         10.00000       
