Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -74.0344     -75.0641       1.0297   612.8
0.0005         -74.0344     -75.0644       1.0300   612.9
0.0010         -74.0344     -75.0647       1.0303   613.1
0.0015         -74.0344     -75.0649       1.0305   613.3
0.0020         -74.0344     -75.0652       1.0308   613.4
0.0025         -74.0344     -75.0654       1.0310   613.5
0.0030         -74.0344     -75.0655       1.0311   613.6
0.0035         -74.0344     -75.0656       1.0313   613.7
0.0040         -74.0344     -75.0657       1.0313   613.7
0.0045         -74.0344     -75.0656       1.0312   613.7
0.0050         -74.0344     -75.0654       1.0309   613.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -838.0533    -839.0830       1.0297   612.8
0.0005        -838.0533    -839.0659       1.0127   602.6
0.0010        -838.0526    -839.0162       0.9636   573.5
0.0015        -838.0514    -838.9454       0.8940   532.0
0.0020        -838.0503    -838.8718       0.8215   488.9
0.0025        -838.0498    -838.8126       0.7628   453.9
0.0030        -838.0501    -838.7756       0.7255   431.7
0.0035        -838.0508    -838.7564       0.7056   419.9
0.0040        -838.0514    -838.7443       0.6929   412.4
0.0045        -838.0515    -838.7301       0.6786   403.8
0.0050        -838.0514    -838.7104       0.6589   392.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -764.1240    -765.1536       1.0297   612.8
0.0005        -764.1240    -765.1366       1.0126   602.6
0.0010        -764.1234    -765.0869       0.9635   573.4
0.0015        -764.1224    -765.0161       0.8937   531.9
0.0020        -764.1214    -764.9429       0.8216   488.9
0.0025        -764.1210    -764.8850       0.7640   454.7
0.0030        -764.1214    -764.8497       0.7283   433.4
0.0035        -764.1222    -764.8324       0.7101   422.6
0.0040        -764.1229    -764.8215       0.6987   415.8
0.0045        -764.1231    -764.8084       0.6853   407.9
0.0050        -764.1230    -764.7901       0.6671   397.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -764.1239    -765.1536       1.0297   612.8
0.0005        -764.1239    -765.1365       1.0126   602.6
0.0010        -764.1234    -765.0868       0.9634   573.3
0.0015        -764.1223    -765.0160       0.8937   531.8
0.0020        -764.1213    -764.9429       0.8215   488.9
0.0025        -764.1209    -764.8849       0.7639   454.6
0.0030        -764.1214    -764.8496       0.7283   433.4
0.0035        -764.1222    -764.8323       0.7101   422.6
0.0040        -764.1228    -764.8214       0.6986   415.8
0.0045        -764.1230    -764.8083       0.6853   407.8
0.0050        -764.1230    -764.7900       0.6670   397.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -764.1239    -765.1536       1.0297   612.8
0.0005        -764.1239    -765.1365       1.0126   602.6
0.0010        -764.1234    -765.0868       0.9634   573.3
0.0015        -764.1223    -765.0160       0.8937   531.8
0.0020        -764.1213    -764.9429       0.8215   488.9
0.0025        -764.1209    -764.8849       0.7639   454.6
0.0030        -764.1214    -764.8496       0.7283   433.4
0.0035        -764.1222    -764.8323       0.7101   422.6
0.0040        -764.1228    -764.8214       0.6986   415.8
0.0045        -764.1230    -764.8083       0.6853   407.8
0.0050        -764.1230    -764.7900       0.6670   397.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -764.5931    -765.6227       1.0297   612.8
0.0005        -764.5932    -765.6060       1.0129   602.8
0.0010        -764.5926    -765.5554       0.9628   572.9
0.0015        -764.5916    -765.4821       0.8905   529.9
0.0020        -764.5904    -765.4056       0.8152   485.1
0.0025        -764.5899    -765.3457       0.7559   449.8
0.0030        -764.5903    -765.3121       0.7218   429.5
0.0035        -764.5914    -765.2996       0.7082   421.5
0.0040        -764.5923    -765.2941       0.7018   417.7
0.0045        -764.5927    -765.2824       0.6896   410.4
0.0050        -764.5927    -765.2581       0.6654   396.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -690.1558    -691.1854       1.0297   612.8
0.0005        -690.1557    -691.1687       1.0130   602.8
0.0010        -690.1552    -691.1194       0.9643   573.8
0.0015        -690.1541    -691.0491       0.8950   532.6
0.0020        -690.1529    -690.9770       0.8241   490.4
0.0025        -690.1525    -690.9225       0.7701   458.3
0.0030        -690.1529    -690.8944       0.7415   441.3
0.0035        -690.1540    -690.8870       0.7331   436.2
0.0040        -690.1549    -690.8857       0.7308   434.9
0.0045        -690.1554    -690.8764       0.7210   429.1
0.0050        -690.1553    -690.8523       0.6970   414.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -690.1558    -691.1854       1.0297   612.8
0.0005        -690.1557    -691.1687       1.0130   602.8
0.0010        -690.1552    -691.1194       0.9643   573.8
0.0015        -690.1541    -691.0491       0.8950   532.6
0.0020        -690.1530    -690.9770       0.8241   490.4
0.0025        -690.1525    -690.9225       0.7701   458.3
0.0030        -690.1529    -690.8944       0.7415   441.3
0.0035        -690.1540    -690.8870       0.7331   436.2
0.0040        -690.1549    -690.8857       0.7308   434.9
0.0045        -690.1554    -690.8764       0.7210   429.1
0.0050        -690.1553    -690.8523       0.6970   414.8
