# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.521940328363E-005  6.634336917392E+000 -3.776040690460E+001
  3.932200719717E-005  3.932303800261E-005  2.608608480640E-004  6.633223378626E+000 -3.775499696094E+001
  8.847741541455E-005  5.898842277178E-005  5.868740418342E-004  6.631367737929E+000 -3.774598131091E+001
  1.573003992804E-004  7.865844718600E-005  1.043175172768E-003  6.628770381158E+000 -3.773336133898E+001
  2.457963722417E-004  9.833465899987E-005  1.629646923249E-003  6.625431848482E+000 -3.771713898400E+001
  3.539722959954E-004  1.180186070023E-004  2.346138488835E-003  6.621352834352E+000 -3.769731673995E+001
  4.818366816528E-004  1.377118412759E-004  3.192465602651E-003  6.616534187465E+000 -3.767389765668E+001
  6.293995911626E-004  1.574159134560E-004  4.168410565246E-003  6.610976910715E+000 -3.764688534101E+001
  7.966726389934E-004  1.771323769912E-004  5.273722279914E-003  6.604682161138E+000 -3.761628395786E+001
  9.836689940782E-004  1.968627874036E-004  6.508116293531E-003  6.597651249842E+000 -3.758209823165E+001
  1.190403382016E-003  2.166087025496E-004  7.871274842895E-003  6.589885641937E+000 -3.754433344786E+001
  1.416892087541E-003  2.363716828821E-004  9.362846906645E-003  6.581386956447E+000 -3.750299545473E+001
  1.663152957245E-003  2.561532917128E-004  1.098244826275E-002  6.572156966213E+000 -3.745809066515E+001
  1.929205402573E-003  2.759550954757E-004  1.272966155165E-002  6.562197597788E+000 -3.740962605875E+001
  2.215070403074E-003  2.957786639908E-004  1.460403634504E-002  6.551510931320E+000 -3.735760918403E+001
  2.520770509919E-003  3.156255707300E-004  1.660508922038E-002  6.540099200420E+000 -3.730204816085E+001
  2.846329849692E-003  3.354973930828E-004  1.873230384116E-002  6.527964792023E+000 -3.724295168283E+001
  3.191774128432E-003  3.553957126240E-004  2.098513104299E-002  6.515110246233E+000 -3.718032902010E+001
  3.557130635959E-003  3.753221153821E-004  2.336298892555E-002  6.501538256152E+000 -3.711419002209E+001
  3.942428250463E-003  3.952781921092E-004  2.586526295043E-002  6.487251667705E+000 -3.704454512045E+001
  4.347697443358E-003  4.152655385525E-004  2.849130604502E-002  6.472253479439E+000 -3.697140533214E+001
  4.772970284417E-003  4.352857557265E-004  3.124043871236E-002  6.456546842312E+000 -3.689478226263E+001
  5.218280447175E-003  4.553404501876E-004  3.411194914716E-002  6.440135059468E+000 -3.681468810921E+001
  5.683663214611E-003  4.754312343099E-004  3.710509335798E-002  6.423021585990E+000 -3.673113566438E+001
  6.169155485101E-003  4.955597265624E-004  4.021909529567E-002  6.405210028641E+000 -3.664413831941E+001
  6.674795778653E-003  5.157275517886E-004  4.345314698808E-002  6.386704145583E+000 -3.655371006792E+001
  7.200624243425E-003  5.359363414876E-004  4.680640868125E-002  6.367507846076E+000 -3.645986550960E+001
  7.746682662519E-003  5.561877340970E-004  5.027800898703E-002  6.347625190162E+000 -3.636261985395E+001
  8.313014461060E-003  5.764833752781E-004  5.386704503720E-002  6.327060388323E+000 -3.626198892417E+001
  8.899664713569E-003  5.968249182030E-004  5.757258264438E-002  6.305817801119E+000 -3.615798916102E+001
  9.506680151615E-003  6.172140238444E-004  6.139365646948E-002  6.283901938803E+000 -3.605063762677E+001
  1.013410917176E-002  6.376523612666E-004  6.532927019610E-002  6.261317460913E+000 -3.593995200923E+001
  1.078200184380E-002  6.581416079202E-004  6.937839671174E-002  6.238069175837E+000 -3.582595062571E+001
  1.145040991929E-002  6.786834499385E-004  7.353997829603E-002  6.214162040357E+000 -3.570865242711E+001
  1.213938684040E-002  6.992795824361E-004  7.781292681606E-002  6.189601159156E+000 -3.558807700193E+001
  1.284898774901E-002  7.199317098113E-004  8.219612392877E-002  6.164391784309E+000 -3.546424458034E+001
  1.357926949620E-002  7.406415460502E-004  8.668842129076E-002  6.138539314738E+000 -3.533717603820E+001
  1.433029065191E-002  7.614108150341E-004  9.128864077530E-002  6.112049295638E+000 -3.520689290109E+001
  1.510211151509E-002  7.822412508494E-004  9.599557469685E-002  6.084927417870E+000 -3.507341734827E+001
  1.589479412397E-002  8.031345981016E-004  1.008079860432E-001  6.057179517325E+000 -3.493677221659E+001
  1.670840226680E-002  8.240926122311E-004  1.057246087149E-001  6.028811574250E+000 -3.479698100440E+001
  1.754300149280E-002  8.451170598329E-004  1.107441477733E-001  5.999829712546E+000 -3.465406787534E+001
  1.839865912351E-002  8.662097189796E-004  1.158652796948E-001  5.970240199019E+000 -3.450805766204E+001
  1.927544426443E-002  8.873723795480E-004  1.210866526351E-001  5.940049442605E+000 -3.435897586973E+001
  2.017342781695E-002  9.086068435487E-004  1.264068866997E-001  5.909263993548E+000 -3.420684867980E+001
  2.109268249069E-002  9.299149254598E-004  1.318245742232E-001  5.877890542543E+000 -3.405170295314E+001
  2.203328281612E-002  9.512984525641E-004  1.373382800570E-001  5.845935919835E+000 -3.389356623343E+001
  2.299530515754E-002  9.727592652906E-004  1.429465418654E-001  5.813407094279E+000 -3.373246675025E+001
  2.397882772639E-002  9.942992175591E-004  1.486478704288E-001  5.780311172352E+000 -3.356843342199E+001
  2.498393059493E-002  1.015920177130E-003  1.544407499572E-001  5.746655397123E+000 -3.340149585866E+001
  2.601069571024E-002  1.037624025957E-003  1.603236384113E-001  5.712447147177E+000 -3.323168436449E+001
  2.705920690860E-002  1.059412660547E-003  1.662949678316E-001  5.677693935492E+000 -3.305902994027E+001
  2.812954993023E-002  1.081287992318E-003  1.723531446780E-001  5.642403408264E+000 -3.288356428552E+001
  2.922181243436E-002  1.103251947969E-003  1.784965501763E-001  5.606583343684E+000 -3.270531980047E+001
  3.033608401473E-002  1.125306469854E-003  1.847235406748E-001  5.570241650667E+000 -3.252432958773E+001
  3.147245621542E-002  1.147453516351E-003  1.910324480097E-001  5.533386367525E+000 -3.234062745372E+001
  3.263102254705E-002  1.169695062249E-003  1.974215798786E-001  5.496025660585E+000 -3.215424790982E+001
  3.381187850339E-002  1.192033099133E-003  2.038892202248E-001  5.458167822757E+000 -3.196522617329E+001
  3.501512157837E-002  1.214469635775E-003  2.104336296291E-001  5.419821272041E+000 -3.177359816782E+001
  3.624085128345E-002  1.237006698530E-003  2.170530457113E-001  5.380994549982E+000 -3.157940052378E+001
  3.748916916538E-002  1.259646331739E-003  2.237456835421E-001  5.341696320060E+000 -3.138267057817E+001
  3.876017882444E-002  1.282390598136E-003  2.305097360624E-001  5.301935366026E+000 -3.118344637421E+001
  4.005398593302E-002  1.305241579266E-003  2.373433745135E-001  5.261720590177E+000 -3.098176666057E+001
  4.137069825459E-002  1.328201375897E-003  2.442447488759E-001  5.221061011564E+000 -3.077767089022E+001
  4.271042566323E-002  1.351272108452E-003  2.512119883181E-001  5.179965764144E+000 -3.057119921890E+001
  4.407328016341E-002  1.374455917436E-003  2.582432016544E-001  5.138444094862E+000 -3.036239250323E+001
  4.545937591035E-002  1.397754963880E-003  2.653364778121E-001  5.096505361674E+000 -3.015129229832E+001
  4.686882923075E-002  1.421171429779E-003  2.724898863091E-001  5.054159031498E+000 -2.993794085505E+001
