# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  7.577760471343E-005  7.708367001717E+000 -4.095473197886E+001
  3.932200719717E-005  3.932303800261E-005  3.030926317501E-004  7.707159235992E+000 -4.095073825992E+001
  8.847741541455E-005  5.898842277178E-005  6.818917191768E-004  7.705146449360E+000 -4.094408065273E+001
  1.573003992804E-004  7.865844718600E-005  1.212085928375E-003  7.702328876382E+000 -4.093475704709E+001
  2.457963722417E-004  9.833465899987E-005  1.893550740973E-003  7.698706845844E+000 -4.092276449534E+001
  3.539722959954E-004  1.180186070023E-004  2.726126054612E-003  7.694280781150E+000 -4.090809921885E+001
  4.818366816528E-004  1.377118412759E-004  3.709616177604E-003  7.689051200831E+000 -4.089075661651E+001
  6.293995911626E-004  1.574159134560E-004  4.843789822557E-003  7.683018719167E+000 -4.087073127493E+001
  7.966726389934E-004  1.771323769912E-004  6.128380099062E-003  7.676184046915E+000 -4.084801698064E+001
  9.836689940782E-004  1.968627874036E-004  7.563084505546E-003  7.668547992149E+000 -4.082260673395E+001
  1.190403382016E-003  2.166087025496E-004  9.147564920417E-003  7.660111461205E+000 -4.079449276480E+001
  1.416892087541E-003  2.363716828821E-004  1.088144759266E-002  7.650875459732E+000 -4.076366655022E+001
  1.663152957245E-003  2.561532917128E-004  1.276432313199E-002  7.640841093853E+000 -4.073011883372E+001
  1.929205402573E-003  2.759550954757E-004  1.479574649886E-002  7.630009571413E+000 -4.069383964634E+001
  2.215070403074E-003  2.957786639908E-004  1.697523699429E-002  7.618382203342E+000 -4.065481832949E+001
  2.520770509919E-003  3.156255707300E-004  1.930227824999E-002  7.605960405109E+000 -4.061304355940E+001
  2.846329849692E-003  3.354973930828E-004  2.177631821880E-002  7.592745698263E+000 -4.056850337338E+001
  3.191774128432E-003  3.553957126240E-004  2.439676916574E-002  7.578739712078E+000 -4.052118519760E+001
  3.557130635959E-003  3.753221153821E-004  2.716300766001E-002  7.563944185278E+000 -4.047107587657E+001
  3.942428250463E-003  3.952781921092E-004  3.007437456797E-002  7.548360967851E+000 -4.041816170415E+001
  4.347697443358E-003  4.152655385525E-004  3.313017504773E-002  7.531992022940E+000 -4.036242845612E+001
  4.772970284417E-003  4.352857557265E-004  3.632967854525E-002  7.514839428819E+000 -4.030386142429E+001
  5.218280447175E-003  4.553404501876E-004  3.967211879261E-002  7.496905380938E+000 -4.024244545200E+001
  5.683663214611E-003  4.754312343099E-004  4.315669380848E-002  7.478192194042E+000 -4.017816497115E+001
  6.169155485101E-003  4.955597265624E-004  4.678256590136E-002  7.458702304353E+000 -4.011100404051E+001
  6.674795778653E-003  5.157275517886E-004  5.054886167572E-002  7.438438271818E+000 -4.004094638546E+001
  7.200624243425E-003  5.359363414876E-004  5.445467204160E-002  7.417402782416E+000 -3.996797543892E+001
  7.746682662519E-003  5.561877340970E-004  5.849905222782E-002  7.395598650510E+000 -3.989207438368E+001
  8.313014461060E-003  5.764833752781E-004  6.268102179943E-002  7.373028821258E+000 -3.981322619573E+001
  8.899664713569E-003  5.968249182030E-004  6.699956467950E-002  7.349696373063E+000 -3.973141368890E+001
  9.506680151615E-003  6.172140238444E-004  7.145362917588E-002  7.325604520060E+000 -3.964661956047E+001
  1.013410917176E-002  6.376523612666E-004  7.604212801328E-002  7.300756614643E+000 -3.955882643791E+001
