# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  7.577760471376E-005  7.708367001750E+000 -4.095473198003E+001
  3.932200719717E-005  3.932303800261E-005  3.030926317514E-004  7.707159236025E+000 -4.095073826109E+001
  8.847741541455E-005  5.898842277178E-005  6.818917191797E-004  7.705146449392E+000 -4.094408065389E+001
  1.573003992804E-004  7.865844718600E-005  1.212085928381E-003  7.702328876414E+000 -4.093475704825E+001
  2.457963722417E-004  9.833465899987E-005  1.893550740981E-003  7.698706845876E+000 -4.092276449650E+001
  3.539722959954E-004  1.180186070023E-004  2.726126054623E-003  7.694280781182E+000 -4.090809922001E+001
  4.818366816528E-004  1.377118412759E-004  3.709616177619E-003  7.689051200863E+000 -4.089075661766E+001
  6.293995911626E-004  1.574159134560E-004  4.843789822578E-003  7.683018719199E+000 -4.087073127608E+001
  7.966726389934E-004  1.771323769912E-004  6.128380099088E-003  7.676184046947E+000 -4.084801698178E+001
  9.836689940782E-004  1.968627874036E-004  7.563084505578E-003  7.668547992181E+000 -4.082260673510E+001
  1.190403382016E-003  2.166087025496E-004  9.147564920455E-003  7.660111461236E+000 -4.079449276594E+001
  1.416892087541E-003  2.363716828821E-004  1.088144759270E-002  7.650875459764E+000 -4.076366655135E+001
  1.663152957245E-003  2.561532917128E-004  1.276432313205E-002  7.640841093884E+000 -4.073011883484E+001
  1.929205402573E-003  2.759550954757E-004  1.479574649892E-002  7.630009571443E+000 -4.069383964746E+001
  2.215070403074E-003  2.957786639908E-004  1.697523699436E-002  7.618382203373E+000 -4.065481833060E+001
  2.520770509919E-003  3.156255707300E-004  1.930227825007E-002  7.605960405139E+000 -4.061304356050E+001
  2.846329849692E-003  3.354973930828E-004  2.177631821889E-002  7.592745698292E+000 -4.056850337447E+001
  3.191774128432E-003  3.553957126240E-004  2.439676916584E-002  7.578739712107E+000 -4.052118519869E+001
  3.557130635959E-003  3.753221153821E-004  2.716300766012E-002  7.563944185307E+000 -4.047107587765E+001
  3.942428250463E-003  3.952781921092E-004  3.007437456809E-002  7.548360967879E+000 -4.041816170522E+001
  4.347697443358E-003  4.152655385525E-004  3.313017504786E-002  7.531992022968E+000 -4.036242845718E+001
  4.772970284417E-003  4.352857557265E-004  3.632967854540E-002  7.514839428847E+000 -4.030386142534E+001
  5.218280447175E-003  4.553404501876E-004  3.967211879276E-002  7.496905380965E+000 -4.024244545304E+001
  5.683663214611E-003  4.754312343099E-004  4.315669380865E-002  7.478192194068E+000 -4.017816497218E+001
  6.169155485101E-003  4.955597265624E-004  4.678256590154E-002  7.458702304379E+000 -4.011100404153E+001
