# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.521940328355E-005  6.634336917384E+000 -3.776040690432E+001
  3.932200719717E-005  3.932303800261E-005  2.608608480637E-004  6.633223378618E+000 -3.775499696066E+001
  8.847741541455E-005  5.898842277178E-005  5.868740418335E-004  6.631367737921E+000 -3.774598131063E+001
  1.573003992804E-004  7.865844718600E-005  1.043175172766E-003  6.628770381150E+000 -3.773336133870E+001
  2.457963722417E-004  9.833465899987E-005  1.629646923247E-003  6.625431848474E+000 -3.771713898372E+001
  3.539722959954E-004  1.180186070023E-004  2.346138488832E-003  6.621352834344E+000 -3.769731673967E+001
  4.818366816528E-004  1.377118412759E-004  3.192465602647E-003  6.616534187457E+000 -3.767389765641E+001
  6.293995911626E-004  1.574159134560E-004  4.168410565241E-003  6.610976910707E+000 -3.764688534074E+001
  7.966726389934E-004  1.771323769912E-004  5.273722279908E-003  6.604682161130E+000 -3.761628395758E+001
  9.836689940782E-004  1.968627874036E-004  6.508116293523E-003  6.597651249834E+000 -3.758209823137E+001
  1.190403382016E-003  2.166087025496E-004  7.871274842886E-003  6.589885641929E+000 -3.754433344758E+001
  1.416892087541E-003  2.363716828821E-004  9.362846906634E-003  6.581386956439E+000 -3.750299545445E+001
  1.663152957245E-003  2.561532917128E-004  1.098244826274E-002  6.572156966205E+000 -3.745809066488E+001
  1.929205402573E-003  2.759550954757E-004  1.272966155164E-002  6.562197597781E+000 -3.740962605848E+001
  2.215070403074E-003  2.957786639908E-004  1.460403634503E-002  6.551510931313E+000 -3.735760918377E+001
  2.520770509919E-003  3.156255707300E-004  1.660508922036E-002  6.540099200413E+000 -3.730204816058E+001
  2.846329849692E-003  3.354973930828E-004  1.873230384113E-002  6.527964792016E+000 -3.724295168256E+001
  3.191774128432E-003  3.553957126240E-004  2.098513104296E-002  6.515110246225E+000 -3.718032901984E+001
  3.557130635959E-003  3.753221153821E-004  2.336298892552E-002  6.501538256145E+000 -3.711419002183E+001
  3.942428250463E-003  3.952781921092E-004  2.586526295040E-002  6.487251667698E+000 -3.704454512019E+001
  4.347697443358E-003  4.152655385525E-004  2.849130604499E-002  6.472253479432E+000 -3.697140533188E+001
  4.772970284417E-003  4.352857557265E-004  3.124043871233E-002  6.456546842305E+000 -3.689478226238E+001
  5.218280447175E-003  4.553404501876E-004  3.411194914712E-002  6.440135059461E+000 -3.681468810896E+001
  5.683663214611E-003  4.754312343099E-004  3.710509335794E-002  6.423021585983E+000 -3.673113566413E+001
  6.169155485101E-003  4.955597265624E-004  4.021909529562E-002  6.405210028635E+000 -3.664413831917E+001
  6.674795778653E-003  5.157275517886E-004  4.345314698803E-002  6.386704145577E+000 -3.655371006768E+001
  7.200624243425E-003  5.359363414876E-004  4.680640868120E-002  6.367507846070E+000 -3.645986550936E+001
  7.746682662519E-003  5.561877340970E-004  5.027800898697E-002  6.347625190156E+000 -3.636261985371E+001
  8.313014461060E-003  5.764833752781E-004  5.386704503715E-002  6.327060388317E+000 -3.626198892394E+001
  8.899664713569E-003  5.968249182030E-004  5.757258264432E-002  6.305817801113E+000 -3.615798916079E+001
  9.506680151615E-003  6.172140238444E-004  6.139365646942E-002  6.283901938797E+000 -3.605063762654E+001
  1.013410917176E-002  6.376523612666E-004  6.532927019603E-002  6.261317460907E+000 -3.593995200901E+001
  1.078200184380E-002  6.581416079202E-004  6.937839671167E-002  6.238069175832E+000 -3.582595062549E+001
  1.145040991929E-002  6.786834499385E-004  7.353997829596E-002  6.214162040352E+000 -3.570865242689E+001
  1.213938684040E-002  6.992795824361E-004  7.781292681598E-002  6.189601159151E+000 -3.558807700171E+001
  1.284898774901E-002  7.199317098113E-004  8.219612392869E-002  6.164391784304E+000 -3.546424458013E+001
  1.357926949620E-002  7.406415460502E-004  8.668842129068E-002  6.138539314734E+000 -3.533717603799E+001
  1.433029065191E-002  7.614108150341E-004  9.128864077521E-002  6.112049295634E+000 -3.520689290089E+001
  1.510211151509E-002  7.822412508494E-004  9.599557469676E-002  6.084927417866E+000 -3.507341734806E+001
  1.589479412397E-002  8.031345981016E-004  1.008079860431E-001  6.057179517320E+000 -3.493677221639E+001
  1.670840226680E-002  8.240926122311E-004  1.057246087148E-001  6.028811574246E+000 -3.479698100421E+001
  1.754300149280E-002  8.451170598329E-004  1.107441477732E-001  5.999829712542E+000 -3.465406787515E+001
  1.839865912351E-002  8.662097189796E-004  1.158652796947E-001  5.970240199015E+000 -3.450805766185E+001
  1.927544426443E-002  8.873723795480E-004  1.210866526350E-001  5.940049442601E+000 -3.435897586955E+001
  2.017342781695E-002  9.086068435487E-004  1.264068866996E-001  5.909263993545E+000 -3.420684867962E+001
  2.109268249069E-002  9.299149254598E-004  1.318245742230E-001  5.877890542540E+000 -3.405170295296E+001
  2.203328281612E-002  9.512984525641E-004  1.373382800569E-001  5.845935919832E+000 -3.389356623326E+001
  2.299530515754E-002  9.727592652906E-004  1.429465418652E-001  5.813407094276E+000 -3.373246675008E+001
  2.397882772639E-002  9.942992175591E-004  1.486478704286E-001  5.780311172349E+000 -3.356843342182E+001
  2.498393059493E-002  1.015920177130E-003  1.544407499571E-001  5.746655397120E+000 -3.340149585850E+001
  2.601069571024E-002  1.037624025957E-003  1.603236384111E-001  5.712447147175E+000 -3.323168436434E+001
  2.705920690860E-002  1.059412660547E-003  1.662949678315E-001  5.677693935490E+000 -3.305902994011E+001
  2.812954993023E-002  1.081287992318E-003  1.723531446779E-001  5.642403408261E+000 -3.288356428537E+001
  2.922181243436E-002  1.103251947969E-003  1.784965501762E-001  5.606583343682E+000 -3.270531980033E+001
  3.033608401473E-002  1.125306469854E-003  1.847235406747E-001  5.570241650665E+000 -3.252432958759E+001
  3.147245621542E-002  1.147453516351E-003  1.910324480095E-001  5.533386367523E+000 -3.234062745358E+001
  3.263102254705E-002  1.169695062249E-003  1.974215798785E-001  5.496025660584E+000 -3.215424790969E+001
  3.381187850339E-002  1.192033099133E-003  2.038892202247E-001  5.458167822756E+000 -3.196522617316E+001
  3.501512157837E-002  1.214469635775E-003  2.104336296289E-001  5.419821272040E+000 -3.177359816770E+001
