# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.106719989603E-005  6.211962970038E+000 -3.492151600942E+001
  3.932200719717E-005  3.932303800261E-005  2.442533539781E-004  6.210933145436E+000 -3.491675367470E+001
  8.847741541455E-005  5.898842277178E-005  5.495121274736E-004  6.209216993225E+000 -3.490881702449E+001
  1.573003992804E-004  7.865844718600E-005  9.767663025837E-004  6.206814846604E+000 -3.489770692085E+001
  2.457963722417E-004  9.833465899987E-005  1.525907788722E-003  6.203727172070E+000 -3.488342457191E+001
  3.539722959954E-004  1.180186070023E-004  2.196797636870E-003  6.199954569447E+000 -3.486597153303E+001
  4.818366816528E-004  1.377118412759E-004  2.989266058061E-003  6.195497771904E+000 -3.484534970840E+001
  6.293995911626E-004  1.574159134560E-004  3.903112446011E-003  6.190357645995E+000 -3.482156135290E+001
  7.966726389934E-004  1.771323769912E-004  4.938105403937E-003  6.184535191693E+000 -3.479460907434E+001
  9.836689940782E-004  1.968627874036E-004  6.093982775575E-003  6.178031542432E+000 -3.476449583604E+001
  1.190403382016E-003  2.166087025496E-004  7.370451680440E-003  6.170847965159E+000 -3.473122495973E+001
  1.416892087541E-003  2.363716828821E-004  8.767188553383E-003  6.162985860381E+000 -3.469480012874E+001
  1.663152957245E-003  2.561532917128E-004  1.028383918847E-002  6.154446762221E+000 -3.465522539159E+001
  1.929205402573E-003  2.759550954757E-004  1.192001878722E-002  6.145232338481E+000 -3.461250516585E+001
  2.215070403074E-003  2.957786639908E-004  1.367531201133E-002  6.135344390693E+000 -3.456664424229E+001
  2.520770509919E-003  3.156255707300E-004  1.554927303981E-002  6.124784854193E+000 -3.451764778939E+001
  2.846329849692E-003  3.354973930828E-004  1.754142563075E-002  6.113555798174E+000 -3.446552135809E+001
  3.191774128432E-003  3.553957126240E-004  1.965126318767E-002  6.101659425760E+000 -3.441027088693E+001
  3.557130635959E-003  3.753221153821E-004  2.187824883052E-002  6.089098074063E+000 -3.435190270730E+001
  3.942428250463E-003  3.952781921092E-004  2.422181547155E-002  6.075874214247E+000 -3.429042354920E+001
  4.347697443358E-003  4.152655385525E-004  2.668136589590E-002  6.061990451593E+000 -3.422584054702E+001
  4.772970284417E-003  4.352857557265E-004  2.925627284723E-002  6.047449525551E+000 -3.415816124581E+001
  5.218280447175E-003  4.553404501876E-004  3.194587911829E-002  6.032254309797E+000 -3.408739360761E+001
  5.683663214611E-003  4.754312343099E-004  3.474949764659E-002  6.016407812283E+000 -3.401354601815E+001
  6.169155485101E-003  4.955597265624E-004  3.766641161535E-002  5.999913175277E+000 -3.393662729371E+001
  6.674795778653E-003  5.157275517886E-004  4.069587455965E-002  5.982773675401E+000 -3.385664668823E+001
