# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  5.919878396383E-005  6.021889842609E+000 -3.619526130455E+001
  3.932200719717E-005  3.932303800261E-005  2.367788049589E-004  6.020822477407E+000 -3.618885039729E+001
  8.847741541455E-005  5.898842277178E-005  5.326910752124E-004  6.019043862257E+000 -3.617816800513E+001
  1.573003992804E-004  7.865844718600E-005  9.468539648247E-004  6.016554487285E+000 -3.616321780642E+001
  2.457963722417E-004  9.833465899987E-005  1.479153226339E-003  6.013355038360E+000 -3.614400494774E+001
  3.539722959954E-004  1.180186070023E-004  2.129442029131E-003  6.009446396786E+000 -3.612053604077E+001
  4.818366816528E-004  1.377118412759E-004  2.897541003579E-003  6.004829638907E+000 -3.609281915831E+001
  6.293995911626E-004  1.574159134560E-004  3.783238295027E-003  5.999506035626E+000 -3.606086382941E+001
  7.966726389934E-004  1.771323769912E-004  4.786289627472E-003  5.993477051834E+000 -3.602468103357E+001
  9.836689940782E-004  1.968627874036E-004  5.906418376982E-003  5.986744345755E+000 -3.598428319415E+001
  1.190403382016E-003  2.166087025496E-004  7.143315654781E-003  5.979309768207E+000 -3.593968417086E+001
  1.416892087541E-003  2.363716828821E-004  8.496640399978E-003  5.971175361772E+000 -3.589089925139E+001
  1.663152957245E-003  2.561532917128E-004  9.966019481877E-003  5.962343359885E+000 -3.583794514219E+001
  1.929205402573E-003  2.759550954757E-004  1.155104781184E-002  5.952816185841E+000 -3.578083995841E+001
  2.215070403074E-003  2.957786639908E-004  1.325128846462E-002  5.942596451712E+000 -3.571960321299E+001
  2.520770509919E-003  3.156255707300E-004  1.506627280912E-002  5.931686957185E+000 -3.565425580494E+001
  2.846329849692E-003  3.354973930828E-004  1.699550064853E-002  5.920090688323E+000 -3.558482000673E+001
  3.191774128432E-003  3.553957126240E-004  1.903844036975E-002  5.907810816234E+000 -3.551131945096E+001
  3.557130635959E-003  3.753221153821E-004  2.119452910196E-002  5.894850695670E+000 -3.543377911618E+001
  3.942428250463E-003  3.952781921092E-004  2.346317288450E-002  5.881213863543E+000 -3.535222531189E+001
  4.347697443358E-003  4.152655385525E-004  2.584374684359E-002  5.866904037361E+000 -3.526668566281E+001
  4.772970284417E-003  4.352857557265E-004  2.833559537821E-002  5.851925113594E+000 -3.517718909239E+001
  5.218280447175E-003  4.553404501876E-004  3.093803235473E-002  5.836281165954E+000 -3.508376580551E+001
  5.683663214611E-003  4.754312343099E-004  3.365034131043E-002  5.819976443611E+000 -3.498644727048E+001
  6.169155485101E-003  4.955597265624E-004  3.647177566561E-002  5.803015369330E+000 -3.488526620032E+001
  6.674795778653E-003  5.157275517886E-004  3.940155894440E-002  5.785402537540E+000 -3.478025653332E+001
  7.200624243425E-003  5.359363414876E-004  4.243888500390E-002  5.767142712325E+000 -3.467145341287E+001
  7.746682662519E-003  5.561877340970E-004  4.558291827189E-002  5.748240825357E+000 -3.455889316669E+001
  8.313014461060E-003  5.764833752781E-004  4.883279399259E-002  5.728701973754E+000 -3.444261328534E+001
  8.899664713569E-003  5.968249182030E-004  5.218761848073E-002  5.708531417871E+000 -3.432265240009E+001
  9.506680151615E-003  6.172140238444E-004  5.564646938355E-002  5.687734579037E+000 -3.419905026015E+001
  1.013410917176E-002  6.376523612666E-004  5.920839595072E-002  5.666317037216E+000 -3.407184770937E+001
  1.078200184380E-002  6.581416079202E-004  6.287241931206E-002  5.644284528614E+000 -3.394108666227E+001
  1.145040991929E-002  6.786834499385E-004  6.663753276289E-002  5.621642943230E+000 -3.380681007948E+001
  1.213938684040E-002  6.992795824361E-004  7.050270205686E-002  5.598398322339E+000 -3.366906194276E+001
  1.284898774901E-002  7.199317098113E-004  7.446686570623E-002  5.574556855932E+000 -3.352788722935E+001
  1.357926949620E-002  7.406415460502E-004  7.852893528934E-002  5.550124880091E+000 -3.338333188588E+001
  1.433029065191E-002  7.614108150341E-004  8.268779576519E-002  5.525108874319E+000 -3.323544280178E+001
  1.510211151509E-002  7.822412508494E-004  8.694230579502E-002  5.499515458816E+000 -3.308426778223E+001
  1.589479412397E-002  8.031345981016E-004  9.129129807066E-002  5.473351391709E+000 -3.292985552067E+001
  1.670840226680E-002  8.240926122311E-004  9.573357964956E-002  5.446623566237E+000 -3.277225557086E+001
  1.754300149280E-002  8.451170598329E-004  1.002679322964E-001  5.419339007886E+000 -3.261151831859E+001
  1.839865912351E-002  8.662097189796E-004  1.048931128311E-001  5.391504871489E+000 -3.244769495297E+001
  1.927544426443E-002  8.873723795480E-004  1.096078534828E-001  5.363128438281E+000 -3.228083743740E+001
  2.017342781695E-002  9.086068435487E-004  1.144108622502E-001  5.334217112916E+000 -3.211099848023E+001
  2.109268249069E-002  9.299149254598E-004  1.193008232681E-001  5.304778420452E+000 -3.193823150503E+001
  2.203328281612E-002  9.512984525641E-004  1.242763971788E-001  5.274820003298E+000 -3.176259062073E+001
  2.299530515754E-002  9.727592652906E-004  1.293362215097E-001  5.244349618132E+000 -3.158413059133E+001
  2.397882772639E-002  9.942992175591E-004  1.344789110570E-001  5.213375132784E+000 -3.140290680558E+001
  2.498393059493E-002  1.015920177130E-003  1.397030582733E-001  5.181904523102E+000 -3.121897524626E+001
  2.601069571024E-002  1.037624025957E-003  1.450072336613E-001  5.149945869782E+000 -3.103239245946E+001
  2.705920690860E-002  1.059412660547E-003  1.503899861725E-001  5.117507355179E+000 -3.084321552359E+001
  2.812954993023E-002  1.081287992318E-003  1.558498436101E-001  5.084597260102E+000 -3.065150201832E+001
  2.922181243436E-002  1.103251947969E-003  1.613853130376E-001  5.051223960578E+000 -3.045730999342E+001
  3.033608401473E-002  1.125306469854E-003  1.669948811906E-001  5.017395924614E+000 -3.026069793750E+001
  3.147245621542E-002  1.147453516351E-003  1.726770148944E-001  4.983121708936E+000 -3.006172474676E+001
  3.263102254705E-002  1.169695062249E-003  1.784301614846E-001  4.948409955715E+000 -2.986044969366E+001
  3.381187850339E-002  1.192033099133E-003  1.842527492326E-001  4.913269389288E+000 -2.965693239566E+001
  3.501512157837E-002  1.214469635775E-003  1.901431877746E-001  4.877708812867E+000 -2.945123278395E+001
  3.624085128345E-002  1.237006698530E-003  1.960998685445E-001  4.841737105248E+000 -2.924341107223E+001
  3.748916916538E-002  1.259646331739E-003  2.021211652103E-001  4.805363217509E+000 -2.903352772568E+001
  3.876017882444E-002  1.282390598136E-003  2.082054341144E-001  4.768596169708E+000 -2.882164342988E+001
  4.005398593302E-002  1.305241579266E-003  2.143510147164E-001  4.731445047593E+000 -2.860781906005E+001
  4.137069825459E-002  1.328201375897E-003  2.205562300401E-001  4.693918999296E+000 -2.839211565032E+001
  4.271042566323E-002  1.351272108452E-003  2.268193871226E-001  4.656027232048E+000 -2.817459436327E+001
  4.407328016341E-002  1.374455917436E-003  2.331387774673E-001  4.617779008892E+000 -2.795531645965E+001
  4.545937591035E-002  1.397754963880E-003  2.395126774983E-001  4.579183645408E+000 -2.773434326838E+001
  4.686882923075E-002  1.421171429779E-003  2.459393490193E-001  4.540250506449E+000 -2.751173615681E+001
  4.830175864396E-002  1.444707518548E-003  2.524170396730E-001  4.500989002893E+000 -2.728755650126E+001
  4.975828488365E-002  1.468365455478E-003  2.589439834046E-001  4.461408588397E+000 -2.706186565790E+001
  5.123853091993E-002  1.492147488203E-003  2.655184009263E-001  4.421518756189E+000 -2.683472493398E+001
  5.274262198188E-002  1.516055887169E-003  2.721385001849E-001  4.381329035855E+000 -2.660619555943E+001
  5.427068558066E-002  1.540092946119E-003  2.788024768309E-001  4.340848990166E+000 -2.637633865882E+001
  5.582285153302E-002  1.564260982573E-003  2.855085146895E-001  4.300088211916E+000 -2.614521522380E+001
