# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.184221112098E-005  6.290803465451E+000 -3.460762926898E+001
  3.932200719717E-005  3.932303800261E-005  2.473536417554E-004  6.289782889302E+000 -3.460345016812E+001
  8.847741541455E-005  5.898842277178E-005  5.564886847176E-004  6.288082113776E+000 -3.459648482037E+001
  1.573003992804E-004  7.865844718600E-005  9.891713313712E-004  6.285701416038E+000 -3.458673295779E+001
  2.457963722417E-004  9.833465899987E-005  1.545295176650E-003  6.282641184274E+000 -3.457419420839E+001
  3.539722959954E-004  1.180186070023E-004  2.224723426127E-003  6.278901917845E+000 -3.455886809927E+001
  4.818366816528E-004  1.377118412759E-004  3.027288905145E-003  6.274484227494E+000 -3.454075406058E+001
  6.293995911626E-004  1.574159134560E-004  3.952794070070E-003  6.269388835582E+000 -3.451985143044E+001
  7.966726389934E-004  1.771323769912E-004  5.001011021697E-003  6.263616576376E+000 -3.449615946067E+001
  9.836689940782E-004  1.968627874036E-004  6.171681520881E-003  6.257168396380E+000 -3.446967732343E+001
  1.190403382016E-003  2.166087025496E-004  7.464517006443E-003  6.250045354701E+000 -3.444040411870E+001
  1.416892087541E-003  2.363716828821E-004  8.879198615446E-003  6.242248623464E+000 -3.440833888262E+001
  1.663152957245E-003  2.561532917128E-004  1.041537720591E-002  6.233779488255E+000 -3.437348059664E+001
  1.929205402573E-003  2.759550954757E-004  1.207267338204E-002  6.224639348616E+000 -3.433582819753E+001
  2.215070403074E-003  2.957786639908E-004  1.385067752215E-002  6.214829718566E+000 -3.429538058825E+001
  2.520770509919E-003  3.156255707300E-004  1.574894980926E-002  6.204352227165E+000 -3.425213664947E+001
  2.846329849692E-003  3.354973930828E-004  1.776702026455E-002  6.193208619109E+000 -3.420609525210E+001
  3.191774128432E-003  3.553957126240E-004  1.990438878390E-002  6.181400755359E+000 -3.415725527038E+001
  3.557130635959E-003  3.753221153821E-004  2.216052517739E-002  6.168930613805E+000 -3.410561559587E+001
  3.942428250463E-003  3.952781921092E-004  2.453486921221E-002  6.155800289951E+000 -3.405117515216E+001
  4.347697443358E-003  4.152655385525E-004  2.702683065882E-002  6.142011997642E+000 -3.399393291021E+001
  4.772970284417E-003  4.352857557265E-004  2.963578934080E-002  6.127568069801E+000 -3.393388790454E+001
  5.218280447175E-003  4.553404501876E-004  3.236109518831E-002  6.112470959205E+000 -3.387103924997E+001
  5.683663214611E-003  4.754312343099E-004  3.520206829550E-002  6.096723239275E+000 -3.380538615911E+001
  6.169155485101E-003  4.955597265624E-004  3.815799898195E-002  6.080327604887E+000 -3.373692796046E+001
  6.674795778653E-003  5.157275517886E-004  4.122814785834E-002  6.063286873205E+000 -3.366566411710E+001
  7.200624243425E-003  5.359363414876E-004  4.441174589658E-002  6.045603984525E+000 -3.359159424606E+001
  7.746682662519E-003  5.561877340970E-004  4.770799450450E-002  6.027282003137E+000 -3.351471813815E+001
  8.313014461060E-003  5.764833752781E-004  5.111606560539E-002  6.008324118194E+000 -3.343503577839E+001
  8.899664713569E-003  5.968249182030E-004  5.463510172259E-002  5.988733644591E+000 -3.335254736701E+001
  9.506680151615E-003  6.172140238444E-004  5.826421606922E-002  5.968514023853E+000 -3.326725334081E+001
  1.013410917176E-002  6.376523612666E-004  6.200249264344E-002  5.947668825019E+000 -3.317915439513E+001
  1.078200184380E-002  6.581416079202E-004  6.584898632930E-002  5.926201745535E+000 -3.308825150610E+001
  1.145040991929E-002  6.786834499385E-004  6.980272300353E-002  5.904116612136E+000 -3.299454595346E+001
  1.213938684040E-002  6.992795824361E-004  7.386269964833E-002  5.881417381734E+000 -3.289803934362E+001
  1.284898774901E-002  7.199317098113E-004  7.802788447063E-002  5.858108142286E+000 -3.279873363310E+001
  1.357926949620E-002  7.406415460502E-004  8.229721702783E-002  5.834193113659E+000 -3.269663115232E+001
  1.433029065191E-002  7.614108150341E-004  8.666960836030E-002  5.809676648477E+000 -3.259173462963E+001
  1.510211151509E-002  7.822412508494E-004  9.114394113103E-002  5.784563232955E+000 -3.248404721559E+001
  1.589479412397E-002  8.031345981016E-004  9.571906977246E-002  5.758857487709E+000 -3.237357250746E+001
  1.670840226680E-002  8.240926122311E-004  1.003938206409E-001  5.732564168542E+000 -3.226031457385E+001
  1.754300149280E-002  8.451170598329E-004  1.051669921785E-001  5.705688167209E+000 -3.214427797959E+001
  1.839865912351E-002  8.662097189796E-004  1.100373550836E-001  5.678234512145E+000 -3.202546781057E+001
  1.927544426443E-002  8.873723795480E-004  1.150036524890E-001  5.650208369167E+000 -3.190388969876E+001
  2.017342781695E-002  9.086068435487E-004  1.200646001487E-001  5.621615042131E+000 -3.177954984722E+001
  2.109268249069E-002  9.299149254598E-004  1.252188866338E-001  5.592459973558E+000 -3.165245505510E+001
  2.203328281612E-002  9.512984525641E-004  1.304651735364E-001  5.562748745214E+000 -3.152261274263E+001
  2.299530515754E-002  9.727592652906E-004  1.358020956841E-001  5.532487078639E+000 -3.139003097595E+001
  2.397882772639E-002  9.942992175591E-004  1.412282613627E-001  5.501680835629E+000 -3.125471849191E+001
  2.498393059493E-002  1.015920177130E-003  1.467422525491E-001  5.470336018671E+000 -3.111668472269E+001
  2.601069571024E-002  1.037624025957E-003  1.523426251544E-001  5.438458771310E+000 -3.097593982015E+001
  2.705920690860E-002  1.059412660547E-003  1.580279092761E-001  5.406055378465E+000 -3.083249468002E+001
  2.812954993023E-002  1.081287992318E-003  1.637966094621E-001  5.373132266674E+000 -3.068636096580E+001
  2.922181243436E-002  1.103251947969E-003  1.696472049843E-001  5.339696004279E+000 -3.053755113232E+001
  3.033608401473E-002  1.125306469854E-003  1.755781501228E-001  5.305753301539E+000 -3.038607844893E+001
  3.147245621542E-002  1.147453516351E-003  1.815878744621E-001  5.271311010663E+000 -3.023195702234E+001
  3.263102254705E-002  1.169695062249E-003  1.876747831978E-001  5.236376125774E+000 -3.007520181896E+001
  3.381187850339E-002  1.192033099133E-003  1.938372574546E-001  5.200955782789E+000 -2.991582868680E+001
  3.501512157837E-002  1.214469635775E-003  2.000736546165E-001  5.165057259216E+000 -2.975385437686E+001
  3.624085128345E-002  1.237006698530E-003  2.063823086680E-001  5.128687973864E+000 -2.958929656392E+001
