# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0100
  9.830308526508E-006  1.966074589941E-005  6.097039923689E-005  6.202116068496E+000 -3.486814144859E+001
  3.932200719717E-005  3.932303800261E-005  2.438661746765E-004  6.201087817914E+000 -3.486338498662E+001
  8.847741541455E-005  5.898842277178E-005  5.486410615509E-004  6.199374288823E+000 -3.485545812508E+001
  1.573003992804E-004  7.865844718600E-005  9.752179587339E-004  6.196975814048E+000 -3.484436172722E+001
  2.457963722417E-004  9.833465899987E-005  1.523488938977E-003  6.193892859570E+000 -3.483009700275E+001
  3.539722959954E-004  1.180186070023E-004  2.193315263265E-003  6.190126024540E+000 -3.481266550911E+001
  4.818366816528E-004  1.377118412759E-004  2.984527399287E-003  6.185676041311E+000 -3.479206915299E+001
  6.293995911626E-004  1.574159134560E-004  3.896925044076E-003  6.180543775467E+000 -3.476831019221E+001
  7.966726389934E-004  1.771323769912E-004  4.930277150803E-003  6.174730225861E+000 -3.474139123794E+001
  9.836689940782E-004  1.968627874036E-004  6.084321959802E-003  6.168236524659E+000 -3.471131525729E+001
  1.190403382016E-003  2.166087025496E-004  7.358767033815E-003  6.161063937382E+000 -3.467808557614E+001
  1.416892087541E-003  2.363716828821E-004  8.753289297536E-003  6.153213862962E+000 -3.464170588240E+001
  1.663152957245E-003  2.561532917128E-004  1.026753508148E-002  6.144687833795E+000 -3.460218022949E+001
  1.929205402573E-003  2.759550954757E-004  1.190112017020E-002  6.135487515794E+000 -3.455951304025E+001
  2.215070403074E-003  2.957786639908E-004  1.365362985502E-002  6.125614708454E+000 -3.451370911105E+001
  2.520770509919E-003  3.156255707300E-004  1.552461899111E-002  6.115071344912E+000 -3.446477361625E+001
  2.846329849692E-003  3.354973930828E-004  1.751361205928E-002  6.103859492006E+000 -3.441271211299E+001
  3.191774128432E-003  3.553957126240E-004  1.962010323224E-002  6.091981350342E+000 -3.435753054621E+001
  3.557130635959E-003  3.753221153821E-004  2.184355644567E-002  6.079439254357E+000 -3.429923525402E+001
  3.942428250463E-003  3.952781921092E-004  2.418340547396E-002  6.066235672376E+000 -3.423783297323E+001
  4.347697443358E-003  4.152655385525E-004  2.663905401083E-002  6.052373206674E+000 -3.417333084533E+001
  4.772970284417E-003  4.352857557265E-004  2.920987575491E-002  6.037854593534E+000 -3.410573642252E+001
  5.218280447175E-003  4.553404501876E-004  3.189521450024E-002  6.022682703295E+000 -3.403505767418E+001
  5.683663214611E-003  4.754312343099E-004  3.469438423195E-002  6.006860540404E+000 -3.396130299341E+001
  6.169155485101E-003  4.955597265624E-004  3.760666922712E-002  5.990391243453E+000 -3.388448120392E+001
  6.674795778653E-003  5.157275517886E-004  4.063132416086E-002  5.973278085215E+000 -3.380460156712E+001
  7.200624243425E-003  5.359363414876E-004  4.376757421789E-002  5.955524472672E+000 -3.372167378934E+001
  7.746682662519E-003  5.561877340970E-004  4.701461520952E-002  5.937133947029E+000 -3.363570802931E+001
  8.313014461060E-003  5.764833752781E-004  5.037161369630E-002  5.918110183722E+000 -3.354671490587E+001
  8.899664713569E-003  5.968249182030E-004  5.383770711632E-002  5.898456992408E+000 -3.345470550571E+001
  9.506680151615E-003  6.172140238444E-004  5.741200391935E-002  5.878178316954E+000 -3.335969139140E+001
  1.013410917176E-002  6.376523612666E-004  6.109358370697E-002  5.857278235396E+000 -3.326168460955E+001
  1.078200184380E-002  6.581416079202E-004  6.488149737864E-002  5.835760959893E+000 -3.316069769899E+001
  1.145040991929E-002  6.786834499385E-004  6.877476728405E-002  5.813630836663E+000 -3.305674369923E+001
  1.213938684040E-002  6.992795824361E-004  7.277238738168E-002  5.790892345893E+000 -3.294983615889E+001
  1.284898774901E-002  7.199317098113E-004  7.687332340386E-002  5.767550101639E+000 -3.283998914431E+001
  1.357926949620E-002  7.406415460502E-004  8.107651302826E-002  5.743608851698E+000 -3.272721724817E+001
  1.433029065191E-002  7.614108150341E-004  8.538086605614E-002  5.719073477456E+000 -3.261153559824E+001
  1.510211151509E-002  7.822412508494E-004  8.978526459735E-002  5.693948993718E+000 -3.249295986608E+001
  1.589479412397E-002  8.031345981016E-004  9.428856326224E-002  5.668240548505E+000 -3.237150627588E+001
  1.670840226680E-002  8.240926122311E-004  9.888958936065E-002  5.641953422829E+000 -3.224719161320E+001
  1.754300149280E-002  8.451170598329E-004  1.035871431080E-001  5.615093030433E+000 -3.212003323381E+001
  1.839865912351E-002  8.662097189796E-004  1.083799978390E-001  5.587664917505E+000 -3.199004907240E+001
  1.927544426443E-002  8.873723795480E-004  1.132669002280E-001  5.559674762356E+000 -3.185725765139E+001
  2.017342781695E-002  9.086068435487E-004  1.182465705182E-001  5.531128375066E+000 -3.172167808951E+001
  2.109268249069E-002  9.299149254598E-004  1.233177027571E-001  5.502031697095E+000 -3.158333011048E+001
  2.203328281612E-002  9.512984525641E-004  1.284789650409E-001  5.472390800851E+000 -3.144223405150E+001
  2.299530515754E-002  9.727592652906E-004  1.337289997665E-001  5.442211889227E+000 -3.129841087161E+001
  2.397882772639E-002  9.942992175591E-004  1.390664238912E-001  5.411501295087E+000 -3.115188216003E+001
  2.498393059493E-002  1.015920177130E-003  1.444898292011E-001  5.380265480721E+000 -3.100267014423E+001
  2.601069571024E-002  1.037624025957E-003  1.499977825879E-001  5.348511037246E+000 -3.085079769796E+001
  2.705920690860E-002  1.059412660547E-003  1.555888263333E-001  5.316244683963E+000 -3.069628834895E+001
  2.812954993023E-002  1.081287992318E-003  1.612614784033E-001  5.283473267672E+000 -3.053916628656E+001
  2.922181243436E-002  1.103251947969E-003  1.670142327500E-001  5.250203761928E+000 -3.037945636912E+001
  3.033608401473E-002  1.125306469854E-003  1.728455596228E-001  5.216443266257E+000 -3.021718413102E+001
  3.147245621542E-002  1.147453516351E-003  1.787539058887E-001  5.182199005304E+000 -3.005237578960E+001
  3.263102254705E-002  1.169695062249E-003  1.847376953606E-001  5.147478327943E+000 -2.988505825174E+001
  3.381187850339E-002  1.192033099133E-003  1.907953291362E-001  5.112288706321E+000 -2.971525912012E+001
  3.501512157837E-002  1.214469635775E-003  1.969251859449E-001  5.076637734842E+000 -2.954300669917E+001
  3.624085128345E-002  1.237006698530E-003  2.031256225048E-001  5.040533129101E+000 -2.936833000074E+001
  3.748916916538E-002  1.259646331739E-003  2.093949738885E-001  5.003982724746E+000 -2.919125874937E+001
  3.876017882444E-002  1.282390598136E-003  2.157315538990E-001  4.966994476284E+000 -2.901182338714E+001
  4.005398593302E-002  1.305241579266E-003  2.221336554545E-001  4.929576455824E+000 -2.883005507822E+001
  4.137069825459E-002  1.328201375897E-003  2.285995509836E-001  4.891736851745E+000 -2.864598571294E+001
  4.271042566323E-002  1.351272108452E-003  2.351274928299E-001  4.853483967304E+000 -2.845964791144E+001
  4.407328016341E-002  1.374455917436E-003  2.417157136658E-001  4.814826219176E+000 -2.827107502688E+001
  4.545937591035E-002  1.397754963880E-003  2.483624269172E-001  4.775772135919E+000 -2.808030114815E+001
  4.686882923075E-002  1.421171429779E-003  2.550658271975E-001  4.736330356368E+000 -2.788736110215E+001
  4.830175864396E-002  1.444707518548E-003  2.618240907513E-001  4.696509627958E+000 -2.769229045547E+001
  4.975828488365E-002  1.468365455478E-003  2.686353759087E-001  4.656318804969E+000 -2.749512551564E+001
  5.123853091993E-002  1.492147488203E-003  2.754978235489E-001  4.615766846704E+000 -2.729590333174E+001
  5.274262198188E-002  1.516055887169E-003  2.824095575743E-001  4.574862815574E+000 -2.709466169453E+001
  5.427068558066E-002  1.540092946119E-003  2.893686853948E-001  4.533615875124E+000 -2.689143913597E+001
  5.582285153302E-002  1.564260982573E-003  2.963732984209E-001  4.492035287962E+000 -2.668627492807E+001
  5.739925198530E-002  1.588562338332E-003  3.034214725685E-001  4.450130413622E+000 -2.647920908128E+001
  5.900002143803E-002  1.612999379973E-003  3.105112687725E-001  4.407910706338E+000 -2.627028234208E+001
  6.062529677088E-002  1.637574499364E-003  3.176407335106E-001  4.365385712735E+000 -2.605953619003E+001
  6.227521726827E-002  1.662290114181E-003  3.248078993369E-001  4.322565069444E+000 -2.584701283415E+001
  6.394992464542E-002  1.687148668440E-003  3.320107854262E-001  4.279458500627E+000 -2.563275520855E+001
  6.564956307496E-002  1.712152633027E-003  3.392473981265E-001  4.236075815420E+000 -2.541680696742E+001
  6.737427921404E-002  1.737304506249E-003  3.465157315231E-001  4.192426905290E+000 -2.519921247933E+001
  6.912422223211E-002  1.762606814387E-003  3.538137680102E-001  4.148521741311E+000 -2.498001682076E+001
  7.089954383907E-002  1.788062112257E-003  3.611394788744E-001  4.104370371346E+000 -2.475926576893E+001
  7.270039831418E-002  1.813672983787E-003  3.684908248852E-001  4.059982917152E+000 -2.453700579385E+001
  7.452694253540E-002  1.839442042599E-003  3.758657568968E-001  4.015369571391E+000 -2.431328404963E+001
  7.637933600943E-002  1.865371932600E-003  3.832622164578E-001  3.970540594562E+000 -2.408814836503E+001
  7.825774090225E-002  1.891465328589E-003  3.906781364303E-001  3.925506311837E+000 -2.386164723322E+001
  8.016232207035E-002  1.917724936867E-003  3.981114416179E-001  3.880277109823E+000 -2.363382980071E+001
  8.209324709253E-002  1.944153495867E-003  4.055600494023E-001  3.834863433225E+000 -2.340474585557E+001
  8.405068630235E-002  1.970753776782E-003  4.130218703881E-001  3.789275781436E+000 -2.317444581473E+001
  8.603481282122E-002  1.997528584221E-003  4.204948090563E-001  3.743524705030E+000 -2.294298071053E+001
  8.804580259214E-002  2.024480756857E-003  4.279767644253E-001  3.697620802175E+000 -2.271040217648E+001
  9.008383441408E-002  2.051613168108E-003  4.354656307201E-001  3.651574714970E+000 -2.247676243211E+001
  9.214908997710E-002  2.078928726810E-003  4.429592980491E-001  3.605397125682E+000 -2.224211426699E+001
  9.424175389809E-002  2.106430377918E-003  4.504556530875E-001  3.559098752916E+000 -2.200651102405E+001
  9.636201375725E-002  2.134121103210E-003  4.579525797683E-001  3.512690347696E+000 -2.177000658185E+001
  9.851006013526E-002  2.162003922007E-003  4.654479599798E-001  3.466182689470E+000 -2.153265533619E+001
  1.006860866512E-001  2.190081891910E-003  4.729396742695E-001  3.419586582030E+000 -2.129451218076E+001
  1.028902900012E-001  2.218358109541E-003  4.804256025537E-001  3.372912849363E+000 -2.105563248702E+001
  1.051228699979E-001  2.246835711311E-003  4.879036248334E-001  3.326172331422E+000 -2.081607208322E+001
  1.073840296104E-001  2.275517874190E-003  4.953716219149E-001  3.279375879826E+000 -2.057588723254E+001
  1.096739750056E-001  2.304407816497E-003  5.028274761354E-001  3.232534353482E+000 -2.033513461046E+001
  1.119929155896E-001  2.333508798707E-003  5.102690720939E-001  3.185658614145E+000 -2.009387128125E+001
  1.143410640503E-001  2.362824124271E-003  5.176942973849E-001  3.138759521911E+000 -1.985215467368E+001
  1.167186364011E-001  2.392357140448E-003  5.251010433371E-001  3.091847930632E+000 -1.961004255590E+001
  1.191258520249E-001  2.422111239159E-003  5.324872057545E-001  3.044934683290E+000 -1.936759300949E+001
  1.215629337189E-001  2.452089857854E-003  5.398506856605E-001  2.998030607291E+000 -1.912486440271E+001
  1.240301077413E-001  2.482296480400E-003  5.471893900448E-001  2.951146509714E+000 -1.888191536306E+001
  1.265276038575E-001  2.512734637975E-003  5.545012326108E-001  2.904293172501E+000 -1.863880474890E+001
  1.290556553882E-001  2.543407909995E-003  5.617841345264E-001  2.857481347603E+000 -1.839559162049E+001
  1.316144992580E-001  2.574319925047E-003  5.690360251732E-001  2.810721752067E+000 -1.815233521015E+001
  1.342043760450E-001  2.605474361847E-003  5.762548428980E-001  2.764025063094E+000 -1.790909489177E+001
  1.368255300316E-001  2.636874950214E-003  5.834385357628E-001  2.717401913044E+000 -1.766593014958E+001
  1.394782092560E-001  2.668525472060E-003  5.905850622942E-001  2.670862884409E+000 -1.742290054626E+001
  1.421626655646E-001  2.700429762411E-003  5.976923922316E-001  2.624418504763E+000 -1.718006569035E+001
  1.448791546661E-001  2.732591710434E-003  6.047585072730E-001  2.578079241664E+000 -1.693748520303E+001
  1.476279361856E-001  2.765015260497E-003  6.117814018187E-001  2.531855497554E+000 -1.669521868432E+001
  1.504092737207E-001  2.797704413242E-003  6.187590837108E-001  2.485757604627E+000 -1.645332567859E+001
  1.532234348983E-001  2.830663226680E-003  6.256895749700E-001  2.439795819680E+000 -1.621186563962E+001
  1.560706914324E-001  2.863895817319E-003  6.325709125269E-001  2.393980318967E+000 -1.597089789503E+001
  1.589513191834E-001  2.897406361298E-003  6.394011489485E-001  2.348321193035E+000 -1.573048161027E+001
  1.618655982178E-001  2.931199095559E-003  6.461783531589E-001  2.302828441567E+000 -1.549067575208E+001
  1.648138128702E-001  2.965278319033E-003  6.529006111534E-001  2.257511968231E+000 -1.525153905152E+001
  1.677962518056E-001  2.999648393860E-003  6.595660267053E-001  2.212381575534E+000 -1.501312996664E+001
  1.708132080832E-001  3.034313746623E-003  6.661727220650E-001  2.167446959697E+000 -1.477550664471E+001
  1.738649792215E-001  3.069278869616E-003  6.727188386508E-001  2.122717705554E+000 -1.453872688417E+001
  1.769518672648E-001  3.104548322136E-003  6.792025377292E-001  2.078203281469E+000 -1.430284809624E+001
  1.800741788507E-001  3.140126731803E-003  6.856220010872E-001  2.033913034302E+000 -1.406792726632E+001
  1.832322252791E-001  3.176018795904E-003  6.919754316921E-001  1.989856184395E+000 -1.383402091515E+001
  1.864263225826E-001  3.212229282769E-003  6.982610543409E-001  1.946041820623E+000 -1.360118505978E+001
  1.896567915983E-001  3.248763033179E-003  7.044771162974E-001  1.902478895486E+000 -1.336947517450E+001
  1.929239580409E-001  3.285624961791E-003  7.106218879167E-001  1.859176220257E+000 -1.313894615159E+001
  1.962281525771E-001  3.322820058613E-003  7.166936632554E-001  1.816142460206E+000 -1.290965226210E+001
  1.995697109023E-001  3.360353390492E-003  7.226907606690E-001  1.773386129883E+000 -1.268164711663E+001
  2.029489738173E-001  3.398230102644E-003  7.286115233928E-001  1.730915588485E+000 -1.245498362620E+001
  2.063662873085E-001  3.436455420218E-003  7.344543201087E-001  1.688739035309E+000 -1.222971396319E+001
  2.098220026275E-001  3.475034649885E-003  7.402175454945E-001  1.646864505291E+000 -1.200588952251E+001
  2.133164763746E-001  3.513973181471E-003  7.458996207571E-001  1.605299864644E+000 -1.178356088294E+001
  2.168500705817E-001  3.553276489620E-003  7.514989941477E-001  1.564052806605E+000 -1.156277776880E+001
  2.204231527988E-001  3.592950135496E-003  7.570141414591E-001  1.523130847287E+000 -1.134358901192E+001
  2.240360961807E-001  3.632999768520E-003  7.624435665031E-001  1.482541321652E+000 -1.112604251400E+001
  2.276892795770E-001  3.673431128145E-003  7.677858015701E-001  1.442291379611E+000 -1.091018520945E+001
  2.313830876220E-001  3.714250045674E-003  7.730394078667E-001  1.402387982251E+000 -1.069606302867E+001
  2.351179108282E-001  3.755462446115E-003  7.782029759342E-001  1.362837898207E+000 -1.048372086197E+001
  2.388941456809E-001  3.797074350078E-003  7.832751260445E-001  1.323647700167E+000 -1.027320252408E+001
  2.427121947345E-001  3.839091875711E-003  7.882545085754E-001  1.284823761547E+000 -1.006455071930E+001
  2.465724667110E-001  3.881521240686E-003  7.931398043625E-001  1.246372253306E+000 -9.857807007453E+000
  2.504753766009E-001  3.924368764227E-003  7.979297250292E-001  1.208299140939E+000 -9.653011770595E+000
  2.544213457654E-001  3.967640869177E-003  8.026230132927E-001  1.170610181632E+000 -9.450204180625E+000
  2.584108020414E-001  4.011344084122E-003  8.072184432469E-001  1.133310921604E+000 -9.249422167778E+000
  2.624441798480E-001  4.055485045557E-003  8.117148206208E-001  1.096406693623E+000 -9.050702390116E+000
