# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.117414737481E-005  6.222842006698E+000 -3.498757638230E+001
  3.932200719717E-005  3.932303800261E-005  2.446811140012E-004  6.221810234033E+000 -3.498280255758E+001
  8.847741541455E-005  5.898842277178E-005  5.504744754392E-004  6.220090835633E+000 -3.497484676135E+001
  1.573003992804E-004  7.865844718600E-005  9.784768644728E-004  6.217684145570E+000 -3.496370986171E+001
  2.457963722417E-004  9.833465899987E-005  1.528579981391E-003  6.214590631566E+000 -3.494939307516E+001
  3.539722959954E-004  1.180186070023E-004  2.200644608405E-003  6.210810895015E+000 -3.493189796786E+001
  4.818366816528E-004  1.377118412759E-004  2.994500628204E-003  6.206345671006E+000 -3.491122645719E+001
  6.293995911626E-004  1.574159134560E-004  3.909947046690E-003  6.201195828360E+000 -3.488738081358E+001
  7.966726389934E-004  1.771323769912E-004  4.946752019892E-003  6.195362369662E+000 -3.486036366279E+001
  9.836689940782E-004  1.968627874036E-004  6.104652885127E-003  6.188846431307E+000 -3.483017798845E+001
  1.190403382016E-003  2.166087025496E-004  7.383356196395E-003  6.181649283543E+000 -3.479682713494E+001
  1.416892087541E-003  2.363716828821E-004  8.782537764105E-003  6.173772330524E+000 -3.476031481062E+001
  1.663152957245E-003  2.561532917128E-004  1.030184269912E-002  6.165217110361E+000 -3.472064509138E+001
  1.929205402573E-003  2.759550954757E-004  1.194088546121E-002  6.155985295180E+000 -3.467782242445E+001
  2.215070403074E-003  2.957786639908E-004  1.369924991196E-002  6.146078691183E+000 -3.463185163259E+001
  2.520770509919E-003  3.156255707300E-004  1.557648937218E-002  6.135499238706E+000 -3.458273791859E+001
  2.846329849692E-003  3.354973930828E-004  1.757212668386E-002  6.124249012281E+000 -3.453048686996E+001
  3.191774128432E-003  3.553957126240E-004  1.968565427681E-002  6.112330220699E+000 -3.447510446408E+001
  3.557130635959E-003  3.753221153821E-004  2.191653423996E-002  6.099745207073E+000 -3.441659707345E+001
  3.942428250463E-003  3.952781921092E-004  2.426419839749E-002  6.086496448897E+000 -3.435497147137E+001
  4.347697443358E-003  4.152655385525E-004  2.672804838974E-002  6.072586558104E+000 -3.429023483780E+001
  4.772970284417E-003  4.352857557265E-004  2.930745575916E-002  6.058018281120E+000 -3.422239476551E+001
  5.218280447175E-003  4.553404501876E-004  3.200176204124E-002  6.042794498921E+000 -3.415145926645E+001
  5.683663214611E-003  4.754312343099E-004  3.481027886054E-002  6.026918227071E+000 -3.407743677841E+001
  6.169155485101E-003  4.955597265624E-004  3.773228803198E-002  6.010392615770E+000 -3.400033617185E+001
  6.674795778653E-003  5.157275517886E-004  4.076704166740E-002  5.993220949880E+000 -3.392016675700E+001
  7.200624243425E-003  5.359363414876E-004  4.391376228757E-002  5.975406648955E+000 -3.383693829113E+001
  7.746682662519E-003  5.561877340970E-004  4.717164293967E-002  5.956953267255E+000 -3.375066098603E+001
  8.313014461060E-003  5.764833752781E-004  5.053984732043E-002  5.937864493747E+000 -3.366134551570E+001
  8.899664713569E-003  5.968249182030E-004  5.401750990498E-002  5.918144152102E+000 -3.356900302414E+001
  9.506680151615E-003  6.172140238444E-004  5.760373608154E-002  5.897796200673E+000 -3.347364513338E+001
  1.013410917176E-002  6.376523612666E-004  6.129760229206E-002  5.876824732461E+000 -3.337528395162E+001
  1.078200184380E-002  6.581416079202E-004  6.509815617898E-002  5.855233975059E+000 -3.327393208148E+001
  1.145040991929E-002  6.786834499385E-004  6.900441673813E-002  5.833028290591E+000 -3.316960262842E+001
  1.213938684040E-002  6.992795824361E-004  7.301537447795E-002  5.810212175620E+000 -3.306230920920E+001
  1.284898774901E-002  7.199317098113E-004  7.712999158516E-002  5.786790261044E+000 -3.295206596050E+001
  1.357926949620E-002  7.406415460502E-004  8.134720209702E-002  5.762767311963E+000 -3.283888754758E+001
  1.433029065191E-002  7.614108150341E-004  8.566591208022E-002  5.738148227533E+000 -3.272278917295E+001
  1.510211151509E-002  7.822412508494E-004  9.008499981663E-002  5.712938040785E+000 -3.260378658522E+001
  1.589479412397E-002  8.031345981016E-004  9.460331599593E-002  5.687141918423E+000 -3.248189608780E+001
  1.670840226680E-002  8.240926122311E-004  9.921968391544E-002  5.660765160596E+000 -3.235713454777E+001
  1.754300149280E-002  8.451170598329E-004  1.039328996870E-001  5.633813200635E+000 -3.222951940464E+001
  1.839865912351E-002  8.662097189796E-004  1.087417324513E-001  5.606291604763E+000 -3.209906867914E+001
  1.927544426443E-002  8.873723795480E-004  1.136449245995E-001  5.578206071772E+000 -3.196580098198E+001
  2.017342781695E-002  9.086068435487E-004  1.186411920028E-001  5.549562432664E+000 -3.182973552249E+001
  2.109268249069E-002  9.299149254598E-004  1.237292242493E-001  5.520366650258E+000 -3.169089211725E+001
  2.203328281612E-002  9.512984525641E-004  1.289076848889E-001  5.490624818755E+000 -3.154929119862E+001
  2.299530515754E-002  9.727592652906E-004  1.341752116865E-001  5.460343163272E+000 -3.140495382312E+001
  2.397882772639E-002  9.942992175591E-004  1.395304168825E-001  5.429528039325E+000 -3.125790167972E+001
  2.498393059493E-002  1.015920177130E-003  1.449718874624E-001  5.398185932276E+000 -3.110815709798E+001
  2.601069571024E-002  1.037624025957E-003  1.504981854343E-001  5.366323456734E+000 -3.095574305601E+001
  2.705920690860E-002  1.059412660547E-003  1.561078481148E-001  5.333947355905E+000 -3.080068318825E+001
  2.812954993023E-002  1.081287992318E-003  1.617993884240E-001  5.301064500904E+000 -3.064300179307E+001
  2.922181243436E-002  1.103251947969E-003  1.675712951884E-001  5.267681890005E+000 -3.048272384009E+001
  3.033608401473E-002  1.125306469854E-003  1.734220334536E-001  5.233806647851E+000 -3.031987497734E+001
  3.147245621542E-002  1.147453516351E-003  1.793500448052E-001  5.199446024602E+000 -3.015448153809E+001
  3.263102254705E-002  1.169695062249E-003  1.853537476989E-001  5.164607395035E+000 -2.998657054743E+001
  3.381187850339E-002  1.192033099133E-003  1.914315378000E-001  5.129298257583E+000 -2.981616972857E+001
  3.501512157837E-002  1.214469635775E-003  1.975817883319E-001  5.093526233314E+000 -2.964330750876E+001
  3.624085128345E-002  1.237006698530E-003  2.038028504344E-001  5.057299064861E+000 -2.946801302494E+001
  3.748916916538E-002  1.259646331739E-003  2.100930535303E-001  5.020624615276E+000 -2.929031612902E+001
  3.876017882444E-002  1.282390598136E-003  2.164507057033E-001  4.983510866829E+000 -2.911024739271E+001
  4.005398593302E-002  1.305241579266E-003  2.228740940836E-001  4.945965919746E+000 -2.892783811205E+001
  4.137069825459E-002  1.328201375897E-003  2.293614852447E-001  4.907997990872E+000 -2.874312031149E+001
  4.271042566323E-002  1.351272108452E-003  2.359111256092E-001  4.869615412269E+000 -2.855612674750E+001
  4.407328016341E-002  1.374455917436E-003  2.425212418645E-001  4.830826629751E+000 -2.836689091177E+001
  4.545937591035E-002  1.397754963880E-003  2.491900413882E-001  4.791640201340E+000 -2.817544703392E+001
  4.686882923075E-002  1.421171429779E-003  2.559157126840E-001  4.752064795655E+000 -2.798183008373E+001
  4.830175864396E-002  1.444707518548E-003  2.626964258271E-001  4.712109190226E+000 -2.778607577282E+001
  4.975828488365E-002  1.468365455478E-003  2.695303329194E-001  4.671782269732E+000 -2.758822055584E+001
  5.123853091993E-002  1.492147488203E-003  2.764155685553E-001  4.631093024169E+000 -2.738830163114E+001
