# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.128093908269E-005  6.233705196655E+000 -3.505378356777E+001
  3.932200719717E-005  3.932303800261E-005  2.451082508434E-004  6.232671471600E+000 -3.504899808873E+001
  8.847741541455E-005  5.898842277178E-005  5.514354208829E-004  6.230948819809E+000 -3.504102287285E+001
  1.573003992804E-004  7.865844718600E-005  9.801849320826E-004  6.228537576243E+000 -3.502985879446E+001
  2.457963722417E-004  9.833465899987E-005  1.531248274930E-003  6.225438209871E+000 -3.501550707889E+001
  3.539722959954E-004  1.180186070023E-004  2.204485961997E-003  6.221651323684E+000 -3.499796930357E+001
  4.818366816528E-004  1.377118412759E-004  2.999727546575E-003  6.217177654727E+000 -3.497724739966E+001
  6.293995911626E-004  1.574159134560E-004  3.916771645508E-003  6.212018074126E+000 -3.495334365388E+001
  7.966726389934E-004  1.771323769912E-004  4.955385966222E-003  6.206173587127E+000 -3.492626071075E+001
  9.836689940782E-004  1.968627874036E-004  6.115307338013E-003  6.199645333134E+000 -3.489600157514E+001
  1.190403382016E-003  2.166087025496E-004  7.396241747599E-003  6.192434585757E+000 -3.486256961514E+001
  1.416892087541E-003  2.363716828821E-004  8.797864379003E-003  6.184542752858E+000 -3.482596856526E+001
  1.663152957245E-003  2.561532917128E-004  1.031981965779E-002  6.175971376607E+000 -3.478620252997E+001
  1.929205402573E-003  2.759550954757E-004  1.196172129974E-002  6.166722133532E+000 -3.474327598755E+001
  2.215070403074E-003  2.957786639908E-004  1.372315236392E-002  6.156796834580E+000 -3.469719379421E+001
  2.520770509919E-003  3.156255707300E-004  1.560366531037E-002  6.146197425176E+000 -3.464796118856E+001
  2.846329849692E-003  3.354973930828E-004  1.760278206234E-002  6.134925985280E+000 -3.459558379634E+001
  3.191774128432E-003  3.553957126240E-004  1.971999407312E-002  6.122984729449E+000 -3.454006763550E+001
  3.557130635959E-003  3.753221153821E-004  2.195476239771E-002  6.110376006897E+000 -3.448141912148E+001
  3.942428250463E-003  3.952781921092E-004  2.430651776917E-002  6.097102301551E+000 -3.441964507283E+001
  4.347697443358E-003  4.152655385525E-004  2.677466067993E-002  6.083166232108E+000 -3.435475271707E+001
  4.772970284417E-003  4.352857557265E-004  2.935856146803E-002  6.068570552088E+000 -3.428674969679E+001
  5.218280447175E-003  4.553404501876E-004  3.205756040841E-002  6.053318149881E+000 -3.421564407605E+001
  5.683663214611E-003  4.754312343099E-004  3.487096780932E-002  6.037412048792E+000 -3.414144434695E+001
  6.169155485101E-003  4.955597265624E-004  3.779806411395E-002  6.020855407074E+000 -3.406415943649E+001
  6.674795778653E-003  5.157275517886E-004  4.083810000749E-002  6.003651517964E+000 -3.398379871361E+001
  7.200624243425E-003  5.359363414876E-004  4.399029652943E-002  5.985803809700E+000 -3.390037199645E+001
  7.746682662519E-003  5.561877340970E-004  4.725384519157E-002  5.967315845532E+000 -3.381388955979E+001
  8.313014461060E-003  5.764833752781E-004  5.062790810156E-002  5.948191323726E+000 -3.372436214270E+001
  8.899664713569E-003  5.968249182030E-004  5.411161809222E-002  5.928434077552E+000 -3.363180095633E+001
