# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   1.9900
  9.830308526508E-006  1.966074589941E-005  6.117157639938E-005  6.222580544953E+000 -3.497255585851E+001
  3.932200719717E-005  3.932303800261E-005  2.446708386054E-004  6.221549215116E+000 -3.496779243359E+001
  8.847741541455E-005  5.898842277178E-005  5.504513876791E-004  6.219830554119E+000 -3.495985395967E+001
  1.573003992804E-004  7.865844718600E-005  9.784358988506E-004  6.217424895071E+000 -3.494874128883E+001
  2.457963722417E-004  9.833465899987E-005  1.528516131717E-003  6.214332704349E+000 -3.493445561518E+001
  3.539722959954E-004  1.180186070023E-004  2.200552944541E-003  6.210554581617E+000 -3.491699847611E+001
  4.818366816528E-004  1.377118412759E-004  2.994376312661E-003  6.206091259858E+000 -3.489637175392E+001
  6.293995911626E-004  1.574159134560E-004  3.909785351039E-003  6.200943605409E+000 -3.487257767765E+001
  7.966726389934E-004  1.771323769912E-004  4.946548340965E-003  6.195112617998E+000 -3.484561882543E+001
  9.836689940782E-004  1.968627874036E-004  6.104402760966E-003  6.188599430796E+000 -3.481549812708E+001
  1.190403382016E-003  2.166087025496E-004  7.383055321927E-003  6.181405310459E+000 -3.478221886700E+001
  1.416892087541E-003  2.363716828821E-004  8.782182006501E-003  6.173531657192E+000 -3.474578468753E+001
  1.663152957245E-003  2.561532917128E-004  1.030142811282E-002  6.164980004803E+000 -3.470619959248E+001
  1.929205402573E-003  2.759550954757E-004  1.194040830258E-002  6.155752020765E+000 -3.466346795112E+001
  2.215070403074E-003  2.957786639908E-004  1.369870665352E-002  6.145849506284E+000 -3.461759450240E+001
  2.520770509919E-003  3.156255707300E-004  1.557587671646E-002  6.135274396369E+000 -3.456858435951E+001
  2.846329849692E-003  3.354973930828E-004  1.757144157674E-002  6.124028759892E+000 -3.451644301473E+001
  3.191774128432E-003  3.553957126240E-004  1.968489392039E-002  6.112114799670E+000 -3.446117634463E+001
  3.557130635959E-003  3.753221153821E-004  2.191569610496E-002  6.099534852526E+000 -3.440279061546E+001
  3.942428250463E-003  3.952781921092E-004  2.426328023504E-002  6.086291389360E+000 -3.434129248892E+001
  4.347697443358E-003  4.152655385525E-004  2.672704824266E-002  6.072387015219E+000 -3.427668902817E+001
  4.772970284417E-003  4.352857557265E-004  2.930637197265E-002  6.057824469362E+000 -3.420898770404E+001
  5.218280447175E-003  4.553404501876E-004  3.200059327293E-002  6.042606625316E+000 -3.413819640164E+001
  5.683663214611E-003  4.754312343099E-004  3.480902408993E-002  6.026736490938E+000 -3.406432342703E+001
  6.169155485101E-003  4.955597265624E-004  3.773094656921E-002  6.010217208463E+000 -3.398737751429E+001
  6.674795778653E-003  5.157275517886E-004  4.076561316139E-002  5.993052054550E+000 -3.390736783271E+001
  7.200624243425E-003  5.359363414876E-004  4.391224673341E-002  5.975244440315E+000 -3.382430399423E+001
  7.746682662519E-003  5.561877340970E-004  4.717004068533E-002  5.956797911362E+000 -3.373819606110E+001
  8.313014461060E-003  5.764833752781E-004  5.053815907273E-002  5.937716147795E+000 -3.364905455366E+001
  8.899664713569E-003  5.968249182030E-004  5.401573673485E-002  5.918002964229E+000 -3.355689045838E+001
  9.506680151615E-003  6.172140238444E-004  5.760187942849E-002  5.897662309775E+000 -3.346171523600E+001
  1.013410917176E-002  6.376523612666E-004  6.129566396789E-002  5.876698268024E+000 -3.336354082988E+001
  1.078200184380E-002  6.581416079202E-004  6.509613837073E-002  5.855115057006E+000 -3.326237967441E+001
  1.145040991929E-002  6.786834499385E-004  6.900232201019E-002  5.832917029136E+000 -3.315824470358E+001
  1.213938684040E-002  6.992795824361E-004  7.301320577346E-002  5.810108671140E+000 -3.305114935971E+001
  1.284898774901E-002  7.199317098113E-004  7.712775222651E-002  5.786694603963E+000 -3.294110760219E+001
  1.357926949620E-002  7.406415460502E-004  8.134489578561E-002  5.762679582655E+000 -3.282813391633E+001
  1.433029065191E-002  7.614108150341E-004  8.566354289535E-002  5.738068496232E+000 -3.271224332228E+001
  1.510211151509E-002  7.822412508494E-004  9.008257221360E-002  5.712866367512E+000 -3.259345138400E+001
  1.589479412397E-002  8.031345981016E-004  9.460083480337E-002  5.687078352932E+000 -3.247177421825E+001
  1.670840226680E-002  8.240926122311E-004  9.921715433171E-002  5.660709742328E+000 -3.234722850359E+001
