# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0100
  9.830308526508E-006  1.966074589941E-005  6.097798082842E-005  6.202887327405E+000 -3.486562749073E+001
  3.932200719717E-005  3.932303800261E-005  2.438965030960E-004  6.201859150892E+000 -3.486087594709E+001
  8.847741541455E-005  5.898842277178E-005  5.487093081856E-004  6.200145744931E+000 -3.485295727670E+001
  1.573003992804E-004  7.865844718600E-005  9.753393051936E-004  6.197747441878E+000 -3.484187233372E+001
  2.457963722417E-004  9.833465899987E-005  1.523678581122E-003  6.194664707050E+000 -3.482762231520E+001
  3.539722959954E-004  1.180186070023E-004  2.193588415168E-003  6.190898138752E+000 -3.481020876228E+001
  4.818366816528E-004  1.377118412759E-004  2.984899297125E-003  6.186448468300E+000 -3.478963356175E+001
  6.293995911626E-004  1.574159134560E-004  3.897410949916E-003  6.181316560062E+000 -3.476589894801E+001
  7.966726389934E-004  1.771323769912E-004  4.930892356283E-003  6.175503411490E+000 -3.473900750526E+001
  9.836689940782E-004  1.968627874036E-004  6.085081789674E-003  6.169010153169E+000 -3.470896217012E+001
  1.190403382016E-003  2.166087025496E-004  7.359686849347E-003  6.161838048866E+000 -3.467576623456E+001
  1.416892087541E-003  2.363716828821E-004  8.754384499749E-003  6.153988495579E+000 -3.463942334909E+001
  1.663152957245E-003  2.561532917128E-004  1.026882111420E-002  6.145463023602E+000 -3.459993752642E+001
  1.929205402573E-003  2.759550954757E-004  1.190261252294E-002  6.136263296578E+000 -3.455731314527E+001
  2.215070403074E-003  2.957786639908E-004  1.365534406559E-002  6.126391111568E+000 -3.451155495465E+001
  2.520770509919E-003  3.156255707300E-004  1.552657064810E-002  6.115848399112E+000 -3.446266807831E+001
  2.846329849692E-003  3.354973930828E-004  1.751581680419E-002  6.104637223300E+000 -3.441065801963E+001
  3.191774128432E-003  3.553957126240E-004  1.962257676146E-002  6.092759781837E+000 -3.435553066665E+001
  3.557130635959E-003  3.753221153821E-004  2.184631451210E-002  6.080218406109E+000 -3.429729229754E+001
