# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.129261192936E-005  6.234892744800E+000 -3.503064770217E+001
  3.932200719717E-005  3.932303800261E-005  2.451549565603E-004  6.233859701740E+000 -3.502588396707E+001
  8.847741541455E-005  5.898842277178E-005  5.515405624476E-004  6.232138185243E+000 -3.501794496772E+001
  1.573003992804E-004  7.865844718600E-005  9.803719839409E-004  6.229728528224E+000 -3.500683154348E+001
  2.457963722417E-004  9.833465899987E-005  1.531540811327E-003  6.226631196792E+000 -3.499254487069E+001
  3.539722959954E-004  1.180186070023E-004  2.204907685053E-003  6.222846790269E+000 -3.497508646397E+001
  4.818366816528E-004  1.377118412759E-004  3.000302314036E-003  6.218376041225E+000 -3.495445817777E+001
  6.293995911626E-004  1.574159134560E-004  3.917523498092E-003  6.213219815512E+000 -3.493066220839E+001
  7.966726389934E-004  1.771323769912E-004  4.956339154498E-003  6.207379112313E+000 -3.490370109626E+001
  9.836689940782E-004  1.968627874036E-004  6.116486348741E-003  6.200855064185E+000 -3.487357772861E+001
  1.190403382016E-003  2.166087025496E-004  7.397671329456E-003  6.193648937117E+000 -3.484029534248E+001
  1.416892087541E-003  2.363716828821E-004  8.799569567634E-003  6.185762130592E+000 -3.480385752803E+001
  1.663152957245E-003  2.561532917128E-004  1.032182580011E-002  6.177196177646E+000 -3.476426823228E+001
  1.929205402573E-003  2.759550954757E-004  1.196405407742E-002  6.167952744940E+000 -3.472153176304E+001
  2.215070403074E-003  2.957786639908E-004  1.372583781601E-002  6.158033632829E+000 -3.467565279331E+001
  2.520770509919E-003  3.156255707300E-004  1.560672985499E-002  6.147440775438E+000 -3.462663636588E+001
  2.846329849692E-003  3.354973930828E-004  1.760625251729E-002  6.136176240736E+000 -3.457448789829E+001
  3.191774128432E-003  3.553957126240E-004  1.972389767557E-002  6.124242230616E+000 -3.451921318811E+001
  3.557130635959E-003  3.753221153821E-004  2.195912682261E-002  6.111641080967E+000 -3.446081841850E+001
  3.942428250463E-003  3.952781921092E-004  2.431137114664E-002  6.098375261759E+000 -3.439931016400E+001
  4.347697443358E-003  4.152655385525E-004  2.678003161128E-002  6.084447377111E+000 -3.433469539672E+001
  4.772970284417E-003  4.352857557265E-004  2.936447904058E-002  6.069860165369E+000 -3.426698149268E+001
  5.218280447175E-003  4.553404501876E-004  3.206405420894E-002  6.054616499177E+000 -3.419617623848E+001
  5.683663214611E-003  4.754312343099E-004  3.487806793615E-002  6.038719385538E+000 -3.412228783821E+001
  6.169155485101E-003  4.955597265624E-004  3.780580118762E-002  6.022171965880E+000 -3.404532492056E+001
  6.674795778653E-003  5.157275517886E-004  4.084650517987E-002  6.004977516107E+000 -3.396529654622E+001
  7.200624243425E-003  5.359363414876E-004  4.399940149144E-002  5.987139446647E+000 -3.388221221544E+001
  7.746682662519E-003  5.561877340970E-004  4.726368217928E-002  5.968661302487E+000 -3.379608187583E+001
  8.313014461060E-003  5.764833752781E-004  5.063850990070E-002  5.949546763206E+000 -3.370691593037E+001
  8.899664713569E-003  5.968249182030E-004  5.412301804110E-002  5.929799642985E+000 -3.361472524551E+001
  9.506680151615E-003  6.172140238444E-004  5.771631084748E-002  5.909423890613E+000 -3.351952115957E+001
  1.013410917176E-002  6.376523612666E-004  6.141746356791E-002  5.888423589480E+000 -3.342131549119E+001
  1.078200184380E-002  6.581416079202E-004  6.522552259704E-002  5.866802957546E+000 -3.332012054798E+001
  1.145040991929E-002  6.786834499385E-004  6.913950562787E-002  5.844566347299E+000 -3.321594913523E+001
  1.213938684040E-002  6.992795824361E-004  7.315840180973E-002  5.821718245698E+000 -3.310881456482E+001
  1.284898774901E-002  7.199317098113E-004  7.728117191276E-002  5.798263274088E+000 -3.299873066417E+001
  1.357926949620E-002  7.406415460502E-004  8.150674849895E-002  5.774206188100E+000 -3.288571178525E+001
  1.433029065191E-002  7.614108150341E-004  8.583403609983E-002  5.749551877526E+000 -3.276977281374E+001
  1.510211151509E-002  7.822412508494E-004  9.026191140106E-002  5.724305366167E+000 -3.265092917814E+001
  1.589479412397E-002  8.031345981016E-004  9.478922343388E-002  5.698471811662E+000 -3.252919685898E+001
  1.670840226680E-002  8.240926122311E-004  9.941479377375E-002  5.672056505282E+000 -3.240459239805E+001
  1.754300149280E-002  8.451170598329E-004  1.041374167461E-001  5.645064871699E+000 -3.227713290754E+001
  1.839865912351E-002  8.662097189796E-004  1.089558596395E-001  5.617502468720E+000 -3.214683607930E+001
  1.927544426443E-002  8.873723795480E-004  1.138688629263E-001  5.589374986997E+000 -3.201372019396E+001
  2.017342781695E-002  9.086068435487E-004  1.188751404911E-001  5.560688249690E+000 -3.187780413003E+001
  2.109268249069E-002  9.299149254598E-004  1.239733798664E-001  5.531448212105E+000 -3.173910737291E+001
  2.203328281612E-002  9.512984525641E-004  1.291622424766E-001  5.501660961286E+000 -3.159765002388E+001
  2.299530515754E-002  9.727592652906E-004  1.344403638902E-001  5.471332715576E+000 -3.145345280888E+001
  2.397882772639E-002  9.942992175591E-004  1.398063540797E-001  5.440469824131E+000 -3.130653708725E+001
  2.498393059493E-002  1.015920177130E-003  1.452587976898E-001  5.409078766386E+000 -3.115692486025E+001
