# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   2.0000
  9.830308526508E-006  1.966074589941E-005  6.126919250817E-005  6.232510147910E+000 -3.507703040773E+001
  3.932200719717E-005  3.932303800261E-005  2.450612501450E-004  6.231475737588E+000 -3.507222309489E+001
  8.847741541455E-005  5.898842277178E-005  5.513296153469E-004  6.229751945056E+000 -3.506421151274E+001
  1.573003992804E-004  7.865844718600E-005  9.799966991773E-004  6.227339107330E+000 -3.505299657078E+001
  2.457963722417E-004  9.833465899987E-005  1.530953891835E-003  6.224237696248E+000 -3.503857954341E+001
  3.539722959954E-004  1.180186070023E-004  2.204061577390E-003  6.220448318488E+000 -3.502096207115E+001
  4.818366816528E-004  1.377118412759E-004  2.999149152747E-003  6.215971715587E+000 -3.500014616209E+001
  6.293995911626E-004  1.574159134560E-004  3.916015050877E-003  6.210808763967E+000 -3.497613419367E+001
  7.966726389934E-004  1.771323769912E-004  4.954426768322E-003  6.204960474961E+000 -3.494892891485E+001
  9.836689940782E-004  1.968627874036E-004  6.114120897028E-003  6.198427994850E+000 -3.491853344854E+001
  1.190403382016E-003  2.166087025496E-004  7.394803160504E-003  6.191212604895E+000 -3.488495129430E+001
  1.416892087541E-003  2.363716828821E-004  8.796148454390E-003  6.183315721374E+000 -3.484818633148E+001
  1.663152957245E-003  2.561532917128E-004  1.031780089144E-002  6.174738895624E+000 -3.480824282255E+001
  1.929205402573E-003  2.759550954757E-004  1.195937385101E-002  6.165483814085E+000 -3.476512541680E+001
  2.215070403074E-003  2.957786639908E-004  1.372045003303E-002  6.155552298340E+000 -3.471883915426E+001
  2.520770509919E-003  3.156255707300E-004  1.560058151660E-002  6.144946305157E+000 -3.466938947003E+001
  2.846329849692E-003  3.354973930828E-004  1.759928982325E-002  6.133667926540E+000 -3.461678219876E+001
  3.191774128432E-003  3.553957126240E-004  1.971606598485E-002  6.121719389763E+000 -3.456102357950E+001
  3.557130635959E-003  3.753221153821E-004  2.195037061637E-002  6.109103057419E+000 -3.450212026078E+001
  3.942428250463E-003  3.952781921092E-004  2.430163399346E-002  6.095821427451E+000 -3.444007930596E+001
  4.347697443358E-003  4.152655385525E-004  2.676925613496E-002  6.081877133197E+000 -3.437490819884E+001
  4.772970284417E-003  4.352857557265E-004  2.935260689045E-002  6.067272943411E+000 -3.430661484947E+001
  5.218280447175E-003  4.553404501876E-004  3.205102603285E-002  6.052011762299E+000 -3.423520760032E+001
  5.683663214611E-003  4.754312343099E-004  3.486382335624E-002  6.036096629533E+000 -3.416069523249E+001
  6.169155485101E-003  4.955597265624E-004  3.779027877898E-002  6.019530720267E+000 -3.408308697229E+001
  6.674795778653E-003  5.157275517886E-004  4.082964245212E-002  6.002317345140E+000 -3.400239249796E+001
  7.200624243425E-003  5.359363414876E-004  4.398113487335E-002  5.984459950278E+000 -3.391862194662E+001
  7.746682662519E-003  5.561877340970E-004  4.724394700647E-002  5.965962117272E+000 -3.383178592135E+001
  8.313014461060E-003  5.764833752781E-004  5.061724040659E-002  5.946827563156E+000 -3.374189549846E+001
  8.899664713569E-003  5.968249182030E-004  5.410014735105E-002  5.927060140370E+000 -3.364896223501E+001
  9.506680151615E-003  6.172140238444E-004  5.769177097624E-002  5.906663836705E+000 -3.355299817631E+001
  1.013410917176E-002  6.376523612666E-004  6.139118542044E-002  5.885642775235E+000 -3.345401586372E+001
  1.078200184380E-002  6.581416079202E-004  6.519743597279E-002  5.864001214235E+000 -3.335202834246E+001
  1.145040991929E-002  6.786834499385E-004  6.910953922839E-002  5.841743547075E+000 -3.324704916959E+001
  1.213938684040E-002  6.992795824361E-004  7.312648324987E-002  5.818874302105E+000 -3.313909242206E+001
  1.284898774901E-002  7.199317098113E-004  7.724722773536E-002  5.795398142503E+000 -3.302817270485E+001
