# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  2.475711550729E+000 -2.625956282171E+000  3.091157884944E+000
  3.932200719717E-005  3.932303800261E-005  2.475634108162E+000 -2.625865121210E+000  3.090985936907E+000
  8.847741541455E-005  5.898842277178E-005  2.475505036424E+000 -2.625713189577E+000  3.090699372859E+000
  1.573003992804E-004  7.865844718600E-005  2.475324334327E+000 -2.625500492229E+000  3.090298216823E+000
  2.457963722417E-004  9.833465899987E-005  2.475092000207E+000 -2.625227036102E+000  3.089782502436E+000
  3.539722959954E-004  1.180186070023E-004  2.474808031924E+000 -2.624892830115E+000  3.089152272944E+000
  4.818366816528E-004  1.377118412759E-004  2.474472426866E+000 -2.624497885170E+000  3.088407581214E+000
  6.293995911626E-004  1.574159134560E-004  2.474085181943E+000 -2.624042214151E+000  3.087548489731E+000
  7.966726389934E-004  1.771323769912E-004  2.473646293595E+000 -2.623525831924E+000  3.086575070605E+000
  9.836689940782E-004  1.968627874036E-004  2.473155757786E+000 -2.622948755340E+000  3.085487405576E+000
  1.190403382016E-003  2.166087025496E-004  2.472613570007E+000 -2.622311003230E+000  3.084285586019E+000
  1.416892087541E-003  2.363716828821E-004  2.472019725279E+000 -2.621612596411E+000  3.082969712949E+000
  1.663152957245E-003  2.561532917128E-004  2.471374218149E+000 -2.620853557682E+000  3.081539897030E+000
  1.929205402573E-003  2.759550954757E-004  2.470677042695E+000 -2.620033911826E+000  3.079996258580E+000
  2.215070403074E-003  2.957786639908E-004  2.469928192523E+000 -2.619153685612E+000  3.078338927582E+000
  2.520770509919E-003  3.156255707300E-004  2.469127660774E+000 -2.618212907791E+000  3.076568043688E+000
  2.846329849692E-003  3.354973930828E-004  2.468275440116E+000 -2.617211609099E+000  3.074683756234E+000
  3.191774128432E-003  3.553957126240E-004  2.467371522753E+000 -2.616149822259E+000  3.072686224243E+000
  3.557130635959E-003  3.753221153821E-004  2.466415900423E+000 -2.615027581978E+000  3.070575616442E+000
  3.942428250463E-003  3.952781921092E-004  2.465408564399E+000 -2.613844924950E+000  3.068352111267E+000
  4.347697443358E-003  4.152655385525E-004  2.464349505490E+000 -2.612601889852E+000  3.066015896880E+000
  4.772970284417E-003  4.352857557265E-004  2.463238714043E+000 -2.611298517350E+000  3.063567171174E+000
  5.218280447175E-003  4.553404501876E-004  2.462076179945E+000 -2.609934850098E+000  3.061006141794E+000
  5.683663214611E-003  4.754312343099E-004  2.460861892623E+000 -2.608510932732E+000  3.058333026143E+000
  6.169155485101E-003  4.955597265624E-004  2.459595841047E+000 -2.607026811880E+000  3.055548051396E+000
  6.674795778653E-003  5.157275517886E-004  2.458278013730E+000 -2.605482536154E+000  3.052651454519E+000
  7.200624243425E-003  5.359363414876E-004  2.456908398732E+000 -2.603878156156E+000  3.049643482279E+000
  7.746682662519E-003  5.561877340970E-004  2.455486983658E+000 -2.602213724473E+000  3.046524391258E+000
  8.313014461060E-003  5.764833752781E-004  2.454013755665E+000 -2.600489295683E+000  3.043294447872E+000
  8.899664713569E-003  5.968249182030E-004  2.452488701460E+000 -2.598704926349E+000  3.039953928383E+000
  9.506680151615E-003  6.172140238444E-004  2.450911807301E+000 -2.596860675022E+000  3.036503118919E+000
  1.013410917176E-002  6.376523612666E-004  2.449283059004E+000 -2.594956602243E+000  3.032942315486E+000
  1.078200184380E-002  6.581416079202E-004  2.447602441942E+000 -2.592992770538E+000  3.029271823985E+000
  1.145040991929E-002  6.786834499385E-004  2.445869941046E+000 -2.590969244421E+000  3.025491960235E+000
  1.213938684040E-002  6.992795824361E-004  2.444085540809E+000 -2.588886090393E+000  3.021603049981E+000
  1.284898774901E-002  7.199317098113E-004  2.442249225291E+000 -2.586743376943E+000  3.017605428920E+000
  1.357926949620E-002  7.406415460502E-004  2.440360978114E+000 -2.584541174543E+000  3.013499442713E+000
  1.433029065191E-002  7.614108150341E-004  2.438420782474E+000 -2.582279555654E+000  3.009285447005E+000
  1.510211151509E-002  7.822412508494E-004  2.436428621136E+000 -2.579958594719E+000  3.004963807444E+000
  1.589479412397E-002  8.031345981016E-004  2.434384476441E+000 -2.577578368166E+000  3.000534899700E+000
  1.670840226680E-002  8.240926122311E-004  2.432288330305E+000 -2.575138954405E+000  2.995999109479E+000
  1.754300149280E-002  8.451170598329E-004  2.430140164228E+000 -2.572640433829E+000  2.991356832546E+000
  1.839865912351E-002  8.662097189796E-004  2.427939959291E+000 -2.570082888810E+000  2.986608474742E+000
  1.927544426443E-002  8.873723795480E-004  2.425687696162E+000 -2.567466403700E+000  2.981754452003E+000
  2.017342781695E-002  9.086068435487E-004  2.423383355098E+000 -2.564791064829E+000  2.976795190378E+000
  2.109268249069E-002  9.299149254598E-004  2.421026915950E+000 -2.562056960501E+000  2.971731126049E+000
  2.203328281612E-002  9.512984525641E-004  2.418618358165E+000 -2.559264180993E+000  2.966562705347E+000
  2.299530515754E-002  9.727592652906E-004  2.416157660789E+000 -2.556412818557E+000  2.961290384774E+000
  2.397882772639E-002  9.942992175591E-004  2.413644802472E+000 -2.553502967409E+000  2.955914631017E+000
  2.498393059493E-002  1.015920177130E-003  2.411079761471E+000 -2.550534723736E+000  2.950435920970E+000
  2.601069571024E-002  1.037624025957E-003  2.408462515654E+000 -2.547508185685E+000  2.944854741750E+000
  2.705920690860E-002  1.059412660547E-003  2.405793042502E+000 -2.544423453366E+000  2.939171590714E+000
  2.812954993023E-002  1.081287992318E-003  2.403071319117E+000 -2.541280628844E+000  2.933386975478E+000
  2.922181243436E-002  1.103251947969E-003  2.400297322223E+000 -2.538079816138E+000  2.927501413934E+000
  3.033608401473E-002  1.125306469854E-003  2.397471028170E+000 -2.534821121216E+000  2.921515434263E+000
  3.147245621542E-002  1.147453516351E-003  2.394592412941E+000 -2.531504651993E+000  2.915429574956E+000
  3.263102254705E-002  1.169695062249E-003  2.391661452153E+000 -2.528130518322E+000  2.909244384828E+000
  3.381187850339E-002  1.192033099133E-003  2.388678121066E+000 -2.524698831995E+000  2.902960423029E+000
  3.501512157837E-002  1.214469635775E-003  2.385642394583E+000 -2.521209706731E+000  2.896578259067E+000
  3.624085128345E-002  1.237006698530E-003  2.382554247258E+000 -2.517663258177E+000  2.890098472813E+000
  3.748916916538E-002  1.259646331739E-003  2.379413653299E+000 -2.514059603898E+000  2.883521654518E+000
  3.876017882444E-002  1.282390598136E-003  2.376220586575E+000 -2.510398863372E+000  2.876848404829E+000
  4.005398593302E-002  1.305241579266E-003  2.372975020622E+000 -2.506681157983E+000  2.870079334794E+000
  4.137069825459E-002  1.328201375897E-003  2.369676928643E+000 -2.502906611015E+000  2.863215065876E+000
  4.271042566323E-002  1.351272108452E-003  2.366326283520E+000 -2.499075347643E+000  2.856256229964E+000
  4.407328016341E-002  1.374455917436E-003  2.362923057816E+000 -2.495187494925E+000  2.849203469379E+000
  4.545937591035E-002  1.397754963880E-003  2.359467223784E+000 -2.491243181795E+000  2.842057436885E+000
  4.686882923075E-002  1.421171429779E-003  2.355958753367E+000 -2.487242539055E+000  2.834818795692E+000
  4.830175864396E-002  1.444707518548E-003  2.352397618212E+000 -2.483185699361E+000  2.827488219466E+000
  4.975828488365E-002  1.468365455478E-003  2.348783789670E+000 -2.479072797218E+000  2.820066392330E+000
  5.123853091993E-002  1.492147488203E-003  2.345117238806E+000 -2.474903968968E+000  2.812554008866E+000
  5.274262198188E-002  1.516055887169E-003  2.341397936404E+000 -2.470679352778E+000  2.804951774122E+000
  5.427068558066E-002  1.540092946119E-003  2.337625852975E+000 -2.466399088629E+000  2.797260403606E+000
  5.582285153302E-002  1.564260982573E-003  2.333800958764E+000 -2.462063318306E+000  2.789480623289E+000
  5.739925198530E-002  1.588562338332E-003  2.329923223757E+000 -2.457672185383E+000  2.781613169600E+000
  5.900002143803E-002  1.612999379973E-003  2.325992617687E+000 -2.453225835209E+000  2.773658789422E+000
  6.062529677088E-002  1.637574499364E-003  2.322009110045E+000 -2.448724414897E+000  2.765618240086E+000
  6.227521726827E-002  1.662290114181E-003  2.317972670084E+000 -2.444168073309E+000  2.757492289361E+000
  6.394992464542E-002  1.687148668440E-003  2.313883266832E+000 -2.439556961037E+000  2.749281715449E+000
  6.564956307496E-002  1.712152633027E-003  2.309740869094E+000 -2.434891230393E+000  2.740987306966E+000
  6.737427921404E-002  1.737304506249E-003  2.305545445467E+000 -2.430171035386E+000  2.732609862932E+000
  6.912422223211E-002  1.762606814387E-003  2.301296964344E+000 -2.425396531712E+000  2.724150192757E+000
