# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  2.475711550741E+000 -2.625956282283E+000  3.091157885689E+000
  3.932200719717E-005  3.932303800261E-005  2.475634108174E+000 -2.625865121321E+000  3.090985937652E+000
  8.847741541455E-005  5.898842277178E-005  2.475505036436E+000 -2.625713189689E+000  3.090699373604E+000
  1.573003992804E-004  7.865844718600E-005  2.475324334339E+000 -2.625500492341E+000  3.090298217568E+000
  2.457963722417E-004  9.833465899987E-005  2.475092000218E+000 -2.625227036213E+000  3.089782503180E+000
  3.539722959954E-004  1.180186070023E-004  2.474808031936E+000 -2.624892830226E+000  3.089152273688E+000
  4.818366816528E-004  1.377118412759E-004  2.474472426877E+000 -2.624497885281E+000  3.088407581957E+000
  6.293995911626E-004  1.574159134560E-004  2.474085181955E+000 -2.624042214262E+000  3.087548490474E+000
  7.966726389934E-004  1.771323769912E-004  2.473646293607E+000 -2.623525832035E+000  3.086575071347E+000
  9.836689940782E-004  1.968627874036E-004  2.473155757798E+000 -2.622948755451E+000  3.085487406317E+000
  1.190403382016E-003  2.166087025496E-004  2.472613570019E+000 -2.622311003341E+000  3.084285586759E+000
  1.416892087541E-003  2.363716828821E-004  2.472019725291E+000 -2.621612596522E+000  3.082969713689E+000
  1.663152957245E-003  2.561532917128E-004  2.471374218161E+000 -2.620853557792E+000  3.081539897769E+000
  1.929205402573E-003  2.759550954757E-004  2.470677042706E+000 -2.620033911937E+000  3.079996259318E+000
  2.215070403074E-003  2.957786639908E-004  2.469928192535E+000 -2.619153685722E+000  3.078338928319E+000
  2.520770509919E-003  3.156255707300E-004  2.469127660785E+000 -2.618212907900E+000  3.076568044424E+000
  2.846329849692E-003  3.354973930828E-004  2.468275440127E+000 -2.617211609209E+000  3.074683756968E+000
  3.191774128432E-003  3.553957126240E-004  2.467371522764E+000 -2.616149822369E+000  3.072686224976E+000
  3.557130635959E-003  3.753221153821E-004  2.466415900434E+000 -2.615027582087E+000  3.070575617174E+000
  3.942428250463E-003  3.952781921092E-004  2.465408564410E+000 -2.613844925058E+000  3.068352111997E+000
  4.347697443358E-003  4.152655385525E-004  2.464349505501E+000 -2.612601889960E+000  3.066015897608E+000
  4.772970284417E-003  4.352857557265E-004  2.463238714054E+000 -2.611298517459E+000  3.063567171902E+000
  5.218280447175E-003  4.553404501876E-004  2.462076179956E+000 -2.609934850205E+000  3.061006142520E+000
