# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  2.168096144534E+000 -2.204381189363E+000  2.093096893341E+000
  3.932200719717E-005  3.932303800261E-005  2.168031134499E+000 -2.204319460884E+000  2.093062691704E+000
  8.847741541455E-005  5.898842277178E-005  2.167922782804E+000 -2.204216576934E+000  2.093005678742E+000
  1.573003992804E-004  7.865844718600E-005  2.167771086999E+000 -2.204072532786E+000  2.092925839109E+000
  2.457963722417E-004  9.833465899987E-005  2.167576043651E+000 -2.203887321821E+000  2.092823151322E+000
  3.539722959954E-004  1.180186070023E-004  2.167337648349E+000 -2.203660935534E+000  2.092697587765E+000
  4.818366816528E-004  1.377118412759E-004  2.167055895704E+000 -2.203393363534E+000  2.092549114691E+000
  6.293995911626E-004  1.574159134560E-004  2.166730779351E+000 -2.203084593545E+000  2.092377692225E+000
  7.966726389934E-004  1.771323769912E-004  2.166362291948E+000 -2.202734611411E+000  2.092183274372E+000
  9.836689940782E-004  1.968627874036E-004  2.165950425182E+000 -2.202343401095E+000  2.091965809020E+000
  1.190403382016E-003  2.166087025496E-004  2.165495169770E+000 -2.201910944688E+000  2.091725237947E+000
  1.416892087541E-003  2.363716828821E-004  2.164996515458E+000 -2.201437222410E+000  2.091461496827E+000
  1.663152957245E-003  2.561532917128E-004  2.164454451028E+000 -2.200922212614E+000  2.091174515238E+000
  1.929205402573E-003  2.759550954757E-004  2.163868964298E+000 -2.200365891793E+000  2.090864216671E+000
  2.215070403074E-003  2.957786639908E-004  2.163240042128E+000 -2.199768234582E+000  2.090530518539E+000
  2.520770509919E-003  3.156255707300E-004  2.162567670421E+000 -2.199129213766E+000  2.090173332185E+000
  2.846329849692E-003  3.354973930828E-004  2.161851834127E+000 -2.198448800287E+000  2.089792562896E+000
  3.191774128432E-003  3.553957126240E-004  2.161092517248E+000 -2.197726963248E+000  2.089388109912E+000
  3.557130635959E-003  3.753221153821E-004  2.160289702842E+000 -2.196963669921E+000  2.088959866439E+000
  3.942428250463E-003  3.952781921092E-004  2.159443373027E+000 -2.196158885756E+000  2.088507719661E+000
  4.347697443358E-003  4.152655385525E-004  2.158553508987E+000 -2.195312574386E+000  2.088031550755E+000
  4.772970284417E-003  4.352857557265E-004  2.157620090974E+000 -2.194424697638E+000  2.087531234907E+000
  5.218280447175E-003  4.553404501876E-004  2.156643098317E+000 -2.193495215541E+000  2.087006641323E+000
  5.683663214611E-003  4.754312343099E-004  2.155622509427E+000 -2.192524086333E+000  2.086457633252E+000
  6.169155485101E-003  4.955597265624E-004  2.154558301799E+000 -2.191511266476E+000  2.085884067996E+000
  6.674795778653E-003  5.157275517886E-004  2.153450452025E+000 -2.190456710660E+000  2.085285796933E+000
  7.200624243425E-003  5.359363414876E-004  2.152298935793E+000 -2.189360371817E+000  2.084662665534E+000
  7.746682662519E-003  5.561877340970E-004  2.151103727899E+000 -2.188222201134E+000  2.084014513383E+000
  8.313014461060E-003  5.764833752781E-004  2.149864802253E+000 -2.187042148059E+000  2.083341174200E+000
  8.899664713569E-003  5.968249182030E-004  2.148582131885E+000 -2.185820160319E+000  2.082642475858E+000
  9.506680151615E-003  6.172140238444E-004  2.147255688951E+000 -2.184556183930E+000  2.081918240410E+000
  1.013410917176E-002  6.376523612666E-004  2.145885444748E+000 -2.183250163208E+000  2.081168284111E+000
  1.078200184380E-002  6.581416079202E-004  2.144471369712E+000 -2.181902040787E+000  2.080392417440E+000
