# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  2.168096144535E+000 -2.204381189375E+000  2.093096893430E+000
  3.932200719717E-005  3.932303800261E-005  2.168031134500E+000 -2.204319460896E+000  2.093062691792E+000
  8.847741541455E-005  5.898842277178E-005  2.167922782806E+000 -2.204216576947E+000  2.093005678830E+000
  1.573003992804E-004  7.865844718600E-005  2.167771087000E+000 -2.204072532798E+000  2.092925839197E+000
  2.457963722417E-004  9.833465899987E-005  2.167576043652E+000 -2.203887321833E+000  2.092823151411E+000
  3.539722959954E-004  1.180186070023E-004  2.167337648351E+000 -2.203660935546E+000  2.092697587854E+000
  4.818366816528E-004  1.377118412759E-004  2.167055895705E+000 -2.203393363546E+000  2.092549114779E+000
  6.293995911626E-004  1.574159134560E-004  2.166730779352E+000 -2.203084593557E+000  2.092377692313E+000
  7.966726389934E-004  1.771323769912E-004  2.166362291949E+000 -2.202734611423E+000  2.092183274460E+000
  9.836689940782E-004  1.968627874036E-004  2.165950425183E+000 -2.202343401107E+000  2.091965809108E+000
  1.190403382016E-003  2.166087025496E-004  2.165495169771E+000 -2.201910944700E+000  2.091725238035E+000
  1.416892087541E-003  2.363716828821E-004  2.164996515459E+000 -2.201437222422E+000  2.091461496915E+000
  1.663152957245E-003  2.561532917128E-004  2.164454451029E+000 -2.200922212626E+000  2.091174515326E+000
  1.929205402573E-003  2.759550954757E-004  2.163868964299E+000 -2.200365891805E+000  2.090864216759E+000
  2.215070403074E-003  2.957786639908E-004  2.163240042129E+000 -2.199768234594E+000  2.090530518626E+000
  2.520770509919E-003  3.156255707300E-004  2.162567670422E+000 -2.199129213778E+000  2.090173332272E+000
  2.846329849692E-003  3.354973930828E-004  2.161851834128E+000 -2.198448800299E+000  2.089792562983E+000
  3.191774128432E-003  3.553957126240E-004  2.161092517249E+000 -2.197726963260E+000  2.089388109999E+000
  3.557130635959E-003  3.753221153821E-004  2.160289702843E+000 -2.196963669933E+000  2.088959866526E+000
  3.942428250463E-003  3.952781921092E-004  2.159443373028E+000 -2.196158885768E+000  2.088507719747E+000
  4.347697443358E-003  4.152655385525E-004  2.158553508988E+000 -2.195312574398E+000  2.088031550841E+000
  4.772970284417E-003  4.352857557265E-004  2.157620090975E+000 -2.194424697650E+000  2.087531234993E+000
  5.218280447175E-003  4.553404501876E-004  2.156643098318E+000 -2.193495215553E+000  2.087006641409E+000
  5.683663214611E-003  4.754312343099E-004  2.155622509428E+000 -2.192524086345E+000  2.086457633338E+000
  6.169155485101E-003  4.955597265624E-004  2.154558301800E+000 -2.191511266488E+000  2.085884068082E+000
  6.674795778653E-003  5.157275517886E-004  2.153450452026E+000 -2.190456710671E+000  2.085285797018E+000
  7.200624243425E-003  5.359363414876E-004  2.152298935794E+000 -2.189360371829E+000  2.084662665619E+000
  7.746682662519E-003  5.561877340970E-004  2.151103727900E+000 -2.188222201145E+000  2.084014513468E+000
  8.313014461060E-003  5.764833752781E-004  2.149864802254E+000 -2.187042148071E+000  2.083341174285E+000
  8.899664713569E-003  5.968249182030E-004  2.148582131886E+000 -2.185820160331E+000  2.082642475943E+000
  9.506680151615E-003  6.172140238444E-004  2.147255688952E+000 -2.184556183941E+000  2.081918240494E+000
  1.013410917176E-002  6.376523612666E-004  2.145885444749E+000 -2.183250163219E+000  2.081168284194E+000
  1.078200184380E-002  6.581416079202E-004  2.144471369713E+000 -2.181902040798E+000  2.080392417524E+000
