# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  1.922943062171E+000 -1.975098318870E+000  2.047812553184E+000
  3.932200719717E-005  3.932303800261E-005  1.922884814057E+000 -1.975037926182E+000  2.047759443572E+000
  8.847741541455E-005  5.898842277178E-005  1.922787732735E+000 -1.974937269906E+000  2.047670922901E+000
  1.573003992804E-004  7.865844718600E-005  1.922651816509E+000 -1.974796347348E+000  2.047546984193E+000
  2.457963722417E-004  9.833465899987E-005  1.922477063002E+000 -1.974615154737E+000  2.047387617684E+000
  3.539722959954E-004  1.180186070023E-004  1.922263469163E+000 -1.974393687227E+000  2.047192810820E+000
  4.818366816528E-004  1.377118412759E-004  1.922011031261E+000 -1.974131938897E+000  2.046962548261E+000
  6.293995911626E-004  1.574159134560E-004  1.921719744894E+000 -1.973829902754E+000  2.046696811882E+000
  7.966726389934E-004  1.771323769912E-004  1.921389604982E+000 -1.973487570735E+000  2.046395580778E+000
  9.836689940782E-004  1.968627874036E-004  1.921020605776E+000 -1.973104933705E+000  2.046058831263E+000
  1.190403382016E-003  2.166087025496E-004  1.920612740856E+000 -1.972681981468E+000  2.045686536879E+000
  1.416892087541E-003  2.363716828821E-004  1.920166003133E+000 -1.972218702762E+000  2.045278668392E+000
  1.663152957245E-003  2.561532917128E-004  1.919680384853E+000 -1.971715085263E+000  2.044835193802E+000
  1.929205402573E-003  2.759550954757E-004  1.919155877598E+000 -1.971171115594E+000  2.044356078345E+000
  2.215070403074E-003  2.957786639908E-004  1.918592472291E+000 -1.970586779324E+000  2.043841284498E+000
  2.520770509919E-003  3.156255707300E-004  1.917990159194E+000 -1.969962060971E+000  2.043290771985E+000
  2.846329849692E-003  3.354973930828E-004  1.917348927919E+000 -1.969296944010E+000  2.042704497782E+000
  3.191774128432E-003  3.553957126240E-004  1.916668767424E+000 -1.968591410875E+000  2.042082416121E+000
  3.557130635959E-003  3.753221153821E-004  1.915949666021E+000 -1.967845442966E+000  2.041424478502E+000
  3.942428250463E-003  3.952781921092E-004  1.915191611378E+000 -1.967059020653E+000  2.040730633693E+000
  4.347697443358E-003  4.152655385525E-004  1.914394590524E+000 -1.966232123280E+000  2.040000827742E+000
  4.772970284417E-003  4.352857557265E-004  1.913558589854E+000 -1.965364729175E+000  2.039235003984E+000
  5.218280447175E-003  4.553404501876E-004  1.912683595131E+000 -1.964456815651E+000  2.038433103047E+000
  5.683663214611E-003  4.754312343099E-004  1.911769591495E+000 -1.963508359017E+000  2.037595062862E+000
  6.169155485101E-003  4.955597265624E-004  1.910816563462E+000 -1.962519334583E+000  2.036720818674E+000
  6.674795778653E-003  5.157275517886E-004  1.909824494938E+000 -1.961489716668E+000  2.035810303046E+000
  7.200624243425E-003  5.359363414876E-004  1.908793369214E+000 -1.960419478604E+000  2.034863445875E+000
  7.746682662519E-003  5.561877340970E-004  1.907723168981E+000 -1.959308592751E+000  2.033880174399E+000
  8.313014461060E-003  5.764833752781E-004  1.906613876332E+000 -1.958157030496E+000  2.032860413209E+000
  8.899664713569E-003  5.968249182030E-004  1.905465472769E+000 -1.956964762270E+000  2.031804084259E+000
  9.506680151615E-003  6.172140238444E-004  1.904277939206E+000 -1.955731757552E+000  2.030711106880E+000
  1.013410917176E-002  6.376523612666E-004  1.903051255984E+000 -1.954457984879E+000  2.029581397791E+000
  1.078200184380E-002  6.581416079202E-004  1.901785402870E+000 -1.953143411858E+000  2.028414871110E+000
  1.145040991929E-002  6.786834499385E-004  1.900480359068E+000 -1.951788005172E+000  2.027211438372E+000
  1.213938684040E-002  6.992795824361E-004  1.899136103227E+000 -1.950391730592E+000  2.025971008539E+000
  1.284898774901E-002  7.199317098113E-004  1.897752613447E+000 -1.948954552991E+000  2.024693488015E+000
  1.357926949620E-002  7.406415460502E-004  1.896329867291E+000 -1.947476436350E+000  2.023378780665E+000
  1.433029065191E-002  7.614108150341E-004  1.894867841785E+000 -1.945957343770E+000  2.022026787822E+000
  1.510211151509E-002  7.822412508494E-004  1.893366513439E+000 -1.944397237489E+000  2.020637408312E+000
  1.589479412397E-002  8.031345981016E-004  1.891825858244E+000 -1.942796078889E+000  2.019210538466E+000
  1.670840226680E-002  8.240926122311E-004  1.890245851689E+000 -1.941153828508E+000  2.017746072137E+000
  1.754300149280E-002  8.451170598329E-004  1.888626468769E+000 -1.939470446059E+000  2.016243900721E+000
  1.839865912351E-002  8.662097189796E-004  1.886967683990E+000 -1.937745890438E+000  2.014703913171E+000
  1.927544426443E-002  8.873723795480E-004  1.885269471389E+000 -1.935980119738E+000  2.013125996021E+000
  2.017342781695E-002  9.086068435487E-004  1.883531804533E+000 -1.934173091266E+000  2.011510033401E+000
  2.109268249069E-002  9.299149254598E-004  1.881754656538E+000 -1.932324761558E+000  2.009855907062E+000
  2.203328281612E-002  9.512984525641E-004  1.879938000078E+000 -1.930435086388E+000  2.008163496392E+000
  2.299530515754E-002  9.727592652906E-004  1.878081807394E+000 -1.928504020794E+000  2.006432678441E+000
  2.397882772639E-002  9.942992175591E-004  1.876186050308E+000 -1.926531519082E+000  2.004663327944E+000
  2.498393059493E-002  1.015920177130E-003  1.874250700234E+000 -1.924517534853E+000  2.002855317342E+000
  2.601069571024E-002  1.037624025957E-003  1.872275728193E+000 -1.922462021013E+000  2.001008516806E+000
  2.705920690860E-002  1.059412660547E-003  1.870261104820E+000 -1.920364929793E+000  1.999122794263E+000
  2.812954993023E-002  1.081287992318E-003  1.868206800383E+000 -1.918226212767E+000  1.997198015419E+000
  2.922181243436E-002  1.103251947969E-003  1.866112784791E+000 -1.916045820869E+000  1.995234043787E+000
  3.033608401473E-002  1.125306469854E-003  1.863979027614E+000 -1.913823704413E+000  1.993230740714E+000
  3.147245621542E-002  1.147453516351E-003  1.861805498091E+000 -1.911559813111E+000  1.991187965407E+000
  3.263102254705E-002  1.169695062249E-003  1.859592165147E+000 -1.909254096096E+000  1.989105574961E+000
  3.381187850339E-002  1.192033099133E-003  1.857338997407E+000 -1.906906501938E+000  1.986983424392E+000
  3.501512157837E-002  1.214469635775E-003  1.855045963213E+000 -1.904516978666E+000  1.984821366663E+000
  3.624085128345E-002  1.237006698530E-003  1.852713030639E+000 -1.902085473793E+000  1.982619252716E+000
  3.748916916538E-002  1.259646331739E-003  1.850340167502E+000 -1.899611934331E+000  1.980376931505E+000
  3.876017882444E-002  1.282390598136E-003  1.847927341385E+000 -1.897096306821E+000  1.978094250027E+000
  4.005398593302E-002  1.305241579266E-003  1.845474519652E+000 -1.894538537351E+000  1.975771053358E+000
  4.137069825459E-002  1.328201375897E-003  1.842981669461E+000 -1.891938571579E+000  1.973407184685E+000
  4.271042566323E-002  1.351272108452E-003  1.840448757786E+000 -1.889296354762E+000  1.971002485343E+000
  4.407328016341E-002  1.374455917436E-003  1.837875751433E+000 -1.886611831775E+000  1.968556794851E+000
  4.545937591035E-002  1.397754963880E-003  1.835262617056E+000 -1.883884947142E+000  1.966069950949E+000
  4.686882923075E-002  1.421171429779E-003  1.832609321182E+000 -1.881115645055E+000  1.963541789638E+000
  4.830175864396E-002  1.444707518548E-003  1.829915830222E+000 -1.878303869406E+000  1.960972145218E+000
  4.975828488365E-002  1.468365455478E-003  1.827182110497E+000 -1.875449563814E+000  1.958360850329E+000
  5.123853091993E-002  1.492147488203E-003  1.824408128255E+000 -1.872552671647E+000  1.955707735993E+000
  5.274262198188E-002  1.516055887169E-003  1.821593849692E+000 -1.869613136059E+000  1.953012631655E+000
  5.427068558066E-002  1.540092946119E-003  1.818739240970E+000 -1.866630900010E+000  1.950275365231E+000
  5.582285153302E-002  1.564260982573E-003  1.815844268246E+000 -1.863605906303E+000  1.947495763148E+000
  5.739925198530E-002  1.588562338332E-003  1.812908897684E+000 -1.860538097610E+000  1.944673650393E+000
  5.900002143803E-002  1.612999379973E-003  1.809933095485E+000 -1.857427416505E+000  1.941808850558E+000
  6.062529677088E-002  1.637574499364E-003  1.806916827906E+000 -1.854273805494E+000  1.938901185893E+000
  6.227521726827E-002  1.662290114181E-003  1.803860061282E+000 -1.851077207049E+000  1.935950477352E+000
  6.394992464542E-002  1.687148668440E-003  1.800762762055E+000 -1.847837563640E+000  1.932956544643E+000
  6.564956307496E-002  1.712152633027E-003  1.797624896792E+000 -1.844554817771E+000  1.929919206284E+000
  6.737427921404E-002  1.737304506249E-003  1.794446432214E+000 -1.841228912010E+000  1.926838279654E+000
  6.912422223211E-002  1.762606814387E-003  1.791227335219E+000 -1.837859789030E+000  1.923713581048E+000
  7.089954383907E-002  1.788062112257E-003  1.787967572908E+000 -1.834447391640E+000  1.920544925734E+000
  7.270039831418E-002  1.813672983787E-003  1.784667112614E+000 -1.830991662825E+000  1.917332128012E+000
