# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  1.922943062162E+000 -1.975098318776E+000  2.047812552514E+000
  3.932200719717E-005  3.932303800261E-005  1.922884814048E+000 -1.975037926089E+000  2.047759442902E+000
  8.847741541455E-005  5.898842277178E-005  1.922787732727E+000 -1.974937269813E+000  2.047670922231E+000
  1.573003992804E-004  7.865844718600E-005  1.922651816500E+000 -1.974796347255E+000  2.047546983524E+000
  2.457963722417E-004  9.833465899987E-005  1.922477062993E+000 -1.974615154644E+000  2.047387617015E+000
  3.539722959954E-004  1.180186070023E-004  1.922263469154E+000 -1.974393687134E+000  2.047192810152E+000
  4.818366816528E-004  1.377118412759E-004  1.922011031253E+000 -1.974131938804E+000  2.046962547592E+000
  6.293995911626E-004  1.574159134560E-004  1.921719744885E+000 -1.973829902662E+000  2.046696811214E+000
  7.966726389934E-004  1.771323769912E-004  1.921389604974E+000 -1.973487570642E+000  2.046395580111E+000
  9.836689940782E-004  1.968627874036E-004  1.921020605768E+000 -1.973104933613E+000  2.046058830597E+000
  1.190403382016E-003  2.166087025496E-004  1.920612740848E+000 -1.972681981376E+000  2.045686536214E+000
  1.416892087541E-003  2.363716828821E-004  1.920166003125E+000 -1.972218702669E+000  2.045278667727E+000
  1.663152957245E-003  2.561532917128E-004  1.919680384845E+000 -1.971715085171E+000  2.044835193138E+000
  1.929205402573E-003  2.759550954757E-004  1.919155877590E+000 -1.971171115502E+000  2.044356077682E+000
  2.215070403074E-003  2.957786639908E-004  1.918592472282E+000 -1.970586779232E+000  2.043841283836E+000
  2.520770509919E-003  3.156255707300E-004  1.917990159186E+000 -1.969962060879E+000  2.043290771325E+000
  2.846329849692E-003  3.354973930828E-004  1.917348927911E+000 -1.969296943918E+000  2.042704497122E+000
  3.191774128432E-003  3.553957126240E-004  1.916668767415E+000 -1.968591410784E+000  2.042082415463E+000
  3.557130635959E-003  3.753221153821E-004  1.915949666012E+000 -1.967845442875E+000  2.041424477845E+000
  3.942428250463E-003  3.952781921092E-004  1.915191611369E+000 -1.967059020562E+000  2.040730633037E+000
  4.347697443358E-003  4.152655385525E-004  1.914394590516E+000 -1.966232123190E+000  2.040000827088E+000
  4.772970284417E-003  4.352857557265E-004  1.913558589846E+000 -1.965364729084E+000  2.039235003332E+000
  5.218280447175E-003  4.553404501876E-004  1.912683595123E+000 -1.964456815561E+000  2.038433102396E+000
  5.683663214611E-003  4.754312343099E-004  1.911769591487E+000 -1.963508358927E+000  2.037595062213E+000
  6.169155485101E-003  4.955597265624E-004  1.910816563454E+000 -1.962519334494E+000  2.036720818026E+000
  6.674795778653E-003  5.157275517886E-004  1.909824494929E+000 -1.961489716579E+000  2.035810302400E+000
  7.200624243425E-003  5.359363414876E-004  1.908793369206E+000 -1.960419478516E+000  2.034863445231E+000
  7.746682662519E-003  5.561877340970E-004  1.907723168973E+000 -1.959308592662E+000  2.033880173757E+000
  8.313014461060E-003  5.764833752781E-004  1.906613876324E+000 -1.958157030408E+000  2.032860412569E+000
  8.899664713569E-003  5.968249182030E-004  1.905465472761E+000 -1.956964762182E+000  2.031804083622E+000
  9.506680151615E-003  6.172140238444E-004  1.904277939198E+000 -1.955731757465E+000  2.030711106245E+000
  1.013410917176E-002  6.376523612666E-004  1.903051255976E+000 -1.954457984793E+000  2.029581397157E+000
  1.078200184380E-002  6.581416079202E-004  1.901785402862E+000 -1.953143411772E+000  2.028414870478E+000
  1.145040991929E-002  6.786834499385E-004  1.900480359060E+000 -1.951788005086E+000  2.027211437743E+000
  1.213938684040E-002  6.992795824361E-004  1.899136103219E+000 -1.950391730507E+000  2.025971007912E+000
  1.284898774901E-002  7.199317098113E-004  1.897752613440E+000 -1.948954552906E+000  2.024693487391E+000
  1.357926949620E-002  7.406415460502E-004  1.896329867283E+000 -1.947476436265E+000  2.023378780043E+000
  1.433029065191E-002  7.614108150341E-004  1.894867841778E+000 -1.945957343686E+000  2.022026787203E+000
  1.510211151509E-002  7.822412508494E-004  1.893366513432E+000 -1.944397237406E+000  2.020637407696E+000
  1.589479412397E-002  8.031345981016E-004  1.891825858237E+000 -1.942796078806E+000  2.019210537852E+000
  1.670840226680E-002  8.240926122311E-004  1.890245851682E+000 -1.941153828426E+000  2.017746071526E+000
  1.754300149280E-002  8.451170598329E-004  1.888626468761E+000 -1.939470445977E+000  2.016243900113E+000
  1.839865912351E-002  8.662097189796E-004  1.886967683983E+000 -1.937745890356E+000  2.014703912566E+000
  1.927544426443E-002  8.873723795480E-004  1.885269471382E+000 -1.935980119657E+000  2.013125995419E+000
  2.017342781695E-002  9.086068435487E-004  1.883531804526E+000 -1.934173091186E+000  2.011510032802E+000
  2.109268249069E-002  9.299149254598E-004  1.881754656531E+000 -1.932324761478E+000  2.009855906466E+000
  2.203328281612E-002  9.512984525641E-004  1.879938000071E+000 -1.930435086309E+000  2.008163495799E+000
  2.299530515754E-002  9.727592652906E-004  1.878081807387E+000 -1.928504020715E+000  2.006432677851E+000
  2.397882772639E-002  9.942992175591E-004  1.876186050301E+000 -1.926531519004E+000  2.004663327358E+000
  2.498393059493E-002  1.015920177130E-003  1.874250700228E+000 -1.924517534776E+000  2.002855316759E+000
  2.601069571024E-002  1.037624025957E-003  1.872275728186E+000 -1.922462020936E+000  2.001008516227E+000
  2.705920690860E-002  1.059412660547E-003  1.870261104814E+000 -1.920364929717E+000  1.999122793687E+000
  2.812954993023E-002  1.081287992318E-003  1.868206800376E+000 -1.918226212691E+000  1.997198014846E+000
  2.922181243436E-002  1.103251947969E-003  1.866112784785E+000 -1.916045820793E+000  1.995234043218E+000
  3.033608401473E-002  1.125306469854E-003  1.863979027608E+000 -1.913823704338E+000  1.993230740148E+000
  3.147245621542E-002  1.147453516351E-003  1.861805498085E+000 -1.911559813037E+000  1.991187964844E+000
  3.263102254705E-002  1.169695062249E-003  1.859592165141E+000 -1.909254096023E+000  1.989105574403E+000
  3.381187850339E-002  1.192033099133E-003  1.857338997401E+000 -1.906906501865E+000  1.986983423837E+000
  3.501512157837E-002  1.214469635775E-003  1.855045963208E+000 -1.904516978594E+000  1.984821366112E+000
  3.624085128345E-002  1.237006698530E-003  1.852713030633E+000 -1.902085473721E+000  1.982619252169E+000
  3.748916916538E-002  1.259646331739E-003  1.850340167496E+000 -1.899611934261E+000  1.980376930961E+000
  3.876017882444E-002  1.282390598136E-003  1.847927341380E+000 -1.897096306751E+000  1.978094249487E+000
  4.005398593302E-002  1.305241579266E-003  1.845474519647E+000 -1.894538537281E+000  1.975771052822E+000
  4.137069825459E-002  1.328201375897E-003  1.842981669456E+000 -1.891938571510E+000  1.973407184153E+000
  4.271042566323E-002  1.351272108452E-003  1.840448757781E+000 -1.889296354694E+000  1.971002484815E+000
  4.407328016341E-002  1.374455917436E-003  1.837875751428E+000 -1.886611831708E+000  1.968556794327E+000
  4.545937591035E-002  1.397754963880E-003  1.835262617051E+000 -1.883884947075E+000  1.966069950430E+000
  4.686882923075E-002  1.421171429779E-003  1.832609321177E+000 -1.881115644989E+000  1.963541789123E+000
  4.830175864396E-002  1.444707518548E-003  1.829915830217E+000 -1.878303869341E+000  1.960972144707E+000
  4.975828488365E-002  1.468365455478E-003  1.827182110493E+000 -1.875449563750E+000  1.958360849823E+000
  5.123853091993E-002  1.492147488203E-003  1.824408128251E+000 -1.872552671584E+000  1.955707735491E+000
  5.274262198188E-002  1.516055887169E-003  1.821593849687E+000 -1.869613135996E+000  1.953012631158E+000
  5.427068558066E-002  1.540092946119E-003  1.818739240966E+000 -1.866630899948E+000  1.950275364738E+000
  5.582285153302E-002  1.564260982573E-003  1.815844268241E+000 -1.863605906242E+000  1.947495762659E+000
  5.739925198530E-002  1.588562338332E-003  1.812908897680E+000 -1.860538097550E+000  1.944673649908E+000
  5.900002143803E-002  1.612999379973E-003  1.809933095481E+000 -1.857427416445E+000  1.941808850078E+000
  6.062529677088E-002  1.637574499364E-003  1.806916827902E+000 -1.854273805435E+000  1.938901185418E+000
  6.227521726827E-002  1.662290114181E-003  1.803860061278E+000 -1.851077206991E+000  1.935950476881E+000
  6.394992464542E-002  1.687148668440E-003  1.800762762051E+000 -1.847837563583E+000  1.932956544177E+000
  6.564956307496E-002  1.712152633027E-003  1.797624896788E+000 -1.844554817715E+000  1.929919205822E+000
  6.737427921404E-002  1.737304506249E-003  1.794446432210E+000 -1.841228911955E+000  1.926838279197E+000
  6.912422223211E-002  1.762606814387E-003  1.791227335215E+000 -1.837859788975E+000  1.923713580595E+000
  7.089954383907E-002  1.788062112257E-003  1.787967572905E+000 -1.834447391586E+000  1.920544925287E+000
  7.270039831418E-002  1.813672983787E-003  1.784667112611E+000 -1.830991662771E+000  1.917332127569E+000
  7.452694253540E-002  1.839442042599E-003  1.781325921922E+000 -1.827492545729E+000  1.914075000831E+000
  7.637933600943E-002  1.865371932600E-003  1.777943968709E+000 -1.823949983908E+000  1.910773357609E+000
  7.825774090225E-002  1.891465328589E-003  1.774521221158E+000 -1.820363921046E+000  1.907427009652E+000
  8.016232207035E-002  1.917724936867E-003  1.771057647793E+000 -1.816734301212E+000  1.904035767985E+000
  8.209324709253E-002  1.944153495867E-003  1.767553217508E+000 -1.813061068846E+000  1.900599442970E+000
  8.405068630235E-002  1.970753776782E-003  1.764007899597E+000 -1.809344168800E+000  1.897117844378E+000
  8.603481282122E-002  1.997528584221E-003  1.760421663782E+000 -1.805583546382E+000  1.893590781451E+000
  8.804580259214E-002  2.024480756857E-003  1.756794480248E+000 -1.801779147398E+000  1.890018062978E+000
  9.008383441408E-002  2.051613168108E-003  1.753126319668E+000 -1.797930918196E+000  1.886399497357E+000
  9.214908997710E-002  2.078928726810E-003  1.749417153244E+000 -1.794038805714E+000  1.882734892679E+000
  9.424175389809E-002  2.106430377918E-003  1.745666952729E+000 -1.790102757523E+000  1.879024056792E+000
  9.636201375725E-002  2.134121103210E-003  1.741875690471E+000 -1.786122721875E+000  1.875266797383E+000
  9.851006013526E-002  2.162003922007E-003  1.738043339439E+000 -1.782098647750E+000  1.871462922055E+000
  1.006860866512E-001  2.190081891910E-003  1.734169873262E+000 -1.778030484908E+000  1.867612238405E+000
  1.028902900012E-001  2.218358109541E-003  1.730255266263E+000 -1.773918183933E+000  1.863714554105E+000
  1.051228699979E-001  2.246835711311E-003  1.726299493494E+000 -1.769761696291E+000  1.859769676987E+000
  1.073840296104E-001  2.275517874190E-003  1.722302530775E+000 -1.765560974375E+000  1.855777415127E+000
  1.096739750056E-001  2.304407816497E-003  1.718264354729E+000 -1.761315971561E+000  1.851737576929E+000
  1.119929155896E-001  2.333508798707E-003  1.714184942823E+000 -1.757026642264E+000  1.847649971220E+000
  1.143410640503E-001  2.362824124271E-003  1.710064273404E+000 -1.752692941987E+000  1.843514407333E+000
  1.167186364011E-001  2.392357140448E-003  1.705902325739E+000 -1.748314827381E+000  1.839330695204E+000
  1.191258520249E-001  2.422111239159E-003  1.701699080056E+000 -1.743892256300E+000  1.835098645465E+000
  1.215629337189E-001  2.452089857854E-003  1.697454517585E+000 -1.739425187861E+000  1.830818069542E+000
  1.240301077413E-001  2.482296480400E-003  1.693168620602E+000 -1.734913582499E+000  1.826488779749E+000
