# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  4.103194071180E-002 -4.238060904921E-001  3.169634801647E+000
  3.932200719717E-005  3.932303800261E-005  4.101944332860E-002 -4.237126206577E-001  3.169086857882E+000
  8.847741541455E-005  5.898842277178E-005  4.099861939009E-002 -4.235568653427E-001  3.168173744624E+000
  1.573003992804E-004  7.865844718600E-005  4.096947644496E-002 -4.233388661557E-001  3.166895651384E+000
  2.457963722417E-004  9.833465899987E-005  4.093202505878E-002 -4.230586813399E-001  3.165252843457E+000
  3.539722959954E-004  1.180186070023E-004  4.088627881112E-002 -4.227163857635E-001  3.163245661895E+000
  4.818366816528E-004  1.377118412759E-004  4.083225429213E-002 -4.223120709080E-001  3.160874523478E+000
  6.293995911626E-004  1.574159134560E-004  4.076997109809E-002 -4.218458448539E-001  3.158139920677E+000
  7.966726389934E-004  1.771323769912E-004  4.069945182620E-002 -4.213178322629E-001  3.155042421610E+000
  9.836689940782E-004  1.968627874036E-004  4.062072206931E-002 -4.207281743593E-001  3.151582669994E+000
  1.190403382016E-003  2.166087025496E-004  4.053381040832E-002 -4.200770289066E-001  3.147761385084E+000
  1.416892087541E-003  2.363716828821E-004  4.043874840572E-002 -4.193645701826E-001  3.143579361608E+000
  1.663152957245E-003  2.561532917128E-004  4.033557059627E-002 -4.185909889516E-001  3.139037469701E+000
  1.929205402573E-003  2.759550954757E-004  4.022431447886E-002 -4.177564924341E-001  3.134136654822E+000
  2.215070403074E-003  2.957786639908E-004  4.010502050626E-002 -4.168613042733E-001  3.128877937670E+000
  2.520770509919E-003  3.156255707300E-004  3.997773207430E-002 -4.159056644991E-001  3.123262414089E+000
  2.846329849692E-003  3.354973930828E-004  3.984249551079E-002 -4.148898294893E-001  3.117291254974E+000
  3.191774128432E-003  3.553957126240E-004  3.969936006293E-002 -4.138140719281E-001  3.110965706156E+000
  3.557130635959E-003  3.753221153821E-004  3.954837788437E-002 -4.126786807622E-001  3.104287088292E+000
  3.942428250463E-003  3.952781921092E-004  3.938960402143E-002 -4.114839611527E-001  3.097256796741E+000
  4.347697443358E-003  4.152655385525E-004  3.922309639806E-002 -4.102302344256E-001  3.089876301432E+000
  4.772970284417E-003  4.352857557265E-004  3.904891580051E-002 -4.089178380191E-001  3.082147146732E+000
  5.218280447175E-003  4.553404501876E-004  3.886712586112E-002 -4.075471254272E-001  3.074070951290E+000
  5.683663214611E-003  4.754312343099E-004  3.867779304075E-002 -4.061184661414E-001  3.065649407894E+000
  6.169155485101E-003  4.955597265624E-004  3.848098661097E-002 -4.046322455885E-001  3.056884283299E+000
  6.674795778653E-003  5.157275517886E-004  3.827677863527E-002 -4.030888650666E-001  3.047777418064E+000
  7.200624243425E-003  5.359363414876E-004  3.806524394904E-002 -4.014887416766E-001  3.038330726367E+000
  7.746682662519E-003  5.561877340970E-004  3.784646013932E-002 -3.998323082517E-001  3.028546195821E+000
  8.313014461060E-003  5.764833752781E-004  3.762050752315E-002 -3.981200132835E-001  3.018425887276E+000
  8.899664713569E-003  5.968249182030E-004  3.738746912520E-002 -3.963523208446E-001  3.007971934613E+000
  9.506680151615E-003  6.172140238444E-004  3.714743065499E-002 -3.945297105089E-001  2.997186544531E+000
  1.013410917176E-002  6.376523612666E-004  3.690048048255E-002 -3.926526772680E-001  2.986071996320E+000
  1.078200184380E-002  6.581416079202E-004  3.664670961338E-002 -3.907217314439E-001  2.974630641629E+000
  1.145040991929E-002  6.786834499385E-004  3.638621166288E-002 -3.887373985997E-001  2.962864904224E+000
  1.213938684040E-002  6.992795824361E-004  3.611908282969E-002 -3.867002194458E-001  2.950777279732E+000
  1.284898774901E-002  7.199317098113E-004  3.584542186807E-002 -3.846107497439E-001  2.938370335380E+000
  1.357926949620E-002  7.406415460502E-004  3.556533005897E-002 -3.824695602055E-001  2.925646709720E+000
  1.433029065191E-002  7.614108150341E-004  3.527891118143E-002 -3.802772363895E-001  2.912609112344E+000
  1.510211151509E-002  7.822412508494E-004  3.498627148155E-002 -3.780343785945E-001  2.899260323591E+000
  1.589479412397E-002  8.031345981016E-004  3.468751964132E-002 -3.757416017481E-001  2.885603194239E+000
  1.670840226680E-002  8.240926122311E-004  3.438276674691E-002 -3.733995352926E-001  2.871640645190E+000
  1.754300149280E-002  8.451170598329E-004  3.407212625509E-002 -3.710088230671E-001  2.857375667138E+000
  1.839865912351E-002  8.662097189796E-004  3.375571395926E-002 -3.685701231854E-001  2.842811320231E+000
  1.927544426443E-002  8.873723795480E-004  3.343364795451E-002 -3.660841079107E-001  2.827950733718E+000
  2.017342781695E-002  9.086068435487E-004  3.310604860162E-002 -3.635514635263E-001  2.812797105584E+000
  2.109268249069E-002  9.299149254598E-004  3.277303848993E-002 -3.609728902023E-001  2.797353702173E+000
  2.203328281612E-002  9.512984525641E-004  3.243474239964E-002 -3.583491018582E-001  2.781623857799E+000
  2.299530515754E-002  9.727592652906E-004  3.209128726308E-002 -3.556808260222E-001  2.765610974339E+000
  2.397882772639E-002  9.942992175591E-004  3.174280212436E-002 -3.529688036854E-001  2.749318520822E+000
  2.498393059493E-002  1.015920177130E-003  3.138941809863E-002 -3.502137891529E-001  2.732750032995E+000
  2.601069571024E-002  1.037624025957E-003  3.103126833035E-002 -3.474165498897E-001  2.715909112881E+000
  2.705920690860E-002  1.059412660547E-003  3.066848795052E-002 -3.445778663641E-001  2.698799428322E+000
  2.812954993023E-002  1.081287992318E-003  3.030121403246E-002 -3.416985318842E-001  2.681424712502E+000
  2.922181243436E-002  1.103251947969E-003  2.992958554682E-002 -3.387793524325E-001  2.663788763463E+000
  3.033608401473E-002  1.125306469854E-003  2.955374331614E-002 -3.358211464948E-001  2.645895443603E+000
  3.147245621542E-002  1.147453516351E-003  2.917382996744E-002 -3.328247448848E-001  2.627748679156E+000
  3.263102254705E-002  1.169695062249E-003  2.878998988420E-002 -3.297909905645E-001  2.609352459657E+000
  3.381187850339E-002  1.192033099133E-003  2.840236915763E-002 -3.267207384598E-001  2.590710837395E+000
  3.501512157837E-002  1.214469635775E-003  2.801111553594E-002 -3.236148552710E-001  2.571827926845E+000
  3.624085128345E-002  1.237006698530E-003  2.761637837412E-002 -3.204742192795E-001  2.552707904084E+000
  3.748916916538E-002  1.259646331739E-003  2.721830858073E-002 -3.172997201489E-001  2.533355006194E+000
  3.876017882444E-002  1.282390598136E-003  2.681705856487E-002 -3.140922587217E-001  2.513773530637E+000
  4.005398593302E-002  1.305241579266E-003  2.641278218234E-002 -3.108527468107E-001  2.493967834627E+000
  4.137069825459E-002  1.328201375897E-003  2.600563467956E-002 -3.075821069860E-001  2.473942334473E+000
  4.271042566323E-002  1.351272108452E-003  2.559577263715E-002 -3.042812723561E-001  2.453701504904E+000
  4.407328016341E-002  1.374455917436E-003  2.518335391266E-002 -3.009511863450E-001  2.433249878381E+000
  4.545937591035E-002  1.397754963880E-003  2.476853758144E-002 -2.975928024628E-001  2.412592044385E+000
  4.686882923075E-002  1.421171429779E-003  2.435148387720E-002 -2.942070840726E-001  2.391732648687E+000
  4.830175864396E-002  1.444707518548E-003  2.393235413055E-002 -2.907950041502E-001  2.370676392597E+000
  4.975828488365E-002  1.468365455478E-003  2.351131070782E-002 -2.873575450406E-001  2.349428032191E+000
  5.123853091993E-002  1.492147488203E-003  2.308851694731E-002 -2.838956982072E-001  2.327992377525E+000
  5.274262198188E-002  1.516055887169E-003  2.266413709544E-002 -2.804104639767E-001  2.306374291816E+000
  5.427068558066E-002  1.540092946119E-003  2.223833624138E-002 -2.769028512778E-001  2.284578690612E+000
  5.582285153302E-002  1.564260982573E-003  2.181128025059E-002 -2.733738773744E-001  2.262610540931E+000
  5.739925198530E-002  1.588562338332E-003  2.138313569739E-002 -2.698245675938E-001  2.240474860387E+000
  5.900002143803E-002  1.612999379973E-003  2.095406979656E-002 -2.662559550480E-001  2.218176716286E+000
  6.062529677088E-002  1.637574499364E-003  2.052425033308E-002 -2.626690803502E-001  2.195721224700E+000
  6.227521726827E-002  1.662290114181E-003  2.009384559217E-002 -2.590649913248E-001  2.173113549521E+000
  6.394992464542E-002  1.687148668440E-003  1.966302428680E-002 -2.554447427122E-001  2.150358901488E+000
  6.564956307496E-002  1.712152633027E-003  1.923195548488E-002 -2.518093958669E-001  2.127462537191E+000
  6.737427921404E-002  1.737304506249E-003  1.880080853556E-002 -2.481600184498E-001  2.104429758048E+000
  6.912422223211E-002  1.762606814387E-003  1.836975299326E-002 -2.444976841151E-001  2.081265909260E+000
  7.089954383907E-002  1.788062112257E-003  1.793895854259E-002 -2.408234721903E-001  2.057976378739E+000
  7.270039831418E-002  1.813672983787E-003  1.750859492039E-002 -2.371384673501E-001  2.034566596010E+000
  7.452694253540E-002  1.839442042599E-003  1.707883183736E-002 -2.334437592849E-001  2.011042031087E+000
  7.637933600943E-002  1.865371932600E-003  1.664983889917E-002 -2.297404423617E-001  1.987408193320E+000
  7.825774090225E-002  1.891465328589E-003  1.622178552567E-002 -2.260296152804E-001  1.963670630220E+000
  8.016232207035E-002  1.917724936867E-003  1.579484086963E-002 -2.223123807226E-001  1.939834926254E+000
  8.209324709253E-002  1.944153495867E-003  1.536917373433E-002 -2.185898449941E-001  1.915906701608E+000
  8.405068630235E-002  1.970753776782E-003  1.494495248989E-002 -2.148631176616E-001  1.891891610928E+000
  8.603481282122E-002  1.997528584221E-003  1.452234498925E-002 -2.111333111826E-001  1.867795342029E+000
  8.804580259214E-002  2.024480756857E-003  1.410151848251E-002 -2.074015405296E-001  1.843623614579E+000
  9.008383441408E-002  2.051613168108E-003  1.368263953050E-002 -2.036689228059E-001  1.819382178745E+000
  9.214908997710E-002  2.078928726810E-003  1.326587391787E-002 -1.999365768578E-001  1.795076813820E+000
  9.424175389809E-002  2.106430377918E-003  1.285138656446E-002 -1.962056228776E-001  1.770713326810E+000
  9.636201375725E-002  2.134121103210E-003  1.243934143667E-002 -1.924771820023E-001  1.746297551000E+000
  9.851006013526E-002  2.162003922007E-003  1.202990145707E-002 -1.887523759041E-001  1.721835344484E+000
  1.006860866512E-001  2.190081891910E-003  1.162322841398E-002 -1.850323263757E-001  1.697332588659E+000
  1.028902900012E-001  2.218358109541E-003  1.121948286943E-002 -1.813181549078E-001  1.672795186703E+000
  1.051228699979E-001  2.246835711311E-003  1.081882406755E-002 -1.776109822619E-001  1.648229062004E+000
  1.073840296104E-001  2.275517874190E-003  1.042140984026E-002 -1.739119280349E-001  1.623640156565E+000
  1.096739750056E-001  2.304407816497E-003  1.002739651454E-002 -1.702221102186E-001  1.599034429382E+000
  1.119929155896E-001  2.333508798707E-003  9.636938816980E-003 -1.665426447513E-001  1.574417854780E+000
  1.143410640503E-001  2.362824124271E-003  9.250189779103E-003 -1.628746450649E-001  1.549796420719E+000
  1.167186364011E-001  2.392357140448E-003  8.867300641062E-003 -1.592192216241E-001  1.525176127070E+000
  1.191258520249E-001  2.422111239159E-003  8.488420755574E-003 -1.555774814599E-001  1.500562983858E+000
  1.215629337189E-001  2.452089857854E-003  8.113697490394E-003 -1.519505276970E-001  1.475963009465E+000
  1.240301077413E-001  2.482296480400E-003  7.743276131541E-003 -1.483394590749E-001  1.451382228807E+000
  1.265276038575E-001  2.512734637975E-003  7.377299784825E-003 -1.447453694629E-001  1.426826671473E+000
  1.290556553882E-001  2.543407909995E-003  7.015909277334E-003 -1.411693473682E-001  1.402302369832E+000
  1.316144992580E-001  2.574319925047E-003  6.659243059218E-003 -1.376124754401E-001  1.377815357104E+000
  1.342043760450E-001  2.605474361847E-003  6.307437104438E-003 -1.340758299662E-001  1.353371665397E+000
  1.368255300316E-001  2.636874950214E-003  5.960624811170E-003 -1.305604803639E-001  1.328977323713E+000
  1.394782092560E-001  2.668525472060E-003  5.618936902711E-003 -1.270674886660E-001  1.304638355916E+000
  1.421626655646E-001  2.700429762411E-003  5.282501327910E-003 -1.235979090010E-001  1.280360778664E+000
  1.448791546661E-001  2.732591710434E-003  4.951443161108E-003 -1.201527870677E-001  1.256150599316E+000
  1.476279361856E-001  2.765015260497E-003  4.625884502534E-003 -1.167331596041E-001  1.232013813790E+000
  1.504092737207E-001  2.797704413242E-003  4.305944378944E-003 -1.133400538525E-001  1.207956404400E+000
  1.532234348983E-001  2.830663226680E-003  3.991738643831E-003 -1.099744870181E-001  1.183984337652E+000
  1.560706914324E-001  2.863895817319E-003  3.683379878122E-003 -1.066374657238E-001  1.160103562007E+000
  1.589513191834E-001  2.897406361298E-003  3.380977291030E-003 -1.033299854597E-001  1.136320005609E+000
  1.618655982178E-001  2.931199095559E-003  3.084636621851E-003 -1.000530300292E-001  1.112639573982E+000
  1.648138128702E-001  2.965278319033E-003  2.794460041133E-003 -9.680757098915E-002  1.089068147690E+000
  1.677962518056E-001  2.999648393860E-003  2.510546053167E-003 -9.359456708796E-002  1.065611579966E+000
  1.708132080832E-001  3.034313746623E-003  2.232989398878E-003 -9.041496369861E-002  1.042275694310E+000
  1.738649792215E-001  3.069278869616E-003  1.961880959369E-003 -8.726969224811E-002  1.019066282044E+000
  1.769518672648E-001  3.104548322136E-003  1.697307660588E-003 -8.415966964475E-002  9.959890998499E-001
  1.800741788507E-001  3.140126731803E-003  1.439352377781E-003 -8.108579770087E-002  9.730498672624E-001
  1.832322252791E-001  3.176018795904E-003  1.188093842597E-003 -7.804896255426E-002  9.502542641372E-001
  1.864263225826E-001  3.212229282769E-003  9.436065500298E-004 -7.505003408603E-002  9.276079280862E-001
  1.896567915983E-001  3.248763033179E-003  7.059606668410E-004 -7.208986533697E-002  9.051164518820E-001
  1.929239580409E-001  3.285624961791E-003  4.752219418221E-004 -6.916929192218E-002  8.827853808337E-001
  1.962281525771E-001  3.322820058613E-003  2.514516165620E-004 -6.628913144369E-002  8.606202101320E-001
  1.995697109023E-001  3.360353390492E-003  3.470633874197E-005 -6.345018290264E-002  8.386263821677E-001
  2.029489738173E-001  3.398230102644E-003 -1.749619236874E-004 -6.065322611016E-002  8.168092838199E-001
  2.063662873085E-001  3.436455420218E-003 -3.775059660699E-004 -5.789902109848E-002  7.951742437205E-001
  2.098220026275E-001  3.475034649885E-003 -5.728834292148E-004 -5.518830753165E-002  7.737265294903E-001
  2.133164763746E-001  3.513973181471E-003 -7.610568784716E-004 -5.252180411711E-002  7.524713449509E-001
  2.168500705817E-001  3.553276489620E-003 -9.419938821473E-004 -4.990020801807E-002  7.314138273134E-001
  2.204231527988E-001  3.592950135496E-003 -1.115667086120E-003 -4.732419426762E-002  7.105590443428E-001
  2.240360961807E-001  3.632999768520E-003 -1.282054286967E-003 -4.479441518428E-002  6.899119915022E-001
  2.276892795770E-001  3.673431128145E-003 -1.441138502253E-003 -4.231149979015E-002  6.694775890750E-001
  2.313830876220E-001  3.714250045674E-003 -1.592908037643E-003 -3.987605323259E-002  6.492606792699E-001
  2.351179108282E-001  3.755462446115E-003 -1.737356551935E-003 -3.748865620816E-002  6.292660233054E-001
  2.388941456809E-001  3.797074350078E-003 -1.874483118148E-003 -3.514986439219E-002  6.094982984810E-001
  2.427121947345E-001  3.839091875711E-003 -2.004292281854E-003 -3.286020787167E-002  5.899620952321E-001
  2.465724667110E-001  3.881521240686E-003 -2.126794116602E-003 -3.062019058370E-002  5.706619141703E-001
  2.504753766009E-001  3.924368764227E-003 -2.242004274337E-003 -2.843028976085E-002  5.516021631164E-001
  2.544213457654E-001  3.967640869177E-003 -2.349944033931E-003 -2.629095538134E-002  5.327871541188E-001
  2.584108020414E-001  4.011344084122E-003 -2.450640344644E-003 -2.420260962759E-002  5.142211004683E-001
  2.624441798480E-001  4.055485045557E-003 -2.544125865662E-003 -2.216564635258E-002  4.959081137044E-001
  2.665219202956E-001  4.100070500102E-003 -2.630439001687E-003 -2.018043055434E-002  4.778522006193E-001
  2.706444712976E-001  4.145107306769E-003 -2.709623934325E-003 -1.824729785988E-002  4.600572602599E-001
  2.748122876832E-001  4.190602439283E-003 -2.781730648199E-003 -1.636655401972E-002  4.425270809306E-001
  2.790258313137E-001  4.236562988450E-003 -2.846814952580E-003 -1.453847441253E-002  4.252653371992E-001
  2.832855712010E-001  4.282996164587E-003 -2.904938498639E-003 -1.276330356191E-002  4.082755869081E-001
  2.875919836279E-001  4.329909300005E-003 -2.956168790695E-003 -1.104125466563E-002  3.915612681938E-001
  2.919455522717E-001  4.377309851548E-003 -3.000579192618E-003 -9.372509137897E-003  3.751256965174E-001
  2.963467683296E-001  4.425205403192E-003 -3.038248928345E-003 -7.757216166444E-003  3.589720617083E-001
  3.007961306479E-001  4.473603668706E-003 -3.069263077163E-003 -6.195492283706E-003  3.431034250242E-001
  3.052941458522E-001  4.522512494374E-003 -3.093712562785E-003 -4.687420955030E-003  3.275227162311E-001
