# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0000
  9.830308526508E-006  1.966074589941E-005  2.035035054317E+000 -2.104496507054E+000  2.147139224769E+000
  3.932200719717E-005  3.932303800261E-005  2.034972990074E+000 -2.104433185122E+000  2.147081513496E+000
  8.847741541455E-005  5.898842277178E-005  2.034869548395E+000 -2.104327646818E+000  2.146985324816E+000
  1.573003992804E-004  7.865844718600E-005  2.034724727372E+000 -2.104179889516E+000  2.146850653891E+000
  2.457963722417E-004  9.833465899987E-005  2.034538524332E+000 -2.103989909541E+000  2.146677493948E+000
  3.539722959954E-004  1.180186070023E-004  2.034310935840E+000 -2.103757702168E+000  2.146465836281E+000
  4.818366816528E-004  1.377118412759E-004  2.034041957700E+000 -2.103483261626E+000  2.146215670251E+000
  6.293995911626E-004  1.574159134560E-004  2.033731584955E+000 -2.103166581098E+000  2.145926983289E+000
  7.966726389934E-004  1.771323769912E-004  2.033379811891E+000 -2.102807652719E+000  2.145599760895E+000
  9.836689940782E-004  1.968627874036E-004  2.032986632036E+000 -2.102406467584E+000  2.145233986641E+000
  1.190403382016E-003  2.166087025496E-004  2.032552038161E+000 -2.101963015745E+000  2.144829642172E+000
  1.416892087541E-003  2.363716828821E-004  2.032076022287E+000 -2.101477286217E+000  2.144386707209E+000
  1.663152957245E-003  2.561532917128E-004  2.031558575680E+000 -2.100949266976E+000  2.143905159553E+000
  1.929205402573E-003  2.759550954757E-004  2.030999688861E+000 -2.100378944965E+000  2.143384975084E+000
  2.215070403074E-003  2.957786639908E-004  2.030399351603E+000 -2.099766306097E+000  2.142826127767E+000
  2.520770509919E-003  3.156255707300E-004  2.029757552936E+000 -2.099111335257E+000  2.142228589653E+000
  2.846329849692E-003  3.354973930828E-004  2.029074281150E+000 -2.098414016304E+000  2.141592330884E+000
  3.191774128432E-003  3.553957126240E-004  2.028349523801E+000 -2.097674332079E+000  2.140917319694E+000
  3.557130635959E-003  3.753221153821E-004  2.027583267707E+000 -2.096892264403E+000  2.140203522418E+000
  3.942428250463E-003  3.952781921092E-004  2.026775498963E+000 -2.096067794087E+000  2.139450903490E+000
  4.347697443358E-003  4.152655385525E-004  2.025926202933E+000 -2.095200900932E+000  2.138659425451E+000
  4.772970284417E-003  4.352857557265E-004  2.025035364264E+000 -2.094291563737E+000  2.137829048952E+000
  5.218280447175E-003  4.553404501876E-004  2.024102966885E+000 -2.093339760300E+000  2.136959732761E+000
  5.683663214611E-003  4.754312343099E-004  2.023128994014E+000 -2.092345467427E+000  2.136051433766E+000
  6.169155485101E-003  4.955597265624E-004  2.022113428162E+000 -2.091308660935E+000  2.135104106981E+000
  6.674795778653E-003  5.157275517886E-004  2.021056251138E+000 -2.090229315660E+000  2.134117705552E+000
  7.200624243425E-003  5.359363414876E-004  2.019957444055E+000 -2.089107405460E+000  2.133092180762E+000
  7.746682662519E-003  5.561877340970E-004  2.018816987338E+000 -2.087942903223E+000  2.132027482040E+000
  8.313014461060E-003  5.764833752781E-004  2.017634860724E+000 -2.086735780873E+000  2.130923556963E+000
  8.899664713569E-003  5.968249182030E-004  2.016411043273E+000 -2.085486009378E+000  2.129780351267E+000
  9.506680151615E-003  6.172140238444E-004  2.015145513374E+000 -2.084193558754E+000  2.128597808851E+000
  1.013410917176E-002  6.376523612666E-004  2.013838248751E+000 -2.082858398075E+000  2.127375871788E+000
  1.078200184380E-002  6.581416079202E-004  2.012489226469E+000 -2.081480495482E+000  2.126114480329E+000
  1.145040991929E-002  6.786834499385E-004  2.011098422941E+000 -2.080059818187E+000  2.124813572913E+000
  1.213938684040E-002  6.992795824361E-004  2.009665813939E+000 -2.078596332482E+000  2.123473086174E+000
  1.284898774901E-002  7.199317098113E-004  2.008191374597E+000 -2.077090003751E+000  2.122092954953E+000
  1.357926949620E-002  7.406415460502E-004  2.006675079422E+000 -2.075540796474E+000  2.120673112303E+000
  1.433029065191E-002  7.614108150341E-004  2.005116902302E+000 -2.073948674241E+000  2.119213489499E+000
  1.510211151509E-002  7.822412508494E-004  2.003516816512E+000 -2.072313599756E+000  2.117714016052E+000
