# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   0.9900
  9.830308526508E-006  1.966074589941E-005  1.927902260995E+000 -1.980677446825E+000  2.054499034247E+000
  3.932200719717E-005  3.932303800261E-005  1.927843848346E+000 -1.980616856952E+000  2.054445234299E+000
  8.847741541455E-005  5.898842277178E-005  1.927746492798E+000 -1.980515872062E+000  2.054355563234E+000
  1.573003992804E-004  7.865844718600E-005  1.927610192652E+000 -1.980374489503E+000  2.054230014325E+000
  2.457963722417E-004  9.833465899987E-005  1.927434945528E+000 -1.980192705562E+000  2.054068578154E+000
  3.539722959954E-004  1.180186070023E-004  1.927220748371E+000 -1.979970515470E+000  2.053871242617E+000
  4.818366816528E-004  1.377118412759E-004  1.926967597446E+000 -1.979707913397E+000  2.053637992920E+000
  6.293995911626E-004  1.574159134560E-004  1.926675488345E+000 -1.979404892460E+000  2.053368811588E+000
  7.966726389934E-004  1.771323769912E-004  1.926344415981E+000 -1.979061444721E+000  2.053063678461E+000
  9.836689940782E-004  1.968627874036E-004  1.925974374598E+000 -1.978677561190E+000  2.052722570702E+000
  1.190403382016E-003  2.166087025496E-004  1.925565357766E+000 -1.978253231826E+000  2.052345462794E+000
  1.416892087541E-003  2.363716828821E-004  1.925117358389E+000 -1.977788445544E+000  2.051932326550E+000
  1.663152957245E-003  2.561532917128E-004  1.924630368700E+000 -1.977283190215E+000  2.051483131114E+000
  1.929205402573E-003  2.759550954757E-004  1.924104380273E+000 -1.976737452668E+000  2.050997842965E+000
  2.215070403074E-003  2.957786639908E-004  1.923539384015E+000 -1.976151218696E+000  2.050476425921E+000
  2.520770509919E-003  3.156255707300E-004  1.922935370179E+000 -1.975524473060E+000  2.049918841146E+000
  2.846329849692E-003  3.354973930828E-004  1.922292328360E+000 -1.974857199494E+000  2.049325047154E+000
  3.191774128432E-003  3.553957126240E-004  1.921610247501E+000 -1.974149380705E+000  2.048694999816E+000
  3.557130635959E-003  3.753221153821E-004  1.920889115899E+000 -1.973400998382E+000  2.048028652367E+000
  3.942428250463E-003  3.952781921092E-004  1.920128921203E+000 -1.972612033203E+000  2.047325955408E+000
  4.347697443358E-003  4.152655385525E-004  1.919329650426E+000 -1.971782464833E+000  2.046586856920E+000
  4.772970284417E-003  4.352857557265E-004  1.918491289942E+000 -1.970912271938E+000  2.045811302265E+000
  5.218280447175E-003  4.553404501876E-004  1.917613825494E+000 -1.970001432186E+000  2.044999234199E+000
  5.683663214611E-003  4.754312343099E-004  1.916697242199E+000 -1.969049922256E+000  2.044150592877E+000
  6.169155485101E-003  4.955597265624E-004  1.915741524553E+000 -1.968057717842E+000  2.043265315864E+000
  6.674795778653E-003  5.157275517886E-004  1.914746656434E+000 -1.967024793664E+000  2.042343338142E+000
  7.200624243425E-003  5.359363414876E-004  1.913712621112E+000 -1.965951123472E+000  2.041384592122E+000
  7.746682662519E-003  5.561877340970E-004  1.912639401250E+000 -1.964836680055E+000  2.040389007652E+000
  8.313014461060E-003  5.764833752781E-004  1.911526978912E+000 -1.963681435248E+000  2.039356512029E+000
  8.899664713569E-003  5.968249182030E-004  1.910375335572E+000 -1.962485359944E+000  2.038287030011E+000
  9.506680151615E-003  6.172140238444E-004  1.909184452115E+000 -1.961248424099E+000  2.037180483825E+000
  1.013410917176E-002  6.376523612666E-004  1.907954308849E+000 -1.959970596740E+000  2.036036793183E+000
  1.078200184380E-002  6.581416079202E-004  1.906684885508E+000 -1.958651845980E+000  2.034855875291E+000
  1.145040991929E-002  6.786834499385E-004  1.905376161262E+000 -1.957292139022E+000  2.033637644865E+000
  1.213938684040E-002  6.992795824361E-004  1.904028114724E+000 -1.955891442175E+000  2.032382014143E+000
  1.284898774901E-002  7.199317098113E-004  1.902640723957E+000 -1.954449720856E+000  2.031088892900E+000
  1.357926949620E-002  7.406415460502E-004  1.901213966483E+000 -1.952966939612E+000  2.029758188460E+000
  1.433029065191E-002  7.614108150341E-004  1.899747819291E+000 -1.951443062121E+000  2.028389805715E+000
  1.510211151509E-002  7.822412508494E-004  1.898242258846E+000 -1.949878051210E+000  2.026983647137E+000
  1.589479412397E-002  8.031345981016E-004  1.896697261098E+000 -1.948271868863E+000  2.025539612797E+000
  1.670840226680E-002  8.240926122311E-004  1.895112801489E+000 -1.946624476239E+000  2.024057600380E+000
  1.754300149280E-002  8.451170598329E-004  1.893488854966E+000 -1.944935833679E+000  2.022537505204E+000
  1.839865912351E-002  8.662097189796E-004  1.891825395989E+000 -1.943205900720E+000  2.020979220234E+000
  1.927544426443E-002  8.873723795480E-004  1.890122398541E+000 -1.941434636114E+000  2.019382636108E+000
  2.017342781695E-002  9.086068435487E-004  1.888379836139E+000 -1.939621997834E+000  2.017747641148E+000
  2.109268249069E-002  9.299149254598E-004  1.886597681844E+000 -1.937767943096E+000  2.016074121386E+000
  2.203328281612E-002  9.512984525641E-004  1.884775908273E+000 -1.935872428369E+000  2.014361960581E+000
  2.299530515754E-002  9.727592652906E-004  1.882914487610E+000 -1.933935409390E+000  2.012611040240E+000
  2.397882772639E-002  9.942992175591E-004  1.881013391615E+000 -1.931956841185E+000  2.010821239643E+000
  2.498393059493E-002  1.015920177130E-003  1.879072591642E+000 -1.929936678080E+000  2.008992435861E+000
  2.601069571024E-002  1.037624025957E-003  1.877092058645E+000 -1.927874873719E+000  2.007124503785E+000
  2.705920690860E-002  1.059412660547E-003  1.875071763193E+000 -1.925771381081E+000  2.005217316142E+000
  2.812954993023E-002  1.081287992318E-003  1.873011675485E+000 -1.923626152500E+000  2.003270743527E+000
  2.922181243436E-002  1.103251947969E-003  1.870911765361E+000 -1.921439139679E+000  2.001284654424E+000
  3.033608401473E-002  1.125306469854E-003  1.868772002313E+000 -1.919210293711E+000  1.999258915234E+000
  3.147245621542E-002  1.147453516351E-003  1.866592355507E+000 -1.916939565099E+000  1.997193390300E+000
  3.263102254705E-002  1.169695062249E-003  1.864372793788E+000 -1.914626903771E+000  1.995087941938E+000
  3.381187850339E-002  1.192033099133E-003  1.862113285702E+000 -1.912272259106E+000  1.992942430462E+000
  3.501512157837E-002  1.214469635775E-003  1.859813799506E+000 -1.909875579949E+000  1.990756714213E+000
  3.624085128345E-002  1.237006698530E-003  1.857474303187E+000 -1.907436814638E+000  1.988530649593E+000
  3.748916916538E-002  1.259646331739E-003  1.855094764475E+000 -1.904955911018E+000  1.986264091093E+000
