# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0100
  9.830308526508E-006  1.966074589941E-005  1.916433736584E+000 -1.968124649412E+000  2.041222898455E+000
  3.932200719717E-005  3.932303800261E-005  1.916375694133E+000 -1.968064451056E+000  2.041170388577E+000
  8.847741541455E-005  5.898842277178E-005  1.916278955587E+000 -1.967964118643E+000  2.041082867301E+000
  1.573003992804E-004  7.865844718600E-005  1.916143519258E+000 -1.967823649447E+000  2.040960327409E+000
  2.457963722417E-004  9.833465899987E-005  1.915969382782E+000 -1.967643039649E+000  2.040802758795E+000
  3.539722959954E-004  1.180186070023E-004  1.915756543119E+000 -1.967422284343E+000  2.040610148471E+000
  4.818366816528E-004  1.377118412759E-004  1.915504996558E+000 -1.967161377536E+000  2.040382480564E+000
  6.293995911626E-004  1.574159134560E-004  1.915214738715E+000 -1.966860312146E+000  2.040119736322E+000
  7.966726389934E-004  1.771323769912E-004  1.914885764536E+000 -1.966519080010E+000  2.039821894113E+000
  9.836689940782E-004  1.968627874036E-004  1.914518068298E+000 -1.966137671882E+000  2.039488929431E+000
  1.190403382016E-003  2.166087025496E-004  1.914111643610E+000 -1.965716077438E+000  2.039120814897E+000
  1.416892087541E-003  2.363716828821E-004  1.913666483417E+000 -1.965254285275E+000  2.038717520265E+000
  1.663152957245E-003  2.561532917128E-004  1.913182580001E+000 -1.964752282919E+000  2.038279012423E+000
  1.929205402573E-003  2.759550954757E-004  1.912659924985E+000 -1.964210056825E+000  2.037805255401E+000
  2.215070403074E-003  2.957786639908E-004  1.912098509333E+000 -1.963627592384E+000  2.037296210374E+000
  2.520770509919E-003  3.156255707300E-004  1.911498323355E+000 -1.963004873922E+000  2.036751835667E+000
  2.846329849692E-003  3.354973930828E-004  1.910859356710E+000 -1.962341884710E+000  2.036172086761E+000
  3.191774128432E-003  3.553957126240E-004  1.910181598411E+000 -1.961638606965E+000  2.035556916302E+000
  3.557130635959E-003  3.753221153821E-004  1.909465036825E+000 -1.960895021857E+000  2.034906274103E+000
  3.942428250463E-003  3.952781921092E-004  1.908709659679E+000 -1.960111109513E+000  2.034220107154E+000
  4.347697443358E-003  4.152655385525E-004  1.907915454065E+000 -1.959286849023E+000  2.033498359629E+000
  4.772970284417E-003  4.352857557265E-004  1.907082406444E+000 -1.958422218445E+000  2.032740972894E+000
  5.218280447175E-003  4.553404501876E-004  1.906210502648E+000 -1.957517194816E+000  2.031947885514E+000
  5.683663214611E-003  4.754312343099E-004  1.905299727890E+000 -1.956571754152E+000  2.031119033264E+000
  6.169155485101E-003  4.955597265624E-004  1.904350066762E+000 -1.955585871459E+000  2.030254349137E+000
  6.674795778653E-003  5.157275517886E-004  1.903361503250E+000 -1.954559520740E+000  2.029353763353E+000
  7.200624243425E-003  5.359363414876E-004  1.902334020728E+000 -1.953492675000E+000  2.028417203372E+000
  7.746682662519E-003  5.561877340970E-004  1.901267601974E+000 -1.952385306259E+000  2.027444593900E+000
  8.313014461060E-003  5.764833752781E-004  1.900162229171E+000 -1.951237385554E+000  2.026435856907E+000
  8.899664713569E-003  5.968249182030E-004  1.899017883914E+000 -1.950048882955E+000  2.025390911631E+000
  9.506680151615E-003  6.172140238444E-004  1.897834547216E+000 -1.948819767567E+000  2.024309674596E+000
  1.013410917176E-002  6.376523612666E-004  1.896612199518E+000 -1.947550007542E+000  2.023192059623E+000
  1.078200184380E-002  6.581416079202E-004  1.895350820692E+000 -1.946239570092E+000  2.022037977841E+000
  1.145040991929E-002  6.786834499385E-004  1.894050390050E+000 -1.944888421495E+000  2.020847337704E+000
  1.213938684040E-002  6.992795824361E-004  1.892710886353E+000 -1.943496527106E+000  2.019620045005E+000
  1.284898774901E-002  7.199317098113E-004  1.891332287819E+000 -1.942063851369E+000  2.018356002887E+000
  1.357926949620E-002  7.406415460502E-004  1.889914572127E+000 -1.940590357829E+000  2.017055111864E+000
  1.433029065191E-002  7.614108150341E-004  1.888457716430E+000 -1.939076009141E+000  2.015717269833E+000
  1.510211151509E-002  7.822412508494E-004  1.886961697364E+000 -1.937520767085E+000  2.014342372091E+000
  1.589479412397E-002  8.031345981016E-004  1.885426491051E+000 -1.935924592576E+000  2.012930311353E+000
  1.670840226680E-002  8.240926122311E-004  1.883852073116E+000 -1.934287445679E+000  2.011480977772E+000
  1.754300149280E-002  8.451170598329E-004  1.882238418693E+000 -1.932609285620E+000  2.009994258953E+000
  1.839865912351E-002  8.662097189796E-004  1.880585502434E+000 -1.930890070800E+000  2.008470039975E+000
  1.927544426443E-002  8.873723795480E-004  1.878893298518E+000 -1.929129758812E+000  2.006908203408E+000
  2.017342781695E-002  9.086068435487E-004  1.877161780669E+000 -1.927328306452E+000  2.005308629337E+000
  2.109268249069E-002  9.299149254598E-004  1.875390922157E+000 -1.925485669734E+000  2.003671195381E+000
  2.203328281612E-002  9.512984525641E-004  1.873580695815E+000 -1.923601803909E+000  2.001995776714E+000
  2.299530515754E-002  9.727592652906E-004  1.871731074050E+000 -1.921676663475E+000  2.000282246087E+000
  2.397882772639E-002  9.942992175591E-004  1.869842028852E+000 -1.919710202201E+000  1.998530473854E+000
  2.498393059493E-002  1.015920177130E-003  1.867913531810E+000 -1.917702373135E+000  1.996740327993E+000
  2.601069571024E-002  1.037624025957E-003  1.865945554118E+000 -1.915653128627E+000  1.994911674131E+000
  2.705920690860E-002  1.059412660547E-003  1.863938066597E+000 -1.913562420347E+000  1.993044375571E+000
  2.812954993023E-002  1.081287992318E-003  1.861891039700E+000 -1.911430199297E+000  1.991138293314E+000
  2.922181243436E-002  1.103251947969E-003  1.859804443529E+000 -1.909256415839E+000  1.989193286093E+000
  3.033608401473E-002  1.125306469854E-003  1.857678247847E+000 -1.907041019704E+000  1.987209210391E+000
  3.147245621542E-002  1.147453516351E-003  1.855512422094E+000 -1.904783960019E+000  1.985185920477E+000
