# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   0 , Occupation=   1.0100
  9.830308526508E-006  1.966074589941E-005  1.919521345327E+000 -1.970897032547E+000  2.040911859984E+000
  3.932200719717E-005  3.932303800261E-005  1.919463221113E+000 -1.970836843361E+000  2.040859539027E+000
  8.847741541455E-005  5.898842277178E-005  1.919366346289E+000 -1.970736526220E+000  2.040772332610E+000
  1.573003992804E-004  7.865844718600E-005  1.919230719154E+000 -1.970596078381E+000  2.040650233503E+000
  2.457963722417E-004  9.833465899987E-005  1.919056337327E+000 -1.970415496000E+000  2.040493231585E+000
  3.539722959954E-004  1.180186070023E-004  1.918843197750E+000 -1.970194774140E+000  2.040301313846E+000
  4.818366816528E-004  1.377118412759E-004  1.918591296683E+000 -1.969933906769E+000  2.040074464386E+000
  6.293995911626E-004  1.574159134560E-004  1.918300629715E+000 -1.969632886761E+000  2.039812664421E+000
  7.966726389934E-004  1.771323769912E-004  1.917971191754E+000 -1.969291705901E+000  2.039515892285E+000
  9.836689940782E-004  1.968627874036E-004  1.917602977040E+000 -1.968910354882E+000  2.039184123429E+000
  1.190403382016E-003  2.166087025496E-004  1.917195979137E+000 -1.968488823315E+000  2.038817330429E+000
  1.416892087541E-003  2.363716828821E-004  1.916750190940E+000 -1.968027099724E+000  2.038415482987E+000
  1.663152957245E-003  2.561532917128E-004  1.916265604680E+000 -1.967525171554E+000  2.037978547937E+000
  1.929205402573E-003  2.759550954757E-004  1.915742211919E+000 -1.966983025174E+000  2.037506489247E+000
  2.215070403074E-003  2.957786639908E-004  1.915180003560E+000 -1.966400645879E+000  2.036999268025E+000
  2.520770509919E-003  3.156255707300E-004  1.914578969846E+000 -1.965778017894E+000  2.036456842526E+000
  2.846329849692E-003  3.354973930828E-004  1.913939100363E+000 -1.965115124382E+000  2.035879168155E+000
  3.191774128432E-003  3.553957126240E-004  1.913260384046E+000 -1.964411947445E+000  2.035266197476E+000
  3.557130635959E-003  3.753221153821E-004  1.912542809183E+000 -1.963668468128E+000  2.034617880214E+000
  3.942428250463E-003  3.952781921092E-004  1.911786363413E+000 -1.962884666429E+000  2.033934163268E+000
  4.347697443358E-003  4.152655385525E-004  1.910991033739E+000 -1.962060521301E+000  2.033214990714E+000
  4.772970284417E-003  4.352857557265E-004  1.910156806524E+000 -1.961196010659E+000  2.032460303815E+000
