# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  1.605199412043E-005  1.632908272055E+000 -4.176083019934E-002
  3.932200719717E-005  3.932303800261E-005  6.420921448331E-005  1.632907020882E+000 -4.308822351811E-002
  8.847741541455E-005  5.898842277178E-005  1.444753727290E-004  1.632904848503E+000 -4.529978352523E-002
  1.573003992804E-004  7.865844718600E-005  2.568566470452E-004  1.632901624336E+000 -4.839436724415E-002
  2.457963722417E-004  9.833465899987E-005  4.013616703487E-004  1.632897165672E+000 -5.237037512725E-002
  3.539722959954E-004  1.180186070023E-004  5.780015137481E-004  1.632891237793E+000 -5.722575167516E-002
  4.818366816528E-004  1.377118412759E-004  7.867896652887E-004  1.632883554105E+000 -6.295798623339E-002
  6.293995911626E-004  1.574159134560E-004  1.027742003990E-003  1.632873776310E+000 -6.956411396582E-002
  7.966726389934E-004  1.771323769912E-004  1.300876769184E-003  1.632861514615E+000 -7.704071700507E-002
  9.836689940782E-004  1.968627874036E-004  1.606214525163E-003  1.632846327961E+000 -8.538392578034E-002
  1.190403382016E-003  2.166087025496E-004  1.943778121148E-003  1.632827724289E+000 -9.458942052178E-002
  1.416892087541E-003  2.363716828821E-004  2.313592646601E-003  1.632805160839E+000 -1.046524329423E-001
  1.663152957245E-003  2.561532917128E-004  2.715685381879E-003  1.632778044473E+000 -1.155677480962E-001
  1.929205402573E-003  2.759550954757E-004  3.150085744267E-003  1.632745732038E+000 -1.273297064153E-001
  2.215070403074E-003  2.957786639908E-004  3.616825229390E-003  1.632707530753E+000 -1.399322059216E-001
  2.520770509919E-003  3.156255707300E-004  4.115937348036E-003  1.632662698629E+000 -1.533687046173E-001
  2.846329849692E-003  3.354973930828E-004  4.647457558413E-003  1.632610444922E+000 -1.676322230522E-001
  3.191774128432E-003  3.553957126240E-004  5.211423193853E-003  1.632549930613E+000 -1.827153470680E-001
  3.557130635959E-003  3.753221153821E-004  5.807873386001E-003  1.632480268920E+000 -1.986102307193E-001
  3.942428250463E-003  3.952781921092E-004  6.436848983510E-003  1.632400525842E+000 -2.153085993726E-001
  4.347697443358E-003  4.152655385525E-004  7.098392466270E-003  1.632309720735E+000 -2.328017529816E-001
  4.772970284417E-003  4.352857557265E-004  7.792547855209E-003  1.632206826911E+000 -2.510805695400E-001
  5.218280447175E-003  4.553404501876E-004  8.519360617687E-003  1.632090772277E+000 -2.701355087114E-001
  5.683663214611E-003  4.754312343099E-004  9.278877568536E-003  1.631960439996E+000 -2.899566156356E-001
  6.169155485101E-003  4.955597265624E-004  1.007114676677E-002  1.631814669182E+000 -3.105335249129E-001
