# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  1.316468352473E-005  1.339167337708E+000 -5.286316623922E+000
  3.932200719717E-005  3.932303800261E-005  5.265670433700E-005  1.339011448794E+000 -5.285398171791E+000
  8.847741541455E-005  5.898842277178E-005  1.184699738940E-004  1.338751680506E+000 -5.283867762545E+000
  1.573003992804E-004  7.865844718600E-005  2.105943471007E-004  1.338388102670E+000 -5.281725912509E+000
  2.457963722417E-004  9.833465899987E-005  3.290156260230E-004  1.337920813005E+000 -5.278973344263E+000
  3.539722959954E-004  1.180186070023E-004  4.737155650846E-004  1.337349937073E+000 -5.275610986379E+000
  4.818366816528E-004  1.377118412759E-004  6.446718777442E-004  1.336675628229E+000 -5.271639973067E+000
  6.293995911626E-004  1.574159134560E-004  8.418582446508E-004  1.335898067551E+000 -5.267061643756E+000
  7.966726389934E-004  1.771323769912E-004  1.065244323274E-003  1.335017463763E+000 -5.261877542583E+000
  9.836689940782E-004  1.968627874036E-004  1.314795759005E-003  1.334034053139E+000 -5.256089417823E+000
  1.190403382016E-003  2.166087025496E-004  1.590474197720E-003  1.332948099408E+000 -5.249699221227E+000
  1.416892087541E-003  2.363716828821E-004  1.892237299811E-003  1.331759893629E+000 -5.242709107288E+000
  1.663152957245E-003  2.561532917128E-004  2.220038755662E-003  1.330469754069E+000 -5.235121432433E+000
  1.929205402573E-003  2.759550954757E-004  2.573828302580E-003  1.329078026061E+000 -5.226938754132E+000
  2.215070403074E-003  2.957786639908E-004  2.953551743161E-003  1.327585081855E+000 -5.218163829936E+000
  2.520770509919E-003  3.156255707300E-004  3.359150965089E-003  1.325991320450E+000 -5.208799616433E+000
  2.846329849692E-003  3.354973930828E-004  3.790563962362E-003  1.324297167421E+000 -5.198849268130E+000
  3.191774128432E-003  3.553957126240E-004  4.247724857927E-003  1.322503074730E+000 -5.188316136257E+000
  3.557130635959E-003  3.753221153821E-004  4.730563927718E-003  1.320609520527E+000 -5.177203767497E+000
  3.942428250463E-003  3.952781921092E-004  5.239007626095E-003  1.318617008940E+000 -5.165515902632E+000
  4.347697443358E-003  4.152655385525E-004  5.772978612653E-003  1.316526069848E+000 -5.153256475123E+000
  4.772970284417E-003  4.352857557265E-004  6.332395780408E-003  1.314337258651E+000 -5.140429609605E+000
  5.218280447175E-003  4.553404501876E-004  6.917174285338E-003  1.312051156017E+000 -5.127039620311E+000
  5.683663214611E-003  4.754312343099E-004  7.527225577265E-003  1.309668367630E+000 -5.113091009414E+000
  6.169155485101E-003  4.955597265624E-004  8.162457432066E-003  1.307189523915E+000 -5.098588465299E+000
  6.674795778653E-003  5.157275517886E-004  8.822773985193E-003  1.304615279762E+000 -5.083536860756E+000
  7.200624243425E-003  5.359363414876E-004  9.508075766500E-003  1.301946314226E+000 -5.067941251097E+000
  7.746682662519E-003  5.561877340970E-004  1.021825973634E-002  1.299183330229E+000 -5.051806872199E+000
  8.313014461060E-003  5.764833752781E-004  1.095321932294E-002  1.296327054241E+000 -5.035139138467E+000
  8.899664713569E-003  5.968249182030E-004  1.171284446098E-002  1.293378235952E+000 -5.017943640732E+000
  9.506680151615E-003  6.172140238444E-004  1.249702163148E-002  1.290337647940E+000 -5.000226144059E+000
