# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  1.605199412056E-005  1.632908272067E+000 -4.176083040866E-002
  3.932200719717E-005  3.932303800261E-005  6.420921448381E-005  1.632907020895E+000 -4.308822372737E-002
  8.847741541455E-005  5.898842277178E-005  1.444753727302E-004  1.632904848516E+000 -4.529978373438E-002
  1.573003992804E-004  7.865844718600E-005  2.568566470472E-004  1.632901624348E+000 -4.839436745316E-002
  2.457963722417E-004  9.833465899987E-005  4.013616703518E-004  1.632897165685E+000 -5.237037533606E-002
  3.539722959954E-004  1.180186070023E-004  5.780015137526E-004  1.632891237806E+000 -5.722575188374E-002
  4.818366816528E-004  1.377118412759E-004  7.867896652949E-004  1.632883554117E+000 -6.295798644170E-002
  6.293995911626E-004  1.574159134560E-004  1.027742003998E-003  1.632873776323E+000 -6.956411417380E-002
  7.966726389934E-004  1.771323769912E-004  1.300876769195E-003  1.632861514628E+000 -7.704071721270E-002
  9.836689940782E-004  1.968627874036E-004  1.606214525176E-003  1.632846327974E+000 -8.538392598757E-002
  1.190403382016E-003  2.166087025496E-004  1.943778121163E-003  1.632827724302E+000 -9.458942072857E-002
  1.416892087541E-003  2.363716828821E-004  2.313592646619E-003  1.632805160851E+000 -1.046524331486E-001
  1.663152957245E-003  2.561532917128E-004  2.715685381900E-003  1.632778044485E+000 -1.155677483020E-001
  1.929205402573E-003  2.759550954757E-004  3.150085744292E-003  1.632745732050E+000 -1.273297066205E-001
  2.215070403074E-003  2.957786639908E-004  3.616825229418E-003  1.632707530765E+000 -1.399322061262E-001
  2.520770509919E-003  3.156255707300E-004  4.115937348068E-003  1.632662698642E+000 -1.533687048213E-001
  2.846329849692E-003  3.354973930828E-004  4.647457558449E-003  1.632610444935E+000 -1.676322232555E-001
  3.191774128432E-003  3.553957126240E-004  5.211423193893E-003  1.632549930625E+000 -1.827153472705E-001
  3.557130635959E-003  3.753221153821E-004  5.807873386045E-003  1.632480268932E+000 -1.986102309211E-001
  3.942428250463E-003  3.952781921092E-004  6.436848983559E-003  1.632400525854E+000 -2.153085995736E-001
  4.347697443358E-003  4.152655385525E-004  7.098392466324E-003  1.632309720747E+000 -2.328017531817E-001
  4.772970284417E-003  4.352857557265E-004  7.792547855268E-003  1.632206826923E+000 -2.510805697393E-001
  5.218280447175E-003  4.553404501876E-004  8.519360617751E-003  1.632090772289E+000 -2.701355089097E-001
  5.683663214611E-003  4.754312343099E-004  9.278877568606E-003  1.631960440007E+000 -2.899566158330E-001
  6.169155485101E-003  4.955597265624E-004  1.007114676684E-002  1.631814669194E+000 -3.105335251093E-001
  6.674795778653E-003  5.157275517886E-004  1.089621740806E-002  1.631652255641E+000 -3.318554649599E-001
