# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  4.912472582538E-006  4.997176569891E-001 -1.942082450931E+000
  3.932200719717E-005  3.932303800261E-005  1.964915061449E-005  4.996603862273E-001 -1.941773991781E+000
  8.847741541455E-005  5.898842277178E-005  4.420781516682E-005  4.995649501677E-001 -1.941259988484E+000
  1.573003992804E-004  7.865844718600E-005  7.858476875111E-005  4.994313716203E-001 -1.940540583944E+000
  2.457963722417E-004  9.833465899987E-005  1.227748364091E-004  4.992596825089E-001 -1.939615978173E+000
  3.539722959954E-004  1.180186070023E-004  1.767713672382E-004  4.990499238604E-001 -1.938486428233E+000
  4.818366816528E-004  1.377118412759E-004  2.405662363520E-004  4.988021457922E-001 -1.937152248166E+000
  6.293995911626E-004  1.574159134560E-004  3.141498472760E-004  4.985164074955E-001 -1.935613808911E+000
  7.966726389934E-004  1.771323769912E-004  3.975111347775E-004  4.981927772163E-001 -1.933871538196E+000
  9.836689940782E-004  1.968627874036E-004  4.906375681298E-004  4.978313322335E-001 -1.931925920427E+000
  1.190403382016E-003  2.166087025496E-004  5.935151548095E-004  4.974321588336E-001 -1.929777496547E+000
  1.416892087541E-003  2.363716828821E-004  7.061284446266E-004  4.969953522831E-001 -1.927426863894E+000
  1.663152957245E-003  2.561532917128E-004  8.284605342862E-004  4.965210167973E-001 -1.924874676027E+000
  1.929205402573E-003  2.759550954757E-004  9.604930723814E-004  4.960092655067E-001 -1.922121642555E+000
  2.215070403074E-003  2.957786639908E-004  1.102206264816E-003  4.954602204200E-001 -1.919168528931E+000
  2.520770509919E-003  3.156255707300E-004  1.253578880657E-003  4.948740123845E-001 -1.916016156244E+000
  2.846329849692E-003  3.354973930828E-004  1.414588258412E-003  4.942507810436E-001 -1.912665400992E+000
  3.191774128432E-003  3.553957126240E-004  1.585210312738E-003  4.935906747910E-001 -1.909117194831E+000
  3.557130635959E-003  3.753221153821E-004  1.765419541569E-003  4.928938507222E-001 -1.905372524322E+000
  3.942428250463E-003  3.952781921092E-004  1.955189033674E-003  4.921604745832E-001 -1.901432430649E+000
  4.347697443358E-003  4.152655385525E-004  2.154490476631E-003  4.913907207160E-001 -1.897298009329E+000
  4.772970284417E-003  4.352857557265E-004  2.363294165227E-003  4.905847720014E-001 -1.892970409905E+000
  5.218280447175E-003  4.553404501876E-004  2.581569010271E-003  4.897428197984E-001 -1.888450835618E+000
  5.683663214611E-003  4.754312343099E-004  2.809282547829E-003  4.888650638816E-001 -1.883740543071E+000
  6.169155485101E-003  4.955597265624E-004  3.046400948868E-003  4.879517123747E-001 -1.878840841869E+000
  6.674795778653E-003  5.157275517886E-004  3.292889029320E-003  4.870029816815E-001 -1.873753094247E+000
  7.200624243425E-003  5.359363414876E-004  3.548710260548E-003  4.860190964141E-001 -1.868478714684E+000
  7.746682662519E-003  5.561877340970E-004  3.813826780229E-003  4.850002893182E-001 -1.863019169495E+000
  8.313014461060E-003  5.764833752781E-004  4.088199403630E-003  4.839468011949E-001 -1.857375976410E+000
  8.899664713569E-003  5.968249182030E-004  4.371787635303E-003  4.828588808204E-001 -1.851550704140E+000
  9.506680151615E-003  6.172140238444E-004  4.664549681164E-003  4.817367848624E-001 -1.845544971919E+000
  1.013410917176E-002  6.376523612666E-004  4.966442460979E-003  4.805807777933E-001 -1.839360449038E+000
  1.078200184380E-002  6.581416079202E-004  5.277421621242E-003  4.793911318015E-001 -1.832998854357E+000
  1.145040991929E-002  6.786834499385E-004  5.597441548440E-003  4.781681266983E-001 -1.826461955800E+000
  1.213938684040E-002  6.992795824361E-004  5.926455382710E-003  4.769120498237E-001 -1.819751569843E+000
  1.284898774901E-002  7.199317098113E-004  6.264415031878E-003  4.756231959476E-001 -1.812869560971E+000
  1.357926949620E-002  7.406415460502E-004  6.611271185874E-003  4.743018671694E-001 -1.805817841132E+000
  1.433029065191E-002  7.614108150341E-004  6.966973331533E-003  4.729483728142E-001 -1.798598369164E+000
  1.510211151509E-002  7.822412508494E-004  7.331469767754E-003  4.715630293261E-001 -1.791213150215E+000
  1.589479412397E-002  8.031345981016E-004  7.704707621041E-003  4.701461601590E-001 -1.783664235138E+000
  1.670840226680E-002  8.240926122311E-004  8.086632861395E-003  4.686980956641E-001 -1.775953719877E+000
  1.754300149280E-002  8.451170598329E-004  8.477190318576E-003  4.672191729751E-001 -1.768083744829E+000
  1.839865912351E-002  8.662097189796E-004  8.876323698706E-003  4.657097358903E-001 -1.760056494195E+000
  1.927544426443E-002  8.873723795480E-004  9.283975601234E-003  4.641701347518E-001 -1.751874195312E+000
  2.017342781695E-002  9.086068435487E-004  9.700087536234E-003  4.626007263220E-001 -1.743539117970E+000
  2.109268249069E-002  9.299149254598E-004  1.012459994204E-002  4.610018736578E-001 -1.735053573710E+000
  2.203328281612E-002  9.512984525641E-004  1.055745220324E-002  4.593739459812E-001 -1.726419915108E+000
  2.299530515754E-002  9.727592652906E-004  1.099858266894E-002  4.577173185478E-001 -1.717640535040E+000
  2.397882772639E-002  9.942992175591E-004  1.144792867141E-002  4.560323725125E-001 -1.708717865932E+000
  2.498393059493E-002  1.015920177130E-003  1.190542654500E-002  4.543194947923E-001 -1.699654378993E+000
  2.601069571024E-002  1.037624025957E-003  1.237101164538E-002  4.525790779263E-001 -1.690452583431E+000
  2.705920690860E-002  1.059412660547E-003  1.284461836910E-002  4.508115199336E-001 -1.681115025652E+000
  2.812954993023E-002  1.081287992318E-003  1.332618017339E-002  4.490172241680E-001 -1.671644288444E+000
  2.922181243436E-002  1.103251947969E-003  1.381562959628E-002  4.471965991704E-001 -1.662042990144E+000
  3.033608401473E-002  1.125306469854E-003  1.431289827705E-002  4.453500585185E-001 -1.652313783786E+000
  3.147245621542E-002  1.147453516351E-003  1.481791697679E-002  4.434780206739E-001 -1.642459356235E+000
  3.263102254705E-002  1.169695062249E-003  1.533061559942E-002  4.415809088267E-001 -1.632482427305E+000
  3.381187850339E-002  1.192033099133E-003  1.585092321282E-002  4.396591507378E-001 -1.622385748859E+000
  3.501512157837E-002  1.214469635775E-003  1.637876807026E-002  4.377131785782E-001 -1.612172103890E+000
  3.624085128345E-002  1.237006698530E-003  1.691407763207E-002  4.357434287665E-001 -1.601844305595E+000
  3.748916916538E-002  1.259646331739E-003  1.745677858749E-002  4.337503418035E-001 -1.591405196420E+000
