# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  5.305047928390E-006  5.396503984099E-001 -2.442449575910E+000
  3.932200719717E-005  3.932303800261E-005  2.121919276189E-005  5.395783734332E-001 -2.441974184186E+000
  8.847741541455E-005  5.898842277178E-005  4.773943807716E-005  5.394583566655E-001 -2.441182041987E+000
  1.573003992804E-004  7.865844718600E-005  8.486079127435E-005  5.392903853858E-001 -2.440073415262E+000
  2.457963722417E-004  9.833465899987E-005  1.325762657347E-004  5.390745117632E-001 -2.438648676213E+000
  3.539722959954E-004  1.180186070023E-004  1.908768838412E-004  5.388108028351E-001 -2.436908303176E+000
  4.818366816528E-004  1.377118412759E-004  2.597516808595E-004  5.384993404794E-001 -2.434852880456E+000
  6.293995911626E-004  1.574159134560E-004  3.391877096800E-004  5.381402213803E-001 -2.432483098132E+000
  7.966726389934E-004  1.771323769912E-004  4.291700464178E-004  5.377335569884E-001 -2.429799751828E+000
  9.836689940782E-004  1.968627874036E-004  5.296817968701E-004  5.372794734740E-001 -2.426803742446E+000
  1.190403382016E-003  2.166087025496E-004  6.407041038276E-004  5.367781116747E-001 -2.423496075860E+000
  1.416892087541E-003  2.363716828821E-004  7.622161552399E-004  5.362296270366E-001 -2.419877862585E+000
  1.663152957245E-003  2.561532917128E-004  8.941951932298E-004  5.356341895495E-001 -2.415950317395E+000
  1.929205402573E-003  2.759550954757E-004  1.036616523955E-003  5.349919836759E-001 -2.411714758921E+000
  2.215070403074E-003  2.957786639908E-004  1.189453528314E-003  5.343032082735E-001 -2.407172609203E+000
  2.520770509919E-003  3.156255707300E-004  1.352677673494E-003  5.335680765125E-001 -2.402325393211E+000
  2.846329849692E-003  3.354973930828E-004  1.526258525351E-003  5.327868157856E-001 -2.397174738328E+000
  3.191774128432E-003  3.553957126240E-004  1.710163761630E-003  5.319596676128E-001 -2.391722373796E+000
  3.557130635959E-003  3.753221153821E-004  1.904359186008E-003  5.310868875396E-001 -2.385970130135E+000
  3.942428250463E-003  3.952781921092E-004  2.108808742964E-003  5.301687450294E-001 -2.379919938514E+000
  4.347697443358E-003  4.152655385525E-004  2.323474533465E-003  5.292055233496E-001 -2.373573830096E+000
  4.772970284417E-003  4.352857557265E-004  2.548316831471E-003  5.281975194519E-001 -2.366933935341E+000
  5.218280447175E-003  4.553404501876E-004  2.783294101242E-003  5.271450438460E-001 -2.360002483280E+000
  5.683663214611E-003  4.754312343099E-004  3.028363015454E-003  5.260484204684E-001 -2.352781800743E+000
  6.169155485101E-003  4.955597265624E-004  3.283478474106E-003  5.249079865436E-001 -2.345274311565E+000
  6.674795778653E-003  5.157275517886E-004  3.548593624217E-003  5.237240924410E-001 -2.337482535744E+000
  7.200624243425E-003  5.359363414876E-004  3.823659880312E-003  5.224971015243E-001 -2.329409088568E+000
  7.746682662519E-003  5.561877340970E-004  4.108626945673E-003  5.212273899962E-001 -2.321056679709E+000
  8.313014461060E-003  5.764833752781E-004  4.403442834368E-003  5.199153467363E-001 -2.312428112281E+000
  8.899664713569E-003  5.968249182030E-004  4.708053894033E-003  5.185613731337E-001 -2.303526281852E+000
  9.506680151615E-003  6.172140238444E-004  5.022404829410E-003  5.171658829133E-001 -2.294354175437E+000
  1.013410917176E-002  6.376523612666E-004  5.346438726625E-003  5.157293019565E-001 -2.284914870443E+000
  1.078200184380E-002  6.581416079202E-004  5.680097078201E-003  5.142520681157E-001 -2.275211533583E+000
  1.145040991929E-002  6.786834499385E-004  6.023319808793E-003  5.127346310238E-001 -2.265247419751E+000
  1.213938684040E-002  6.992795824361E-004  6.376045301643E-003  5.111774518974E-001 -2.255025870868E+000
  1.284898774901E-002  7.199317098113E-004  6.738210425732E-003  5.095810033338E-001 -2.244550314689E+000
  1.357926949620E-002  7.406415460502E-004  7.109750563630E-003  5.079457691035E-001 -2.233824263567E+000
  1.433029065191E-002  7.614108150341E-004  7.490599640023E-003  5.062722439361E-001 -2.222851313197E+000
  1.510211151509E-002  7.822412508494E-004  7.880690150918E-003  5.045609333008E-001 -2.211635141309E+000
  1.589479412397E-002  8.031345981016E-004  8.279953193499E-003  5.028123531817E-001 -2.200179506339E+000
  1.670840226680E-002  8.240926122311E-004  8.688318496633E-003  5.010270298470E-001 -2.188488246053E+000
  1.754300149280E-002  8.451170598329E-004  9.105714452003E-003  4.992054996136E-001 -2.176565276142E+000
  1.839865912351E-002  8.662097189796E-004  9.532068145870E-003  4.973483086048E-001 -2.164414588785E+000
  1.927544426443E-002  8.873723795480E-004  9.967305391430E-003  4.954560125044E-001 -2.152040251167E+000
  2.017342781695E-002  9.086068435487E-004  1.041135076177E-002  4.935291763040E-001 -2.139446403971E+000
  2.109268249069E-002  9.299149254598E-004  1.086412762338E-002  4.915683740461E-001 -2.126637259832E+000
  2.203328281612E-002  9.512984525641E-004  1.132555817028E-002  4.895741885610E-001 -2.113617101755E+000
  2.299530515754E-002  9.727592652906E-004  1.179556345861E-002  4.875472111995E-001 -2.100390281499E+000
  2.397882772639E-002  9.942992175591E-004  1.227406344178E-002  4.854880415599E-001 -2.086961217928E+000
  2.498393059493E-002  1.015920177130E-003  1.276097700621E-002  4.833972872102E-001 -2.073334395327E+000
  2.601069571024E-002  1.037624025957E-003  1.325622200742E-002  4.812755634051E-001 -2.059514361680E+000
  2.705920690860E-002  1.059412660547E-003  1.375971530669E-002  4.791234927987E-001 -2.045505726921E+000
  2.812954993023E-002  1.081287992318E-003  1.427137280815E-002  4.769417051516E-001 -2.031313161144E+000
  2.922181243436E-002  1.103251947969E-003  1.479110949634E-002  4.747308370341E-001 -2.016941392786E+000
  3.033608401473E-002  1.125306469854E-003  1.531883947408E-002  4.724915315239E-001 -2.002395206769E+000
  3.147245621542E-002  1.147453516351E-003  1.585447600089E-002  4.702244379002E-001 -1.987679442616E+000
