# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0100
  9.830308526508E-006  1.966074589941E-005  4.876304971030E-006  4.960385534319E-001 -1.923695326285E+000
  3.932200719717E-005  3.932303800261E-005  1.950448798515E-005  4.959818248826E-001 -1.923390596769E+000
  8.847741541455E-005  5.898842277178E-005  4.388235355990E-005  4.958872923136E-001 -1.922882808161E+000
  1.573003992804E-004  7.865844718600E-005  7.800624327287E-005  4.957549782393E-001 -1.922172101317E+000
  2.457963722417E-004  9.833465899987E-005  1.218710368337E-004  4.955849141699E-001 -1.921258673379E+000
  3.539722959954E-004  1.180186070023E-004  1.754701535854E-004  4.953771406012E-001 -1.920142777720E+000
  4.818366816528E-004  1.377118412759E-004  2.387955544331E-004  4.951317070015E-001 -1.918824723880E+000
  6.293995911626E-004  1.574159134560E-004  3.118377442017E-004  4.948486717955E-001 -1.917304877476E+000
  7.966726389934E-004  1.771323769912E-004  3.945857744202E-004  4.945281023459E-001 -1.915583660104E+000
  9.836689940782E-004  1.968627874036E-004  4.870272465341E-004  4.941700749313E-001 -1.913661549222E+000
  1.190403382016E-003  2.166087025496E-004  5.891483155429E-004  4.937746747217E-001 -1.911539078019E+000
  1.416892087541E-003  2.363716828821E-004  7.009336940645E-004  4.933419957512E-001 -1.909216835267E+000
  1.663152957245E-003  2.561532917128E-004  8.223666568239E-004  4.928721408872E-001 -1.906695465158E+000
  1.929205402573E-003  2.759550954757E-004  9.534290455660E-004  4.923652217976E-001 -1.903975667130E+000
  2.215070403074E-003  2.957786639908E-004  1.094101274392E-003  4.918213589140E-001 -1.901058195666E+000
  2.520770509919E-003  3.156255707300E-004  1.244362335518E-003  4.912406813933E-001 -1.897943860092E+000
  2.846329849692E-003  3.354973930828E-004  1.404189805451E-003  4.906233270753E-001 -1.894633524347E+000
  3.191774128432E-003  3.553957126240E-004  1.573559851593E-003  4.899694424378E-001 -1.891128106745E+000
  3.557130635959E-003  3.753221153821E-004  1.752447239254E-003  4.892791825492E-001 -1.887428579718E+000
  3.942428250463E-003  3.952781921092E-004  1.940825339086E-003  4.885527110175E-001 -1.883535969544E+000
  4.347697443358E-003  4.152655385525E-004  2.138666134936E-003  4.877901999372E-001 -1.879451356058E+000
  4.772970284417E-003  4.352857557265E-004  2.345940232105E-003  4.869918298323E-001 -1.875175872353E+000
