# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0100
  9.830308526508E-006  1.966074589941E-005  4.876304970996E-006  4.960385534284E-001 -1.923695326222E+000
  3.932200719717E-005  3.932303800261E-005  1.950448798501E-005  4.959818248791E-001 -1.923390596705E+000
  8.847741541455E-005  5.898842277178E-005  4.388235355959E-005  4.958872923101E-001 -1.922882808097E+000
  1.573003992804E-004  7.865844718600E-005  7.800624327232E-005  4.957549782358E-001 -1.922172101254E+000
  2.457963722417E-004  9.833465899987E-005  1.218710368329E-004  4.955849141664E-001 -1.921258673315E+000
  3.539722959954E-004  1.180186070023E-004  1.754701535842E-004  4.953771405978E-001 -1.920142777656E+000
  4.818366816528E-004  1.377118412759E-004  2.387955544315E-004  4.951317069981E-001 -1.918824723816E+000
  6.293995911626E-004  1.574159134560E-004  3.118377441995E-004  4.948486717921E-001 -1.917304877412E+000
  7.966726389934E-004  1.771323769912E-004  3.945857744175E-004  4.945281023425E-001 -1.915583660041E+000
  9.836689940782E-004  1.968627874036E-004  4.870272465308E-004  4.941700749279E-001 -1.913661549159E+000
  1.190403382016E-003  2.166087025496E-004  5.891483155388E-004  4.937746747183E-001 -1.911539077956E+000
  1.416892087541E-003  2.363716828821E-004  7.009336940596E-004  4.933419957478E-001 -1.909216835204E+000
  1.663152957245E-003  2.561532917128E-004  8.223666568182E-004  4.928721408839E-001 -1.906695465096E+000
  1.929205402573E-003  2.759550954757E-004  9.534290455594E-004  4.923652217942E-001 -1.903975667067E+000
  2.215070403074E-003  2.957786639908E-004  1.094101274385E-003  4.918213589107E-001 -1.901058195604E+000
  2.520770509919E-003  3.156255707300E-004  1.244362335509E-003  4.912406813900E-001 -1.897943860030E+000
  2.846329849692E-003  3.354973930828E-004  1.404189805441E-003  4.906233270720E-001 -1.894633524285E+000
  3.191774128432E-003  3.553957126240E-004  1.573559851582E-003  4.899694424345E-001 -1.891128106684E+000
  3.557130635959E-003  3.753221153821E-004  1.752447239242E-003  4.892791825459E-001 -1.887428579657E+000
  3.942428250463E-003  3.952781921092E-004  1.940825339073E-003  4.885527110143E-001 -1.883535969483E+000
  4.347697443358E-003  4.152655385525E-004  2.138666134921E-003  4.877901999340E-001 -1.879451355997E+000
  4.772970284417E-003  4.352857557265E-004  2.345940232089E-003  4.869918298291E-001 -1.875175872292E+000
  5.218280447175E-003  4.553404501876E-004  2.562616866009E-003  4.861577895945E-001 -1.870710704394E+000
  5.683663214611E-003  4.754312343099E-004  2.788663911329E-003  4.852882764332E-001 -1.866057090932E+000
  6.169155485101E-003  4.955597265624E-004  3.024047891411E-003  4.843834957918E-001 -1.861216322785E+000
  6.674795778653E-003  5.157275517886E-004  3.268733988223E-003  4.834436612921E-001 -1.856189742714E+000
  7.200624243425E-003  5.359363414876E-004  3.522686052646E-003  4.824689946608E-001 -1.850978744983E+000
  7.746682662519E-003  5.561877340970E-004  3.785866615183E-003  4.814597256554E-001 -1.845584774958E+000
  8.313014461060E-003  5.764833752781E-004  4.058236897054E-003  4.804160919879E-001 -1.840009328695E+000
  8.899664713569E-003  5.968249182030E-004  4.339756821705E-003  4.793383392454E-001 -1.834253952507E+000
  9.506680151615E-003  6.172140238444E-004  4.630385026700E-003  4.782267208079E-001 -1.828320242518E+000
  1.013410917176E-002  6.376523612666E-004  4.930078876001E-003  4.770814977631E-001 -1.822209844205E+000
  1.078200184380E-002  6.581416079202E-004  5.238794472649E-003  4.759029388183E-001 -1.815924451912E+000
  1.145040991929E-002  6.786834499385E-004  5.556486671814E-003  4.746913202102E-001 -1.809465808364E+000
  1.213938684040E-002  6.992795824361E-004  5.883109094239E-003  4.734469256106E-001 -1.802835704150E+000
  1.284898774901E-002  7.199317098113E-004  6.218614140055E-003  4.721700460303E-001 -1.796035977199E+000
  1.357926949620E-002  7.406415460502E-004  6.562953002970E-003  4.708609797200E-001 -1.789068512237E+000
  1.433029065191E-002  7.614108150341E-004  6.916075684830E-003  4.695200320678E-001 -1.781935240227E+000
  1.510211151509E-002  7.822412508494E-004  7.277931010552E-003  4.681475154946E-001 -1.774638137795E+000
  1.589479412397E-002  8.031345981016E-004  7.648466643404E-003  4.667437493462E-001 -1.767179226637E+000
  1.670840226680E-002  8.240926122311E-004  8.027629100661E-003  4.653090597833E-001 -1.759560572913E+000
  1.754300149280E-002  8.451170598329E-004  8.415363769597E-003  4.638437796678E-001 -1.751784286622E+000
  1.839865912351E-002  8.662097189796E-004  8.811614923842E-003  4.623482484466E-001 -1.743852520959E+000
