# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  4.949991661566E-006  5.035342477789E-001 -1.958929952562E+000
  3.932200719717E-005  3.932303800261E-005  1.979922011283E-005  5.034764801997E-001 -1.958618503618E+000
  8.847741541455E-005  5.898842277178E-005  4.454544597386E-005  5.033802162637E-001 -1.958099518314E+000
  1.573003992804E-004  7.865844718600E-005  7.918493767954E-005  5.032454790096E-001 -1.957373141024E+000
  2.457963722417E-004  9.833465899987E-005  1.237124725812E-004  5.030723006812E-001 -1.956439573821E+000
  3.539722959954E-004  1.180186070023E-004  1.781213384893E-004  5.028607227170E-001 -1.955299076411E+000
  4.818366816528E-004  1.377118412759E-004  2.424033356555E-004  5.026107957366E-001 -1.953951966073E+000
  6.293995911626E-004  1.574159134560E-004  3.165487791953E-004  5.023225795248E-001 -1.952398617564E+000
  7.966726389934E-004  1.771323769912E-004  4.005465019497E-004  5.019961430119E-001 -1.950639463018E+000
  9.836689940782E-004  1.968627874036E-004  4.943838577854E-004  5.016315642513E-001 -1.948674991827E+000
  1.190403382016E-003  2.166087025496E-004  5.980467253335E-004  5.012289303947E-001 -1.946505750507E+000
  1.416892087541E-003  2.363716828821E-004  7.115195121657E-004  5.007883376635E-001 -1.944132342544E+000
  1.663152957245E-003  2.561532917128E-004  8.347851594068E-004  5.003098913174E-001 -1.941555428231E+000
  1.929205402573E-003  2.759550954757E-004  9.678251467835E-004  4.997937056207E-001 -1.938775724482E+000
  2.215070403074E-003  2.957786639908E-004  1.110619498108E-003  4.992399038048E-001 -1.935794004632E+000
  2.520770509919E-003  3.156255707300E-004  1.263146787192E-003  4.986486180282E-001 -1.932611098229E+000
  2.846329849692E-003  3.354973930828E-004  1.425384144203E-003  4.980199893333E-001 -1.929227890792E+000
  3.191774128432E-003  3.553957126240E-004  1.597307262436E-003  4.973541676004E-001 -1.925645323576E+000
  3.557130635959E-003  3.753221153821E-004  1.778890405531E-003  4.966513114987E-001 -1.921864393299E+000
  3.942428250463E-003  3.952781921092E-004  1.970106415110E-003  4.959115884340E-001 -1.917886151868E+000
  4.347697443358E-003  4.152655385525E-004  2.170926718841E-003  4.951351744944E-001 -1.913711706084E+000
  4.772970284417E-003  4.352857557265E-004  2.381321338931E-003  4.943222543915E-001 -1.909342217326E+000
  5.218280447175E-003  4.553404501876E-004  2.601258901039E-003  4.934730214002E-001 -1.904778901229E+000
  5.683663214611E-003  4.754312343099E-004  2.830706643613E-003  4.925876772946E-001 -1.900023027335E+000
  6.169155485101E-003  4.955597265624E-004  3.069630427640E-003  4.916664322813E-001 -1.895075918739E+000
  6.674795778653E-003  5.157275517886E-004  3.317994746827E-003  4.907095049294E-001 -1.889938951705E+000
  7.200624243425E-003  5.359363414876E-004  3.575762738179E-003  4.897171220981E-001 -1.884613555279E+000
  7.746682662519E-003  5.561877340970E-004  3.842896193003E-003  4.886895188607E-001 -1.879101210878E+000
  8.313014461060E-003  5.764833752781E-004  4.119355568315E-003  4.876269384265E-001 -1.873403451866E+000
  8.899664713569E-003  5.968249182030E-004  4.405099998662E-003  4.865296320588E-001 -1.867521863108E+000
  9.506680151615E-003  6.172140238444E-004  4.700087308333E-003  4.853978589908E-001 -1.861458080517E+000
  1.013410917176E-002  6.376523612666E-004  5.004274023992E-003  4.842318863379E-001 -1.855213790578E+000
  1.078200184380E-002  6.581416079202E-004  5.317615387692E-003  4.830319890076E-001 -1.848790729853E+000
  1.145040991929E-002  6.786834499385E-004  5.640065370293E-003  4.817984496063E-001 -1.842190684478E+000
  1.213938684040E-002  6.992795824361E-004  5.971576685267E-003  4.805315583429E-001 -1.835415489638E+000
  1.284898774901E-002  7.199317098113E-004  6.312100802898E-003  4.792316129299E-001 -1.828467029024E+000
  1.357926949620E-002  7.406415460502E-004  6.661587964857E-003  4.778989184818E-001 -1.821347234275E+000
  1.433029065191E-002  7.614108150341E-004  7.019987199164E-003  4.765337874095E-001 -1.814058084409E+000
  1.510211151509E-002  7.822412508494E-004  7.387246335523E-003  4.751365393133E-001 -1.806601605228E+000
  1.589479412397E-002  8.031345981016E-004  7.763312021030E-003  4.737075008720E-001 -1.798979868710E+000
  1.670840226680E-002  8.240926122311E-004  8.148129736248E-003  4.722470057295E-001 -1.791194992389E+000
  1.754300149280E-002  8.451170598329E-004  8.541643811644E-003  4.707553943786E-001 -1.783249138710E+000
  1.839865912351E-002  8.662097189796E-004  8.943797444385E-003  4.692330140417E-001 -1.775144514374E+000
  1.927544426443E-002  8.873723795480E-004  9.354532715486E-003  4.676802185490E-001 -1.766883369663E+000
  2.017342781695E-002  9.086068435487E-004  9.773790607303E-003  4.660973682137E-001 -1.758467997749E+000
  2.109268249069E-002  9.299149254598E-004  1.020151102137E-002  4.644848297044E-001 -1.749900733985E+000
  2.203328281612E-002  9.512984525641E-004  1.063763279658E-002  4.628429759147E-001 -1.741183955181E+000
  2.299530515754E-002  9.727592652906E-004  1.108209372767E-002  4.611721858304E-001 -1.732320078864E+000
