# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  4.875217283601E-006  4.959278964040E-001 -1.925874464272E+000
  3.932200719717E-005  3.932303800261E-005  1.950013588647E-005  4.958711036024E-001 -1.925568773779E+000
  8.847741541455E-005  5.898842277178E-005  4.387255628062E-005  4.957764640035E-001 -1.925059384036E+000
  1.573003992804E-004  7.865844718600E-005  7.798881330558E-005  4.956440002079E-001 -1.924346436638E+000
  2.457963722417E-004  9.833465899987E-005  1.218437772472E-004  4.954737438460E-001 -1.923430129758E+000
  3.539722959954E-004  1.180186070023E-004  1.754308553480E-004  4.952657355682E-001 -1.922310718100E+000
  4.818366816528E-004  1.377118412759E-004  2.387419937488E-004  4.950200250316E-001 -1.920988512826E+000
  6.293995911626E-004  1.574159134560E-004  3.117676798602E-004  4.947366708838E-001 -1.919463881469E+000
  7.966726389934E-004  1.771323769912E-004  3.944969451654E-004  4.944157407441E-001 -1.917737247833E+000
  9.836689940782E-004  1.968627874036E-004  4.869173684516E-004  4.940573111818E-001 -1.915809091877E+000
  1.190403382016E-003  2.166087025496E-004  5.890150794711E-004  4.936614676911E-001 -1.913679949580E+000
  1.416892087541E-003  2.363716828821E-004  7.007747630310E-004  4.932283046636E-001 -1.911350412795E+000
  1.663152957245E-003  2.561532917128E-004  8.221796635095E-004  4.927579253578E-001 -1.908821129085E+000
  1.929205402573E-003  2.759550954757E-004  9.532115898000E-004  4.922504418651E-001 -1.906092801542E+000
  2.215070403074E-003  2.957786639908E-004  1.093850920680E-003  4.917059750741E-001 -1.903166188593E+000
  2.520770509919E-003  3.156255707300E-004  1.244076610607E-003  4.911246546307E-001 -1.900042103788E+000
  2.846329849692E-003  3.354973930828E-004  1.403866195932E-003  4.905066188958E-001 -1.896721415577E+000
  3.191774128432E-003  3.553957126240E-004  1.573195801543E-003  4.898520149007E-001 -1.893205047060E+000
  3.557130635959E-003  3.753221153821E-004  1.752040147925E-003  4.891609982985E-001 -1.889493975737E+000
  3.942428250463E-003  3.952781921092E-004  1.940372558640E-003  4.884337333133E-001 -1.885589233230E+000
  4.347697443358E-003  4.152655385525E-004  2.138164968223E-003  4.876703926865E-001 -1.881491904992E+000
  4.772970284417E-003  4.352857557265E-004  2.345387930499E-003  4.868711576196E-001 -1.877203130005E+000
  5.218280447175E-003  4.553404501876E-004  2.562010627312E-003  4.860362177150E-001 -1.872724100457E+000
  5.683663214611E-003  4.754312343099E-004  2.788000877665E-003  4.851657709130E-001 -1.868056061400E+000
  6.169155485101E-003  4.955597265624E-004  3.023325147272E-003  4.842600234266E-001 -1.863200310405E+000
  6.674795778653E-003  5.157275517886E-004  3.267948558518E-003  4.833191896731E-001 -1.858158197187E+000
  7.200624243425E-003  5.359363414876E-004  3.521834900828E-003  4.823434922025E-001 -1.852931123220E+000
  7.746682662519E-003  5.561877340970E-004  3.784946641437E-003  4.813331616238E-001 -1.847520541338E+000
  8.313014461060E-003  5.764833752781E-004  4.057244936559E-003  4.802884365280E-001 -1.841927955315E+000
  8.899664713569E-003  5.968249182030E-004  4.338689642962E-003  4.792095634075E-001 -1.836154919432E+000
  9.506680151615E-003  6.172140238444E-004  4.629239329929E-003  4.780967965740E-001 -1.830203038031E+000
  1.013410917176E-002  6.376523612666E-004  4.928851291625E-003  4.769503980729E-001 -1.824073965042E+000
  1.078200184380E-002  6.581416079202E-004  5.237481559841E-003  4.757706375940E-001 -1.817769403510E+000
  1.145040991929E-002  6.786834499385E-004  5.555084917132E-003  4.745577923809E-001 -1.811291105088E+000
  1.213938684040E-002  6.992795824361E-004  5.881614910335E-003  4.733121471364E-001 -1.804640869530E+000
  1.284898774901E-002  7.199317098113E-004  6.217023864474E-003  4.720339939256E-001 -1.797820544154E+000
  1.357926949620E-002  7.406415460502E-004  6.561262897030E-003  4.707236320758E-001 -1.790832023300E+000
  1.433029065191E-002  7.614108150341E-004  6.914281932590E-003  4.693813680738E-001 -1.783677247766E+000
  1.510211151509E-002  7.822412508494E-004  7.276029717867E-003  4.680075154604E-001 -1.776358204225E+000
  1.589479412397E-002  8.031345981016E-004  7.646453837076E-003  4.666023947219E-001 -1.768876924633E+000
  1.670840226680E-002  8.240926122311E-004  8.025500727675E-003  4.651663331791E-001 -1.761235485614E+000
  1.754300149280E-002  8.451170598329E-004  8.413115696461E-003  4.636996648732E-001 -1.753436007834E+000
  1.839865912351E-002  8.662097189796E-004  8.809242936013E-003  4.622027304491E-001 -1.745480655352E+000
  1.927544426443E-002  8.873723795480E-004  9.213825541483E-003  4.606758770355E-001 -1.737371634962E+000
  2.017342781695E-002  9.086068435487E-004  9.626805527728E-003  4.591194581235E-001 -1.729111195513E+000
  2.109268249069E-002  9.299149254598E-004  1.004812384677E-002  4.575338334405E-001 -1.720701627215E+000
  2.203328281612E-002  9.512984525641E-004  1.047772040559E-002  4.559193688235E-001 -1.712145260930E+000
  2.299530515754E-002  9.727592652906E-004  1.091553408424E-002  4.542764360876E-001 -1.703444467439E+000
  2.397882772639E-002  9.942992175591E-004  1.136150275431E-002  4.526054128940E-001 -1.694601656705E+000
  2.498393059493E-002  1.015920177130E-003  1.181556329760E-002  4.509066826130E-001 -1.685619277107E+000
  2.601069571024E-002  1.037624025957E-003  1.227765162523E-002  4.491806341866E-001 -1.676499814667E+000
  2.705920690860E-002  1.059412660547E-003  1.274770269696E-002  4.474276619866E-001 -1.667245792255E+000
  2.812954993023E-002  1.081287992318E-003  1.322565054084E-002  4.456481656715E-001 -1.657859768777E+000
  2.922181243436E-002  1.103251947969E-003  1.371142827309E-002  4.438425500395E-001 -1.648344338355E+000
  3.033608401473E-002  1.125306469854E-003  1.420496811833E-002  4.420112248804E-001 -1.638702129477E+000
  3.147245621542E-002  1.147453516351E-003  1.470620142999E-002  4.401546048237E-001 -1.628935804144E+000
  3.263102254705E-002  1.169695062249E-003  1.521505871109E-002  4.382731091849E-001 -1.619048056991E+000
  3.381187850339E-002  1.192033099133E-003  1.573146963516E-002  4.363671618089E-001 -1.609041614397E+000
  3.501512157837E-002  1.214469635775E-003  1.625536306744E-002  4.344371909114E-001 -1.598919233577E+000
  3.624085128345E-002  1.237006698530E-003  1.678666708634E-002  4.324836289174E-001 -1.588683701657E+000
  3.748916916538E-002  1.259646331739E-003  1.732530900512E-002  4.305069122978E-001 -1.578337834736E+000
  3.876017882444E-002  1.282390598136E-003  1.787121539370E-002  4.285074814033E-001 -1.567884476926E+000
  4.005398593302E-002  1.305241579266E-003  1.842431210080E-002  4.264857802957E-001 -1.557326499384E+000
  4.137069825459E-002  1.328201375897E-003  1.898452427618E-002  4.244422565782E-001 -1.546666799320E+000
  4.271042566323E-002  1.351272108452E-003  1.955177639308E-002  4.223773612215E-001 -1.535908298997E+000
  4.407328016341E-002  1.374455917436E-003  2.012599227084E-002  4.202915483895E-001 -1.525053944706E+000
  4.545937591035E-002  1.397754963880E-003  2.070709509772E-002  4.181852752621E-001 -1.514106705734E+000
  4.686882923075E-002  1.421171429779E-003  2.129500745377E-002  4.160590018554E-001 -1.503069573315E+000
  4.830175864396E-002  1.444707518548E-003  2.188965133390E-002  4.139131908410E-001 -1.491945559559E+000
  4.975828488365E-002  1.468365455478E-003  2.249094817110E-002  4.117483073624E-001 -1.480737696371E+000
  5.123853091993E-002  1.492147488203E-003  2.309881885966E-002  4.095648188496E-001 -1.469449034359E+000
  5.274262198188E-002  1.516055887169E-003  2.371318377865E-002  4.073631948320E-001 -1.458082641716E+000
  5.427068558066E-002  1.540092946119E-003  2.433396281527E-002  4.051439067497E-001 -1.446641603099E+000
  5.582285153302E-002  1.564260982573E-003  2.496107538851E-002  4.029074277623E-001 -1.435129018484E+000
  5.739925198530E-002  1.588562338332E-003  2.559444047262E-002  4.006542325567E-001 -1.423548002012E+000
  5.900002143803E-002  1.612999379973E-003  2.623397662083E-002  3.983847971527E-001 -1.411901680818E+000
  6.062529677088E-002  1.637574499364E-003  2.687960198895E-002  3.960995987075E-001 -1.400193193849E+000
  6.227521726827E-002  1.662290114181E-003  2.753123435903E-002  3.937991153184E-001 -1.388425690666E+000
  6.394992464542E-002  1.687148668440E-003  2.818879116301E-002  3.914838258243E-001 -1.376602330230E+000
  6.564956307496E-002  1.712152633027E-003  2.885218950637E-002  3.891542096051E-001 -1.364726279682E+000
  6.737427921404E-002  1.737304506249E-003  2.952134619166E-002  3.868107463812E-001 -1.352800713101E+000
  6.912422223211E-002  1.762606814387E-003  3.019617774205E-002  3.844539160105E-001 -1.340828810256E+000
  7.089954383907E-002  1.788062112257E-003  3.087660042477E-002  3.820841982846E-001 -1.328813755344E+000
  7.270039831418E-002  1.813672983787E-003  3.156253027445E-002  3.797020727249E-001 -1.316758735713E+000
  7.452694253540E-002  1.839442042599E-003  3.225388311632E-002  3.773080183760E-001 -1.304666940575E+000
  7.637933600943E-002  1.865371932600E-003  3.295057458938E-002  3.749025136003E-001 -1.292541559710E+000
  7.825774090225E-002  1.891465328589E-003  3.365252016926E-002  3.724860358700E-001 -1.280385782153E+000
  8.016232207035E-002  1.917724936867E-003  3.435963519104E-002  3.700590615597E-001 -1.268202794877E+000
  8.209324709253E-002  1.944153495867E-003  3.507183487180E-002  3.676220657382E-001 -1.255995781462E+000
  8.405068630235E-002  1.970753776782E-003  3.578903433299E-002  3.651755219590E-001 -1.243767920752E+000
  8.603481282122E-002  1.997528584221E-003  3.651114862257E-002  3.627199020520E-001 -1.231522385508E+000
  8.804580259214E-002  2.024480756857E-003  3.723809273682E-002  3.602556759137E-001 -1.219262341047E+000
  9.008383441408E-002  2.051613168108E-003  3.796978164198E-002  3.577833112978E-001 -1.206990943873E+000
  9.214908997710E-002  2.078928726810E-003  3.870613029553E-002  3.553032736061E-001 -1.194711340304E+000
