# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0100
  9.830308526508E-006  1.966074589941E-005  4.869542659992E-006  4.953506791141E-001 -1.917605240362E+000
  3.932200719717E-005  3.932303800261E-005  1.947744174021E-005  4.952941301460E-001 -1.917302264690E+000
  8.847741541455E-005  5.898842277178E-005  4.382151075376E-005  4.951998967795E-001 -1.916797398345E+000
  1.573003992804E-004  7.865844718600E-005  7.789810626384E-005  4.950680013806E-001 -1.916090780963E+000
  2.457963722417E-004  9.833465899987E-005  1.217021289454E-004  4.948984752510E-001 -1.915182607980E+000
  3.539722959954E-004  1.180186070023E-004  1.752270250716E-004  4.946913586191E-001 -1.914073130581E+000
  4.818366816528E-004  1.377118412759E-004  2.384647884240E-004  4.944467006265E-001 -1.912762655629E+000
  6.293995911626E-004  1.574159134560E-004  3.114059626273E-004  4.941645593122E-001 -1.911251545580E+000
  7.966726389934E-004  1.771323769912E-004  3.940396439065E-004  4.938450015945E-001 -1.909540218389E+000
  9.836689940782E-004  1.968627874036E-004  4.863534842678E-004  4.934881032490E-001 -1.907629147389E+000
  1.190403382016E-003  2.166087025496E-004  5.883336951012E-004  4.930939488844E-001 -1.905518861165E+000
  1.416892087541E-003  2.363716828821E-004  6.999650512050E-004  4.926626319156E-001 -1.903209943409E+000
  1.663152957245E-003  2.561532917128E-004  8.212308952314E-004  4.921942545330E-001 -1.900703032756E+000
  1.929205402573E-003  2.759550954757E-004  9.521131425512E-004  4.916889276703E-001 -1.897998822612E+000
  2.215070403074E-003  2.957786639908E-004  1.092592286539E-003  4.911467709680E-001 -1.895098060961E+000
  2.520770509919E-003  3.156255707300E-004  1.242647404274E-003  4.905679127355E-001 -1.892001550158E+000
  2.846329849692E-003  3.354973930828E-004  1.402256162662E-003  4.899524899087E-001 -1.888710146705E+000
  3.191774128432E-003  3.553957126240E-004  1.571394824968E-003  4.893006480065E-001 -1.885224761021E+000
  3.557130635959E-003  3.753221153821E-004  1.750038257766E-003  4.886125410829E-001 -1.881546357177E+000
  3.942428250463E-003  3.952781921092E-004  1.938159938302E-003  4.878883316774E-001 -1.877675952640E+000
  4.347697443358E-003  4.152655385525E-004  2.135731962269E-003  4.871281907616E-001 -1.873614617979E+000
  4.772970284417E-003  4.352857557265E-004  2.342725051988E-003  4.863322976837E-001 -1.869363476571E+000
  5.218280447175E-003  4.553404501876E-004  2.559108565003E-003  4.855008401099E-001 -1.864923704284E+000
  5.683663214611E-003  4.754312343099E-004  2.784850503077E-003  4.846340139628E-001 -1.860296529149E+000
  6.169155485101E-003  4.955597265624E-004  3.019917521596E-003  4.837320233568E-001 -1.855483231006E+000
  6.674795778653E-003  5.157275517886E-004  3.264274939375E-003  4.827950805313E-001 -1.850485141152E+000
  7.200624243425E-003  5.359363414876E-004  3.517886748861E-003  4.818234057805E-001 -1.845303641957E+000
  7.746682662519E-003  5.561877340970E-004  3.780715626737E-003  4.808172273806E-001 -1.839940166470E+000
  8.313014461060E-003  5.764833752781E-004  4.052722944922E-003  4.797767815138E-001 -1.834396198015E+000
  8.899664713569E-003  5.968249182030E-004  4.333868781962E-003  4.787023121901E-001 -1.828673269760E+000
  9.506680151615E-003  6.172140238444E-004  4.624111934812E-003  4.775940711660E-001 -1.822772964282E+000
  1.013410917176E-002  6.376523612666E-004  4.923409931002E-003  4.764523178597E-001 -1.816696913105E+000
  1.078200184380E-002  6.581416079202E-004  5.231719041197E-003  4.752773192647E-001 -1.810446796232E+000
  1.145040991929E-002  6.786834499385E-004  5.548994292127E-003  4.740693498599E-001 -1.804024341652E+000
  1.213938684040E-002  6.992795824361E-004  5.875189479899E-003  4.728286915166E-001 -1.797431324841E+000
  1.284898774901E-002  7.199317098113E-004  6.210257183692E-003  4.715556334033E-001 -1.790669568238E+000
  1.357926949620E-002  7.406415460502E-004  6.554148779806E-003  4.702504718876E-001 -1.783740940709E+000
  1.433029065191E-002  7.614108150341E-004  6.906814456094E-003  4.689135104350E-001 -1.776647356997E+000
  1.510211151509E-002  7.822412508494E-004  7.268203226752E-003  4.675450595051E-001 -1.769390777151E+000
  1.589479412397E-002  8.031345981016E-004  7.638262947460E-003  4.661454364450E-001 -1.761973205942E+000
  1.670840226680E-002  8.240926122311E-004  8.016940330895E-003  4.647149653802E-001 -1.754396692266E+000
  1.754300149280E-002  8.451170598329E-004  8.404180962576E-003  4.632539771025E-001 -1.746663328523E+000
  1.839865912351E-002  8.662097189796E-004  8.799929317070E-003  4.617628089547E-001 -1.738775249986E+000
  1.927544426443E-002  8.873723795480E-004  9.204128774527E-003  4.602418047138E-001 -1.730734634151E+000
  2.017342781695E-002  9.086068435487E-004  9.616721637560E-003  4.586913144702E-001 -1.722543700076E+000
  2.109268249069E-002  9.299149254598E-004  1.003764914845E-002  4.571116945051E-001 -1.714204707694E+000
  2.203328281612E-002  9.512984525641E-004  1.046685150667E-002  4.555033071644E-001 -1.705719957120E+000
  2.299530515754E-002  9.727592652906E-004  1.090426788676E-002  4.538665207310E-001 -1.697091787936E+000
  2.397882772639E-002  9.942992175591E-004  1.134983645645E-002  4.522017092934E-001 -1.688322578462E+000
  2.498393059493E-002  1.015920177130E-003  1.180349439517E-002  4.505092526122E-001 -1.679414745006E+000
  2.601069571024E-002  1.037624025957E-003  1.226517791281E-002  4.487895359840E-001 -1.670370741107E+000
  2.705920690860E-002  1.059412660547E-003  1.273482226876E-002  4.470429501024E-001 -1.661193056757E+000
  2.812954993023E-002  1.081287992318E-003  1.321236179129E-002  4.452698909169E-001 -1.651884217600E+000
  2.922181243436E-002  1.103251947969E-003  1.369772989719E-002  4.434707594885E-001 -1.642446784127E+000
  3.033608401473E-002  1.125306469854E-003  1.419085911164E-002  4.416459618437E-001 -1.632883350849E+000
  3.147245621542E-002  1.147453516351E-003  1.469168108841E-002  4.397959088253E-001 -1.623196545452E+000
  3.263102254705E-002  1.169695062249E-003  1.520012663024E-002  4.379210159408E-001 -1.613389027937E+000
  3.381187850339E-002  1.192033099133E-003  1.571612570958E-002  4.360217032088E-001 -1.603463489749E+000
  3.501512157837E-002  1.214469635775E-003  1.623960748945E-002  4.340983950024E-001 -1.593422652882E+000
  3.624085128345E-002  1.237006698530E-003  1.677050034459E-002  4.321515198906E-001 -1.583269268974E+000
  3.748916916538E-002  1.259646331739E-003  1.730873188283E-002  4.301815104773E-001 -1.573006118384E+000
  3.876017882444E-002  1.282390598136E-003  1.785422896668E-002  4.281888032374E-001 -1.562636009253E+000
  4.005398593302E-002  1.305241579266E-003  1.840691773507E-002  4.261738383519E-001 -1.552161776547E+000
  4.137069825459E-002  1.328201375897E-003  1.896672362536E-002  4.241370595393E-001 -1.541586281092E+000
  4.271042566323E-002  1.351272108452E-003  1.953357139546E-002  4.220789138855E-001 -1.530912408584E+000
  4.407328016341E-002  1.374455917436E-003  2.010738514614E-002  4.199998516718E-001 -1.520143068589E+000
  4.545937591035E-002  1.397754963880E-003  2.068808834356E-002  4.179003262001E-001 -1.509281193526E+000
  4.686882923075E-002  1.421171429779E-003  2.127560384182E-002  4.157807936164E-001 -1.498329737635E+000
  4.830175864396E-002  1.444707518548E-003  2.186985390580E-002  4.136417127325E-001 -1.487291675929E+000
  4.975828488365E-002  1.468365455478E-003  2.247076023396E-002  4.114835448450E-001 -1.476170003133E+000
  5.123853091993E-002  1.492147488203E-003  2.307824398140E-002  4.093067535529E-001 -1.464967732606E+000
