# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0200
  9.830308526508E-006  1.966074589941E-005  4.854110795882E-006  4.937808567312E-001 -1.917072079094E+000
  3.932200719717E-005  3.932303800261E-005  1.941571337947E-005  4.937243235066E-001 -1.916767768300E+000
  8.847741541455E-005  5.898842277178E-005  4.368261855347E-005  4.936301164682E-001 -1.916260677722E+000
  1.573003992804E-004  7.865844718600E-005  7.765117837208E-005  4.934982581150E-001 -1.915550948445E+000
  2.457963722417E-004  9.833465899987E-005  1.213162872151E-004  4.933287799354E-001 -1.914638777940E+000
  3.539722959954E-004  1.180186070023E-004  1.746713832920E-004  4.931217223969E-001 -1.913524420001E+000
  4.818366816528E-004  1.377118412759E-004  2.377084505744E-004  4.928771349331E-001 -1.912208184679E+000
  6.293995911626E-004  1.574159134560E-004  3.104180211582E-004  4.925950759280E-001 -1.910690438195E+000
  7.966726389934E-004  1.771323769912E-004  3.927891780532E-004  4.922756126966E-001 -1.908971602840E+000
  9.836689940782E-004  1.968627874036E-004  4.848095584013E-004  4.919188214635E-001 -1.907052156857E+000
  1.190403382016E-003  2.166087025496E-004  5.864653571210E-004  4.915247873379E-001 -1.904932634309E+000
  1.416892087541E-003  2.363716828821E-004  6.977413309797E-004  4.910936042861E-001 -1.902613624929E+000
  1.663152957245E-003  2.561532917128E-004  8.186208030898E-004  4.906253751012E-001 -1.900095773960E+000
  1.929205402573E-003  2.759550954757E-004  9.490856678315E-004  4.901202113693E-001 -1.897379781974E+000
  2.215070403074E-003  2.957786639908E-004  1.089116396199E-003  4.895782334334E-001 -1.894466404674E+000
  2.520770509919E-003  3.156255707300E-004  1.238692041567E-003  4.889995703541E-001 -1.891356452686E+000
  2.846329849692E-003  3.354973930828E-004  1.397790245883E-003  4.883843598673E-001 -1.888050791335E+000
  3.191774128432E-003  3.553957126240E-004  1.566387246279E-003  4.877327483396E-001 -1.884550340397E+000
  3.557130635959E-003  3.753221153821E-004  1.744457882096E-003  4.870448907200E-001 -1.880856073843E+000
  3.942428250463E-003  3.952781921092E-004  1.931975602337E-003  4.863209504891E-001 -1.876969019568E+000
  4.347697443358E-003  4.152655385525E-004  2.128912473527E-003  4.855610996055E-001 -1.872890259098E+000
  4.772970284417E-003  4.352857557265E-004  2.335239187990E-003  4.847655184492E-001 -1.868620927287E+000
  5.218280447175E-003  4.553404501876E-004  2.550925072540E-003  4.839343957619E-001 -1.864162211992E+000
  5.683663214611E-003  4.754312343099E-004  2.775938097582E-003  4.830679285848E-001 -1.859515353741E+000
  6.169155485101E-003  4.955597265624E-004  3.010244886621E-003  4.821663221930E-001 -1.854681645376E+000
  6.674795778653E-003  5.157275517886E-004  3.253810726177E-003  4.812297900277E-001 -1.849662431683E+000
  7.200624243425E-003  5.359363414876E-004  3.506599576105E-003  4.802585536251E-001 -1.844459109010E+000
  7.746682662519E-003  5.561877340970E-004  3.768574080319E-003  4.792528425421E-001 -1.839073124867E+000
  8.313014461060E-003  5.764833752781E-004  4.039695577910E-003  4.782128942800E-001 -1.833505977503E+000
  8.899664713569E-003  5.968249182030E-004  4.319924114668E-003  4.771389542043E-001 -1.827759215479E+000
