# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  4.946416838003E-006  5.031706237818E-001 -1.952980270542E+000
  3.932200719717E-005  3.932303800261E-005  1.978492398702E-005  5.031130316397E-001 -1.952670798693E+000
  8.847741541455E-005  5.898842277178E-005  4.451329156998E-005  5.030170599846E-001 -1.952155107624E+000
  1.573003992804E-004  7.865844718600E-005  7.912780385144E-005  5.028827316839E-001 -1.951433340328E+000
  2.457963722417E-004  9.833465899987E-005  1.236232603267E-004  5.027100787418E-001 -1.950505696937E+000
  3.539722959954E-004  1.180186070023E-004  1.779929772470E-004  5.024991422888E-001 -1.949372434673E+000
  4.818366816528E-004  1.377118412759E-004  2.422287895788E-004  5.022499725685E-001 -1.948033867773E+000
  6.293995911626E-004  1.574159134560E-004  3.163210533992E-004  5.019626289218E-001 -1.946490367406E+000
  7.966726389934E-004  1.771323769912E-004  4.002586487243E-004  5.016371797672E-001 -1.944742361567E+000
  9.836689940782E-004  1.968627874036E-004  4.940289827730E-004  5.012737025793E-001 -1.942790334963E+000
  1.190403382016E-003  2.166087025496E-004  5.976179936619E-004  5.008722838634E-001 -1.940634828879E+000
  1.416892087541E-003  2.363716828821E-004  7.110101545351E-004  5.004330191281E-001 -1.938276441028E+000
  1.663152957245E-003  2.561532917128E-004  8.341884781238E-004  4.999560128538E-001 -1.935715825388E+000
  1.929205402573E-003  2.759550954757E-004  9.671345217375E-004  4.994413784596E-001 -1.932953692016E+000
  2.215070403074E-003  2.957786639908E-004  1.109828392685E-003  4.988892382658E-001 -1.929990806860E+000
  2.520770509919E-003  3.156255707300E-004  1.262248754126E-003  4.982997234552E-001 -1.926827991541E+000
  2.846329849692E-003  3.354973930828E-004  1.424372831345E-003  4.976729740295E-001 -1.923466123125E+000
  3.191774128432E-003  3.553957126240E-004  1.596176418458E-003  4.970091387647E-001 -1.919906133884E+000
  3.557130635959E-003  3.753221153821E-004  1.777633885542E-003  4.963083751619E-001 -1.916149011028E+000
  3.942428250463E-003  3.952781921092E-004  1.968718186185E-003  4.955708493964E-001 -1.912195796440E+000
  4.347697443358E-003  4.152655385525E-004  2.169400865464E-003  4.947967362631E-001 -1.908047586375E+000
  4.772970284417E-003  4.352857557265E-004  2.379652068336E-003  4.939862191196E-001 -1.903705531156E+000
  5.218280447175E-003  4.553404501876E-004  2.599440548456E-003  4.931394898256E-001 -1.899170834853E+000
  5.683663214611E-003  4.754312343099E-004  2.828733677406E-003  4.922567486801E-001 -1.894444754939E+000
  6.169155485101E-003  4.955597265624E-004  3.067497454339E-003  4.913382043554E-001 -1.889528601940E+000
  6.674795778653E-003  5.157275517886E-004  3.315696516039E-003  4.903840738280E-001 -1.884423739056E+000
  7.200624243425E-003  5.359363414876E-004  3.573294147387E-003  4.893945823068E-001 -1.879131581780E+000
  7.746682662519E-003  5.561877340970E-004  3.840252292239E-003  4.883699631586E-001 -1.873653597492E+000
  8.313014461060E-003  5.764833752781E-004  4.116531564709E-003  4.873104578300E-001 -1.867991305036E+000
  8.899664713569E-003  5.968249182030E-004  4.402091260852E-003  4.862163157673E-001 -1.862146274290E+000
  9.506680151615E-003  6.172140238444E-004  4.696889370750E-003  4.850877943325E-001 -1.856120125708E+000
  1.013410917176E-002  6.376523612666E-004  5.000882590991E-003  4.839251587176E-001 -1.849914529853E+000
  1.078200184380E-002  6.581416079202E-004  5.314026337551E-003  4.827286818547E-001 -1.843531206914E+000
  1.145040991929E-002  6.786834499385E-004  5.636274759058E-003  4.814986443242E-001 -1.836971926203E+000
  1.213938684040E-002  6.992795824361E-004  5.967580750446E-003  4.802353342598E-001 -1.830238505637E+000
  1.284898774901E-002  7.199317098113E-004  6.307895966996E-003  4.789390472505E-001 -1.823332811204E+000
  1.357926949620E-002  7.406415460502E-004  6.657170838754E-003  4.776100862398E-001 -1.816256756416E+000
  1.433029065191E-002  7.614108150341E-004  7.015354585327E-003  4.762487614224E-001 -1.809012301736E+000
  1.510211151509E-002  7.822412508494E-004  7.382395231050E-003  4.748553901373E-001 -1.801601454002E+000
  1.589479412397E-002  8.031345981016E-004  7.758239620523E-003  4.734302967588E-001 -1.794026265821E+000
  1.670840226680E-002  8.240926122311E-004  8.142833434512E-003  4.719738125842E-001 -1.786288834956E+000
  1.754300149280E-002  8.451170598329E-004  8.536121206207E-003  4.704862757192E-001 -1.778391303692E+000
  1.839865912351E-002  8.662097189796E-004  8.938046337834E-003  4.689680309597E-001 -1.770335858190E+000
  1.927544426443E-002  8.873723795480E-004  9.348551117618E-003  4.674194296714E-001 -1.762124727814E+000
  2.017342781695E-002  9.086068435487E-004  9.767576737091E-003  4.658408296668E-001 -1.753760184457E+000
  2.109268249069E-002  9.299149254598E-004  1.019506330874E-002  4.642325950786E-001 -1.745244541835E+000
  2.203328281612E-002  9.512984525641E-004  1.063094988397E-002  4.625950962311E-001 -1.736580154776E+000
  2.299530515754E-002  9.727592652906E-004  1.107517447143E-002  4.609287095087E-001 -1.727769418485E+000
  2.397882772639E-002  9.942992175591E-004  1.152767405562E-002  4.592338172215E-001 -1.718814767798E+000
  2.498393059493E-002  1.015920177130E-003  1.198838461586E-002  4.575108074684E-001 -1.709718676412E+000
  2.601069571024E-002  1.037624025957E-003  1.245724114548E-002  4.557600739970E-001 -1.700483656108E+000
  2.705920690860E-002  1.059412660547E-003  1.293417767145E-002  4.539820160619E-001 -1.691112255948E+000
  2.812954993023E-002  1.081287992318E-003  1.341912727414E-002  4.521770382793E-001 -1.681607061465E+000
  2.922181243436E-002  1.103251947969E-003  1.391202210751E-002  4.503455504794E-001 -1.671970693825E+000
  3.033608401473E-002  1.125306469854E-003  1.441279341949E-002  4.484879675563E-001 -1.662205808983E+000
  3.147245621542E-002  1.147453516351E-003  1.492137157265E-002  4.466047093154E-001 -1.652315096816E+000
  3.263102254705E-002  1.169695062249E-003  1.543768606517E-002  4.446962003177E-001 -1.642301280244E+000
  3.381187850339E-002  1.192033099133E-003  1.596166555199E-002  4.427628697224E-001 -1.632167114329E+000
  3.501512157837E-002  1.214469635775E-003  1.649323786631E-002  4.408051511262E-001 -1.621915385365E+000
  3.624085128345E-002  1.237006698530E-003  1.703233004119E-002  4.388234824010E-001 -1.611548909942E+000
  3.748916916538E-002  1.259646331739E-003  1.757886833151E-002  4.368183055285E-001 -1.601070534004E+000
  3.876017882444E-002  1.282390598136E-003  1.813277823606E-002  4.347900664324E-001 -1.590483131883E+000
  4.005398593302E-002  1.305241579266E-003  1.869398451985E-002  4.327392148092E-001 -1.579789605323E+000
  4.137069825459E-002  1.328201375897E-003  1.926241123667E-002  4.306662039552E-001 -1.568992882480E+000
  4.271042566323E-002  1.351272108452E-003  1.983798175174E-002  4.285714905927E-001 -1.558095916914E+000
  4.407328016341E-002  1.374455917436E-003  2.042061876464E-002  4.264555346930E-001 -1.547101686563E+000
  4.545937591035E-002  1.397754963880E-003  2.101024433229E-002  4.243187992976E-001 -1.536013192696E+000
