# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   0.0000
  9.830308526508E-006  1.966074589941E-005  4.871762667243E-006  4.955764983604E-001 -1.920386508064E+000
  3.932200719717E-005  3.932303800261E-005  1.948632033124E-005  4.955198673812E-001 -1.920082632395E+000
  8.847741541455E-005  5.898842277178E-005  4.384148219230E-005  4.954254973815E-001 -1.919576266514E+000
  1.573003992804E-004  7.865844718600E-005  7.793359762943E-005  4.952934108048E-001 -1.918867550744E+000
  2.457963722417E-004  9.833465899987E-005  1.217575572676E-004  4.951236390616E-001 -1.917956681483E+000
  3.539722959954E-004  1.180186070023E-004  1.753067944723E-004  4.949162225199E-001 -1.916843911153E+000
  4.818366816528E-004  1.377118412759E-004  2.385732872697E-004  4.946712104917E-001 -1.915529548125E+000
  6.293995911626E-004  1.574159134560E-004  3.115475606939E-004  4.943886612174E-001 -1.914013956639E+000
  7.966726389934E-004  1.771323769912E-004  3.942186895590E-004  4.940686418472E-001 -1.912297556704E+000
  9.836689940782E-004  1.968627874036E-004  4.865743016566E-004  4.937112284190E-001 -1.910380823980E+000
  1.190403382016E-003  2.166087025496E-004  5.886005813778E-004  4.933165058343E-001 -1.908264289646E+000
  1.416892087541E-003  2.363716828821E-004  7.002822737592E-004  4.928845678308E-001 -1.905948540260E+000
  1.663152957245E-003  2.561532917128E-004  8.216026889518E-004  4.924155169520E-001 -1.903434217589E+000
  1.929205402573E-003  2.759550954757E-004  9.525437071115E-004  4.919094645140E-001 -1.900722018436E+000
  2.215070403074E-003  2.957786639908E-004  1.093085783713E-003  4.913665305698E-001 -1.897812694449E+000
  2.520770509919E-003  3.156255707300E-004  1.243207955279E-003  4.907868438699E-001 -1.894707051907E+000
  2.846329849692E-003  3.354973930828E-004  1.402887845538E-003  4.901705418210E-001 -1.891405951502E+000
  3.191774128432E-003  3.553957126240E-004  1.572101671986E-003  4.895177704412E-001 -1.887910308094E+000
  3.557130635959E-003  3.753221153821E-004  1.750824252878E-003  4.888286843120E-001 -1.884221090461E+000
  3.942428250463E-003  3.952781921092E-004  1.939029014629E-003  4.881034465288E-001 -1.880339321025E+000
  4.347697443358E-003  4.152655385525E-004  2.136687999624E-003  4.873422286469E-001 -1.876266075566E+000
  4.772970284417E-003  4.352857557265E-004  2.343771874451E-003  4.865452106254E-001 -1.872002482921E+000
  5.218280447175E-003  4.553404501876E-004  2.560249938533E-003  4.857125807687E-001 -1.867549724667E+000
  5.683663214611E-003  4.754312343099E-004  2.786090133176E-003  4.848445356639E-001 -1.862909034784E+000
  6.169155485101E-003  4.955597265624E-004  3.021259051019E-003  4.839412801166E-001 -1.858081699310E+000
  6.674795778653E-003  5.157275517886E-004  3.265721945890E-003  4.830030270831E-001 -1.853069055975E+000
  7.200624243425E-003  5.359363414876E-004  3.519442743066E-003  4.820299975998E-001 -1.847872493818E+000
  7.746682662519E-003  5.561877340970E-004  3.782384049929E-003  4.810224207101E-001 -1.842493452793E+000
  8.313014461060E-003  5.764833752781E-004  4.054507167022E-003  4.799805333880E-001 -1.836933423354E+000
  8.899664713569E-003  5.968249182030E-004  4.335772099497E-003  4.789045804591E-001 -1.831193946030E+000
  9.506680151615E-003  6.172140238444E-004  4.626137568962E-003  4.777948145189E-001 -1.825276610978E+000
  1.013410917176E-002  6.376523612666E-004  4.925561025706E-003  4.766514958481E-001 -1.819183057524E+000
  1.078200184380E-002  6.581416079202E-004  5.233998661321E-003  4.754748923245E-001 -1.812914973686E+000
  1.145040991929E-002  6.786834499385E-004  5.551405421700E-003  4.742652793335E-001 -1.806474095683E+000
  1.213938684040E-002  6.992795824361E-004  5.877735020417E-003  4.730229396741E-001 -1.799862207424E+000
  1.284898774901E-002  7.199317098113E-004  6.212939952487E-003  4.717481634633E-001 -1.793081139988E+000
  1.357926949620E-002  7.406415460502E-004  6.556971508488E-003  4.704412480373E-001 -1.786132771079E+000
  1.433029065191E-002  7.614108150341E-004  6.909779789064E-003  4.691024978497E-001 -1.779019024472E+000
  1.510211151509E-002  7.822412508494E-004  7.271313719787E-003  4.677322243670E-001 -1.771741869441E+000
  1.589479412397E-002  8.031345981016E-004  7.641521066379E-003  4.663307459616E-001 -1.764303320167E+000
  1.670840226680E-002  8.240926122311E-004  8.020348450288E-003  4.648983878019E-001 -1.756705435135E+000
  1.754300149280E-002  8.451170598329E-004  8.407741364627E-003  4.634354817392E-001 -1.748950316512E+000
  1.839865912351E-002  8.662097189796E-004  8.803644190444E-003  4.619423661926E-001 -1.741040109511E+000
  1.927544426443E-002  8.873723795480E-004  9.208000213350E-003  4.604193860303E-001 -1.732977001735E+000
  2.017342781695E-002  9.086068435487E-004  9.620751640467E-003  4.588668924491E-001 -1.724763222506E+000
  2.109268249069E-002  9.299149254598E-004  1.004183961773E-002  4.572852428507E-001 -1.716401042185E+000
  2.203328281612E-002  9.512984525641E-004  1.047120424747E-002  4.556748007150E-001 -1.707892771459E+000
  2.299530515754E-002  9.727592652906E-004  1.090878460642E-002  4.540359354710E-001 -1.699240760631E+000
  2.397882772639E-002  9.942992175591E-004  1.135451876387E-002  4.523690223658E-001 -1.690447398881E+000
  2.498393059493E-002  1.015920177130E-003  1.180834380028E-002  4.506744423292E-001 -1.681515113515E+000
  2.601069571024E-002  1.037624025957E-003  1.227019582616E-002  4.489525818378E-001 -1.672446369195E+000
  2.705920690860E-002  1.059412660547E-003  1.274001000116E-002  4.472038327743E-001 -1.663243667159E+000
  2.812954993023E-002  1.081287992318E-003  1.321772055356E-002  4.454285922861E-001 -1.653909544419E+000
  2.922181243436E-002  1.103251947969E-003  1.370326079996E-002  4.436272626404E-001 -1.644446572940E+000
  3.033608401473E-002  1.125306469854E-003  1.419656316530E-002  4.418002510766E-001 -1.634857358816E+000
  3.147245621542E-002  1.147453516351E-003  1.469755920311E-002  4.399479696567E-001 -1.625144541411E+000
  3.263102254705E-002  1.169695062249E-003  1.520617961602E-002  4.380708351131E-001 -1.615310792502E+000
  3.381187850339E-002  1.192033099133E-003  1.572235427651E-002  4.361692686936E-001 -1.605358815393E+000
  3.501512157837E-002  1.214469635775E-003  1.624601224795E-002  4.342436960045E-001 -1.595291344017E+000
  3.624085128345E-002  1.237006698530E-003  1.677708180580E-002  4.322945468506E-001 -1.585111142026E+000
  3.748916916538E-002  1.259646331739E-003  1.731549045909E-002  4.303222550736E-001 -1.574821001860E+000
  3.876017882444E-002  1.282390598136E-003  1.786116497207E-002  4.283272583879E-001 -1.564423743800E+000
  4.005398593302E-002  1.305241579266E-003  1.841403138609E-002  4.263099982134E-001 -1.553922215009E+000
  4.137069825459E-002  1.328201375897E-003  1.897401504163E-002  4.242709195075E-001 -1.543319288552E+000
  4.271042566323E-002  1.351272108452E-003  1.954104060061E-002  4.222104705932E-001 -1.532617862407E+000
  4.407328016341E-002  1.374455917436E-003  2.011503206870E-002  4.201291029867E-001 -1.521820858456E+000
  4.545937591035E-002  1.397754963880E-003  2.069591281800E-002  4.180272712212E-001 -1.510931221456E+000
  4.686882923075E-002  1.421171429779E-003  2.128360560966E-002  4.159054326701E-001 -1.499951918009E+000
  4.830175864396E-002  1.444707518548E-003  2.187803261679E-002  4.137640473673E-001 -1.488885935498E+000
  4.975828488365E-002  1.468365455478E-003  2.247911544740E-002  4.116035778254E-001 -1.477736281026E+000
  5.123853091993E-002  1.492147488203E-003  2.308677516750E-002  4.094244888528E-001 -1.466505980325E+000
  5.274262198188E-002  1.516055887169E-003  2.370093232428E-002  4.072272473680E-001 -1.455198076660E+000
  5.427068558066E-002  1.540092946119E-003  2.432150696935E-002  4.050123222128E-001 -1.443815629714E+000
  5.582285153302E-002  1.564260982573E-003  2.494841868210E-002  4.027801839631E-001 -1.432361714459E+000
  5.739925198530E-002  1.588562338332E-003  2.558158659305E-002  4.005313047384E-001 -1.420839420016E+000
  5.900002143803E-002  1.612999379973E-003  2.622092940730E-002  3.982661580097E-001 -1.409251848493E+000
  6.062529677088E-002  1.637574499364E-003  2.686636542797E-002  3.959852184057E-001 -1.397602113819E+000
  6.227521726827E-002  1.662290114181E-003  2.751781257966E-002  3.936889615171E-001 -1.385893340557E+000
  6.394992464542E-002  1.687148668440E-003  2.817518843189E-002  3.913778637003E-001 -1.374128662705E+000
  6.564956307496E-002  1.712152633027E-003  2.883841022255E-002  3.890524018793E-001 -1.362311222488E+000
  6.737427921404E-002  1.737304506249E-003  2.950739488125E-002  3.867130533458E-001 -1.350444169131E+000
  6.912422223211E-002  1.762606814387E-003  3.018205905270E-002  3.843602955592E-001 -1.338530657624E+000
  7.089954383907E-002  1.788062112257E-003  3.086231911990E-002  3.819946059447E-001 -1.326573847471E+000
  7.270039831418E-002  1.813672983787E-003  3.154809122738E-002  3.796164616906E-001 -1.314576901430E+000
  7.452694253540E-002  1.839442042599E-003  3.223929130418E-002  3.772263395443E-001 -1.302542984240E+000
  7.637933600943E-002  1.865371932600E-003  3.293583508681E-002  3.748247156084E-001 -1.290475261334E+000
  7.825774090225E-002  1.891465328589E-003  3.363763814201E-002  3.724120651349E-001 -1.278376897549E+000
  8.016232207035E-002  1.917724936867E-003  3.434461588935E-002  3.699888623198E-001 -1.266251055813E+000
  8.209324709253E-002  1.944153495867E-003  3.505668362365E-002  3.675555800960E-001 -1.254100895834E+000
  8.405068630235E-002  1.970753776782E-003  3.577375653715E-002  3.651126899270E-001 -1.241929572770E+000
  8.603481282122E-002  1.997528584221E-003  3.649574974154E-002  3.626606615992E-001 -1.229740235895E+000
  8.804580259214E-002  2.024480756857E-003  3.722257828959E-002  3.601999630148E-001 -1.217536027252E+000
  9.008383441408E-002  2.051613168108E-003  3.795415719670E-002  3.577310599840E-001 -1.205320080303E+000
  9.214908997710E-002  2.078928726810E-003  3.869040146195E-002  3.552544160173E-001 -1.193095518564E+000
  9.424175389809E-002  2.106430377918E-003  3.943122608897E-002  3.527704921186E-001 -1.180865454238E+000
  9.636201375725E-002  2.134121103210E-003  4.017654610643E-002  3.502797465774E-001 -1.168632986835E+000
  9.851006013526E-002  2.162003922007E-003  4.092627658815E-002  3.477826347625E-001 -1.156401201796E+000
  1.006860866512E-001  2.190081891910E-003  4.168033267281E-002  3.452796089154E-001 -1.144173169097E+000
  1.028902900012E-001  2.218358109541E-003  4.243862958330E-002  3.427711179451E-001 -1.131951941860E+000
  1.051228699979E-001  2.246835711311E-003  4.320108264558E-002  3.402576072229E-001 -1.119740554952E+000
  1.073840296104E-001  2.275517874190E-003  4.396760730708E-002  3.377395183787E-001 -1.107542023582E+000
  1.096739750056E-001  2.304407816497E-003  4.473811915464E-002  3.352172890985E-001 -1.095359341895E+000
  1.119929155896E-001  2.333508798707E-003  4.551253393192E-002  3.326913529224E-001 -1.083195481562E+000
  1.143410640503E-001  2.362824124271E-003  4.629076755629E-002  3.301621390452E-001 -1.071053390371E+000
  1.167186364011E-001  2.392357140448E-003  4.707273613508E-002  3.276300721171E-001 -1.058935990811E+000
  1.191258520249E-001  2.422111239159E-003  4.785835598137E-002  3.250955720475E-001 -1.046846178659E+000
  1.215629337189E-001  2.452089857854E-003  4.864754362902E-002  3.225590538096E-001 -1.034786821571E+000
  1.240301077413E-001  2.482296480400E-003  4.944021584716E-002  3.200209272479E-001 -1.022760757665E+000
  1.265276038575E-001  2.512734637975E-003  5.023628965397E-002  3.174815968877E-001 -1.010770794112E+000
  1.290556553882E-001  2.543407909995E-003  5.103568232971E-002  3.149414617463E-001 -9.988197057286E-001
  1.316144992580E-001  2.574319925047E-003  5.183831142913E-002  3.124009151481E-001 -9.869102335730E-001
  1.342043760450E-001  2.605474361847E-003  5.264409479303E-002  3.098603445413E-001 -9.750450835442E-001
  1.368255300316E-001  2.636874950214E-003  5.345295055911E-002  3.073201313182E-001 -9.632269249876E-001
  1.394782092560E-001  2.668525472060E-003  5.426479717192E-002  3.047806506386E-001 -9.514583893069E-001
  1.421626655646E-001  2.700429762411E-003  5.507955339209E-002  3.022422712565E-001 -9.397420685829E-001
  1.448791546661E-001  2.732591710434E-003  5.589713830459E-002  2.997053553500E-001 -9.280805142008E-001
  1.476279361856E-001  2.765015260497E-003  5.671747132618E-002  2.971702583560E-001 -9.164762354866E-001
  1.504092737207E-001  2.797704413242E-003  5.754047221187E-002  2.946373288071E-001 -9.049316983540E-001
  1.532234348983E-001  2.830663226680E-003  5.836606106047E-002  2.921069081750E-001 -8.934493239630E-001
  1.560706914324E-001  2.863895817319E-003  5.919415831919E-002  2.895793307159E-001 -8.820314873906E-001
  1.589513191834E-001  2.897406361298E-003  6.002468478717E-002  2.870549233223E-001 -8.706805163152E-001
  1.618655982178E-001  2.931199095559E-003  6.085756161809E-002  2.845340053787E-001 -8.593986897167E-001
  1.648138128702E-001  2.965278319033E-003  6.169271032157E-002  2.820168886227E-001 -8.481882365915E-001
  1.677962518056E-001  2.999648393860E-003  6.253005276367E-002  2.795038770110E-001 -8.370513346858E-001
  1.708132080832E-001  3.034313746623E-003  6.336951116614E-002  2.769952665913E-001 -8.259901092468E-001
  1.738649792215E-001  3.069278869616E-003  6.421100810461E-002  2.744913453798E-001 -8.150066317939E-001
  1.769518672648E-001  3.104548322136E-003  6.505446650563E-002  2.719923932442E-001 -8.041029189112E-001
