# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.622019060051E-004  1.649957614468E+001 -1.238027210412E+002
  3.932200719717E-005  3.932303800261E-005  6.487485974928E-004  1.649592529532E+001 -1.237821612253E+002
  8.847741541455E-005  5.898842277178E-005  1.459463008526E-003  1.648984157484E+001 -1.237478954202E+002
  1.573003992804E-004  7.865844718600E-005  2.594050074720E-003  1.648132652621E+001 -1.236999244699E+002
  2.457963722417E-004  9.833465899987E-005  4.052096801572E-003  1.647038231010E+001 -1.236382495789E+002
  3.539722959954E-004  1.180186070023E-004  5.833072360280E-003  1.645701170537E+001 -1.235628723352E+002
  4.818366816528E-004  1.377118412759E-004  7.936328211180E-003  1.644121810975E+001 -1.234737947400E+002
  6.293995911626E-004  1.574159134560E-004  1.036109825500E-002  1.642300554061E+001 -1.233710192435E+002
  7.966726389934E-004  1.771323769912E-004  1.310649901214E-002  1.640237863588E+001 -1.232545487872E+002
  9.836689940782E-004  1.968627874036E-004  1.617152983026E-002  1.637934265510E+001 -1.231243868525E+002
  1.190403382016E-003  2.166087025496E-004  1.955507312047E-002  1.635390348059E+001 -1.229805375154E+002
  1.416892087541E-003  2.363716828821E-004  2.325589462249E-002  1.632606761869E+001 -1.228230055070E+002
  1.663152957245E-003  2.561532917128E-004  2.727264369908E-002  1.629584220122E+001 -1.226517962808E+002
  1.929205402573E-003  2.759550954757E-004  3.160385366029E-002  1.626323498686E+001 -1.224669160845E+002
  2.215070403074E-003  2.957786639908E-004  3.624794211783E-002  1.622825436281E+001 -1.222683720386E+002
  2.520770509919E-003  3.156255707300E-004  4.120321137015E-002  1.619090934636E+001 -1.220561722198E+002
  2.846329849692E-003  3.354973930828E-004  4.646784881871E-002  1.615120958663E+001 -1.218303257501E+002
  3.191774128432E-003  3.553957126240E-004  5.203992741597E-002  1.610916536633E+001 -1.215908428904E+002
  3.557130635959E-003  3.753221153821E-004  5.791740614568E-002  1.606478760356E+001 -1.213377351399E+002
  3.942428250463E-003  3.952781921092E-004  6.409813053607E-002  1.601808785363E+001 -1.210710153395E+002
  4.347697443358E-003  4.152655385525E-004  7.057983320664E-002  1.596907831093E+001 -1.207906977798E+002
  4.772970284417E-003  4.352857557265E-004  7.736013444898E-002  1.591777181073E+001 -1.204967983135E+002
  5.218280447175E-003  4.553404501876E-004  8.443654284262E-002  1.586418183107E+001 -1.201893344722E+002
  5.683663214611E-003  4.754312343099E-004  9.180645590625E-002  1.580832249452E+001 -1.198683255857E+002
  6.169155485101E-003  4.955597265624E-004  9.946716078529E-002  1.575020856994E+001 -1.195337929064E+002
  6.674795778653E-003  5.157275517886E-004  1.074158349764E-001  1.568985547418E+001 -1.191857597358E+002
