# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.473769890084E-004  1.499153794296E+001 -1.147748016288E+002
  3.932200719717E-005  3.932303800261E-005  5.894529983944E-004  1.498815334882E+001 -1.147537978750E+002
  8.847741541455E-005  5.898842277178E-005  1.326063171606E-003  1.498251343935E+001 -1.147187955396E+002
  1.573003992804E-004  7.865844718600E-005  2.356932802292E-003  1.497461983561E+001 -1.146698005093E+002
  2.457963722417E-004  9.833465899987E-005  3.681677416174E-003  1.496447480693E+001 -1.146068210347E+002
  3.539722959954E-004  1.180186070023E-004  5.299802885749E-003  1.495208127075E+001 -1.145298677400E+002
  4.818366816528E-004  1.377118412759E-004  7.210705577850E-003  1.493744279243E+001 -1.144389536358E+002
  6.293995911626E-004  1.574159134560E-004  9.413672534180E-003  1.492056358496E+001 -1.143340941332E+002
  7.966726389934E-004  1.771323769912E-004  1.190788168488E-002  1.490144850867E+001 -1.142153070619E+002
  9.836689940782E-004  1.968627874036E-004  1.469240209528E-002  1.488010307086E+001 -1.140826126900E+002
  1.190403382016E-003  2.166087025496E-004  1.776619424593E-002  1.485653342541E+001 -1.139360337465E+002
  1.416892087541E-003  2.363716828821E-004  2.112811034605E-002  1.483074637225E+001 -1.137755954469E+002
  1.663152957245E-003  2.561532917128E-004  2.477689468065E-002  1.480274935682E+001 -1.136013255200E+002
  1.929205402573E-003  2.759550954757E-004  2.871118399133E-002  1.477255046950E+001 -1.134132542381E+002
  2.215070403074E-003  2.957786639908E-004  3.292950789111E-002  1.474015844483E+001 -1.132114144486E+002
  2.520770509919E-003  3.156255707300E-004  3.743028931336E-002  1.470558266082E+001 -1.129958416086E+002
  2.846329849692E-003  3.354973930828E-004  4.221184499521E-002  1.466883313803E+001 -1.127665738209E+002
  3.191774128432E-003  3.553957126240E-004  4.727238599543E-002  1.462992053863E+001 -1.125236518718E+002
  3.557130635959E-003  3.753221153821E-004  5.261001824722E-002  1.458885616537E+001 -1.122671192719E+002
  3.942428250463E-003  3.952781921092E-004  5.822274314610E-002  1.454565196041E+001 -1.119970222971E+002
  4.347697443358E-003  4.152655385525E-004  6.410845817307E-002  1.450032050404E+001 -1.117134100323E+002
  4.772970284417E-003  4.352857557265E-004  7.026495755342E-002  1.445287501331E+001 -1.114163344163E+002
  5.218280447175E-003  4.553404501876E-004  7.668993295134E-002  1.440332934053E+001 -1.111058502878E+002
  5.683663214611E-003  4.754312343099E-004  8.338097420074E-002  1.435169797159E+001 -1.107820154334E+002
  6.169155485101E-003  4.955597265624E-004  9.033557007239E-002  1.429799602420E+001 -1.104448906355E+002
  6.674795778653E-003  5.157275517886E-004  9.755110907784E-002  1.424223924595E+001 -1.100945397223E+002
  7.200624243425E-003  5.359363414876E-004  1.050248803102E-001  1.418444401219E+001 -1.097310296181E+002
  7.746682662519E-003  5.561877340970E-004  1.127540743222E-001  1.412462732380E+001 -1.093544303944E+002
  8.313014461060E-003  5.764833752781E-004  1.207357840418E-001  1.406280680472E+001 -1.089648153209E+002
  8.899664713569E-003  5.968249182030E-004  1.289670057257E-001  1.399900069936E+001 -1.085622609181E+002
  9.506680151615E-003  6.172140238444E-004  1.374446399504E-001  1.393322786973E+001 -1.081468470089E+002
  1.013410917176E-002  6.376523612666E-004  1.461654926422E-001  1.386550779247E+001 -1.077186567708E+002
  1.078200184380E-002  6.581416079202E-004  1.551262761457E-001  1.379586055560E+001 -1.072777767877E+002
  1.145040991929E-002  6.786834499385E-004  1.643236103303E-001  1.372430685505E+001 -1.068242971017E+002
  1.213938684040E-002  6.992795824361E-004  1.737540237373E-001  1.365086799099E+001 -1.063583112640E+002
  1.284898774901E-002  7.199317098113E-004  1.834139547642E-001  1.357556586387E+001 -1.058799163855E+002
  1.357926949620E-002  7.406415460502E-004  1.932997528906E-001  1.349842297030E+001 -1.053892131859E+002
  1.433029065191E-002  7.614108150341E-004  2.034076799421E-001  1.341946239854E+001 -1.048863060430E+002
  1.510211151509E-002  7.822412508494E-004  2.137339113953E-001  1.333870782385E+001 -1.043713030393E+002
  1.589479412397E-002  8.031345981016E-004  2.242745377212E-001  1.325618350348E+001 -1.038443160081E+002
  1.670840226680E-002  8.240926122311E-004  2.350255657707E-001  1.317191427141E+001 -1.033054605782E+002
  1.754300149280E-002  8.451170598329E-004  2.459829201987E-001  1.308592553274E+001 -1.027548562157E+002
  1.839865912351E-002  8.662097189796E-004  2.571424449289E-001  1.299824325787E+001 -1.021926262655E+002
  1.927544426443E-002  8.873723795480E-004  2.684999046596E-001  1.290889397628E+001 -1.016188979889E+002
  2.017342781695E-002  9.086068435487E-004  2.800509864090E-001  1.281790477001E+001 -1.010338026004E+002
  2.109268249069E-002  9.299149254598E-004  2.917913011012E-001  1.272530326684E+001 -1.004374753011E+002
  2.203328281612E-002  9.512984525641E-004  3.037163851929E-001  1.263111763308E+001 -9.983005530948E+001
  2.299530515754E-002  9.727592652906E-004  3.158217023392E-001  1.253537656607E+001 -9.921168589000E+001
