# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.473769890086E-004  1.499153794298E+001 -1.147748016296E+002
  3.932200719717E-005  3.932303800261E-005  5.894529983951E-004  1.498815334884E+001 -1.147537978758E+002
  8.847741541455E-005  5.898842277178E-005  1.326063171608E-003  1.498251343936E+001 -1.147187955404E+002
  1.573003992804E-004  7.865844718600E-005  2.356932802295E-003  1.497461983562E+001 -1.146698005101E+002
  2.457963722417E-004  9.833465899987E-005  3.681677416179E-003  1.496447480694E+001 -1.146068210355E+002
  3.539722959954E-004  1.180186070023E-004  5.299802885755E-003  1.495208127077E+001 -1.145298677408E+002
  4.818366816528E-004  1.377118412759E-004  7.210705577858E-003  1.493744279245E+001 -1.144389536366E+002
  6.293995911626E-004  1.574159134560E-004  9.413672534191E-003  1.492056358498E+001 -1.143340941340E+002
  7.966726389934E-004  1.771323769912E-004  1.190788168489E-002  1.490144850868E+001 -1.142153070627E+002
  9.836689940782E-004  1.968627874036E-004  1.469240209530E-002  1.488010307088E+001 -1.140826126908E+002
  1.190403382016E-003  2.166087025496E-004  1.776619424595E-002  1.485653342543E+001 -1.139360337473E+002
  1.416892087541E-003  2.363716828821E-004  2.112811034608E-002  1.483074637226E+001 -1.137755954477E+002
  1.663152957245E-003  2.561532917128E-004  2.477689468068E-002  1.480274935684E+001 -1.136013255208E+002
  1.929205402573E-003  2.759550954757E-004  2.871118399136E-002  1.477255046951E+001 -1.134132542389E+002
  2.215070403074E-003  2.957786639908E-004  3.292950789114E-002  1.474015844485E+001 -1.132114144494E+002
  2.520770509919E-003  3.156255707300E-004  3.743028931340E-002  1.470558266084E+001 -1.129958416094E+002
  2.846329849692E-003  3.354973930828E-004  4.221184499526E-002  1.466883313804E+001 -1.127665738216E+002
  3.191774128432E-003  3.553957126240E-004  4.727238599548E-002  1.462992053864E+001 -1.125236518726E+002
  3.557130635959E-003  3.753221153821E-004  5.261001824728E-002  1.458885616539E+001 -1.122671192727E+002
  3.942428250463E-003  3.952781921092E-004  5.822274314616E-002  1.454565196042E+001 -1.119970222978E+002
  4.347697443358E-003  4.152655385525E-004  6.410845817314E-002  1.450032050405E+001 -1.117134100330E+002
  4.772970284417E-003  4.352857557265E-004  7.026495755350E-002  1.445287501332E+001 -1.114163344170E+002
  5.218280447175E-003  4.553404501876E-004  7.668993295142E-002  1.440332934054E+001 -1.111058502885E+002
  5.683663214611E-003  4.754312343099E-004  8.338097420082E-002  1.435169797160E+001 -1.107820154341E+002
  6.169155485101E-003  4.955597265624E-004  9.033557007249E-002  1.429799602422E+001 -1.104448906361E+002
  6.674795778653E-003  5.157275517886E-004  9.755110907794E-002  1.424223924597E+001 -1.100945397230E+002
  7.200624243425E-003  5.359363414876E-004  1.050248803103E-001  1.418444401221E+001 -1.097310296188E+002
  7.746682662519E-003  5.561877340970E-004  1.127540743223E-001  1.412462732381E+001 -1.093544303950E+002
  8.313014461060E-003  5.764833752781E-004  1.207357840420E-001  1.406280680474E+001 -1.089648153215E+002
  8.899664713569E-003  5.968249182030E-004  1.289670057258E-001  1.399900069937E+001 -1.085622609187E+002
  9.506680151615E-003  6.172140238444E-004  1.374446399505E-001  1.393322786974E+001 -1.081468470095E+002
  1.013410917176E-002  6.376523612666E-004  1.461654926424E-001  1.386550779248E+001 -1.077186567714E+002
  1.078200184380E-002  6.581416079202E-004  1.551262761458E-001  1.379586055561E+001 -1.072777767883E+002
  1.145040991929E-002  6.786834499385E-004  1.643236103305E-001  1.372430685506E+001 -1.068242971023E+002
  1.213938684040E-002  6.992795824361E-004  1.737540237374E-001  1.365086799100E+001 -1.063583112646E+002
  1.284898774901E-002  7.199317098113E-004  1.834139547643E-001  1.357556586388E+001 -1.058799163860E+002
  1.357926949620E-002  7.406415460502E-004  1.932997528907E-001  1.349842297030E+001 -1.053892131865E+002
  1.433029065191E-002  7.614108150341E-004  2.034076799423E-001  1.341946239854E+001 -1.048863060435E+002
  1.510211151509E-002  7.822412508494E-004  2.137339113954E-001  1.333870782386E+001 -1.043713030398E+002
  1.589479412397E-002  8.031345981016E-004  2.242745377214E-001  1.325618350349E+001 -1.038443160086E+002
  1.670840226680E-002  8.240926122311E-004  2.350255657709E-001  1.317191427141E+001 -1.033054605787E+002
  1.754300149280E-002  8.451170598329E-004  2.459829201989E-001  1.308592553274E+001 -1.027548562162E+002
  1.839865912351E-002  8.662097189796E-004  2.571424449291E-001  1.299824325788E+001 -1.021926262660E+002
  1.927544426443E-002  8.873723795480E-004  2.684999046598E-001  1.290889397628E+001 -1.016188979894E+002
  2.017342781695E-002  9.086068435487E-004  2.800509864092E-001  1.281790477002E+001 -1.010338026009E+002
  2.109268249069E-002  9.299149254598E-004  2.917913011015E-001  1.272530326684E+001 -1.004374753015E+002
  2.203328281612E-002  9.512984525641E-004  3.037163851931E-001  1.263111763309E+001 -9.983005530989E+001
  2.299530515754E-002  9.727592652906E-004  3.158217023394E-001  1.253537656607E+001 -9.921168589040E+001
  2.397882772639E-002  9.942992175591E-004  3.281026451014E-001  1.243810928626E+001 -9.858251437817E+001
  2.498393059493E-002  1.015920177130E-003  3.405545366924E-001  1.233934552900E+001 -9.794269220102E+001
  2.601069571024E-002  1.037624025957E-003  3.531726327642E-001  1.223911553587E+001 -9.729237489795E+001
  2.705920690860E-002  1.059412660547E-003  3.659521232336E-001  1.213745004577E+001 -9.663172213412E+001
  2.812954993023E-002  1.081287992318E-003  3.788881341478E-001  1.203438028547E+001 -9.596089771207E+001
  2.922181243436E-002  1.103251947969E-003  3.919757295883E-001  1.192993795991E+001 -9.528006957909E+001
  3.033608401473E-002  1.125306469854E-003  4.052099136142E-001  1.182415524201E+001 -9.458940983063E+001
  3.147245621542E-002  1.147453516351E-003  4.185856322435E-001  1.171706476214E+001 -9.388909470938E+001
  3.263102254705E-002  1.169695062249E-003  4.320977754721E-001  1.160869959719E+001 -9.317930460019E+001
  3.381187850339E-002  1.192033099133E-003  4.457411793299E-001  1.149909325920E+001 -9.246022402040E+001
  3.501512157837E-002  1.214469635775E-003  4.595106279740E-001  1.138827968360E+001 -9.173204160564E+001
  3.624085128345E-002  1.237006698530E-003  4.734008558179E-001  1.127629321707E+001 -9.099495009084E+001
  3.748916916538E-002  1.259646331739E-003  4.874065496959E-001  1.116316860494E+001 -9.024914628643E+001
  3.876017882444E-002  1.282390598136E-003  5.015223510626E-001  1.104894097823E+001 -8.949483104952E+001
  4.005398593302E-002  1.305241579266E-003  5.157428582262E-001  1.093364584021E+001 -8.873220925006E+001
  4.137069825459E-002  1.328201375897E-003  5.300626286148E-001  1.081731905261E+001 -8.796148973171E+001
  4.271042566323E-002  1.351272108452E-003  5.444761810753E-001  1.069999682141E+001 -8.718288526752E+001
  4.407328016341E-002  1.374455917436E-003  5.589779982038E-001  1.058171568219E+001 -8.639661251022E+001
  4.545937591035E-002  1.397754963880E-003  5.735625287053E-001  1.046251248506E+001 -8.560289193699E+001
  4.686882923075E-002  1.421171429779E-003  5.882241897838E-001  1.034242437929E+001 -8.480194778881E+001
  4.830175864396E-002  1.444707518548E-003  6.029573695603E-001  1.022148879740E+001 -8.399400800416E+001
  4.975828488365E-002  1.468365455478E-003  6.177564295172E-001  1.009974343891E+001 -8.317930414709E+001
