# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   3.9900
  9.830308526508E-006  1.966074589941E-005  1.475234428858E-004  1.500643556348E+001 -1.148921749108E+002
  3.932200719717E-005  3.932303800261E-005  5.900387573673E-004  1.500304750816E+001 -1.148711475139E+002
  8.847741541455E-005  5.898842277178E-005  1.327380917304E-003  1.499740183128E+001 -1.148361057817E+002
  1.573003992804E-004  7.865844718600E-005  2.359274933766E-003  1.498950015580E+001 -1.147870556128E+002
  2.457963722417E-004  9.833465899987E-005  3.685335937010E-003  1.497934475365E+001 -1.147240052747E+002
  3.539722959954E-004  1.180186070023E-004  5.305069291329E-003  1.496693854565E+001 -1.146469654137E+002
  4.818366816528E-004  1.377118412759E-004  7.217870742803E-003  1.495228510124E+001 -1.145559490668E+002
  6.293995911626E-004  1.574159134560E-004  9.423026600055E-003  1.493538863828E+001 -1.144509716767E+002
  7.966726389934E-004  1.771323769912E-004  1.191971394810E-002  1.491625402269E+001 -1.143320511094E+002
  9.836689940782E-004  1.968627874036E-004  1.470700089540E-002  1.489488676812E+001 -1.141992076742E+002
  1.190403382016E-003  2.166087025496E-004  1.778384685423E-002  1.487129303549E+001 -1.140524641460E+002
  1.416892087541E-003  2.363716828821E-004  2.114910285461E-002  1.484547963255E+001 -1.138918457910E+002
  1.663152957245E-003  2.561532917128E-004  2.480151189171E-002  1.481745401329E+001 -1.137173803936E+002
  1.929205402573E-003  2.759550954757E-004  2.873970930728E-002  1.478722427733E+001 -1.135290982862E+002
  2.215070403074E-003  2.957786639908E-004  3.296222320490E-002  1.475479916924E+001 -1.133270323815E+002
  2.520770509919E-003  3.156255707300E-004  3.746747489954E-002  1.472018807772E+001 -1.131112182062E+002
  2.846329849692E-003  3.354973930828E-004  4.225377940149E-002  1.468340103476E+001 -1.128816939375E+002
  3.191774128432E-003  3.553957126240E-004  4.731934593494E-002  1.464444871469E+001 -1.126385004412E+002
  3.557130635959E-003  3.753221153821E-004  5.266227849148E-002  1.460334243313E+001 -1.123816813115E+002
  3.942428250463E-003  3.952781921092E-004  5.828057641862E-002  1.456009414577E+001 -1.121112829128E+002
  4.347697443358E-003  4.152655385525E-004  6.417213504380E-002  1.451471644720E+001 -1.118273544232E+002
  4.772970284417E-003  4.352857557265E-004  7.033474633396E-002  1.446722256942E+001 -1.115299478793E+002
  5.218280447175E-003  4.553404501876E-004  7.676609959102E-002  1.441762638038E+001 -1.112191182222E+002
  5.683663214611E-003  4.754312343099E-004  8.346378218354E-002  1.436594238232E+001 -1.108949233452E+002
  6.169155485101E-003  4.955597265624E-004  9.042528031487E-002  1.431218570995E+001 -1.105574241422E+002
  6.674795778653E-003  5.157275517886E-004  9.764797982792E-002  1.425637212854E+001 -1.102066845574E+002
  7.200624243425E-003  5.359363414876E-004  1.051291670470E-001  1.419851803180E+001 -1.098427716354E+002
  7.746682662519E-003  5.561877340970E-004  1.128660296571E-001  1.413864043962E+001 -1.094657555724E+002
  8.313014461060E-003  5.764833752781E-004  1.208556576201E-001  1.407675699559E+001 -1.090757097674E+002
  8.899664713569E-003  5.968249182030E-004  1.290950441298E-001  1.401288596444E+001 -1.086727108744E+002
  9.506680151615E-003  6.172140238444E-004  1.375810866043E-001  1.394704622911E+001 -1.082568388542E+002
  1.013410917176E-002  6.376523612666E-004  1.463105877167E-001  1.387925728783E+001 -1.078281770263E+002
  1.078200184380E-002  6.581416079202E-004  1.552802564650E-001  1.380953925079E+001 -1.073868121212E+002
  1.145040991929E-002  6.786834499385E-004  1.644867092803E-001  1.373791283673E+001 -1.069328343314E+002
  1.213938684040E-002  6.992795824361E-004  1.739264711744E-001  1.366439936923E+001 -1.064663373628E+002
  1.284898774901E-002  7.199317098113E-004  1.835959769262E-001  1.358902077276E+001 -1.059874184851E+002
  1.357926949620E-002  7.406415460502E-004  1.934915723087E-001  1.351179956849E+001 -1.054961785811E+002
  1.433029065191E-002  7.614108150341E-004  2.036095153542E-001  1.343275886988E+001 -1.049927221952E+002
  1.510211151509E-002  7.822412508494E-004  2.139459776607E-001  1.335192237790E+001 -1.044771575808E+002
  1.589479412397E-002  8.031345981016E-004  2.244970457374E-001  1.326931437610E+001 -1.039495967459E+002
  1.670840226680E-002  8.240926122311E-004  2.352587223908E-001  1.318495972529E+001 -1.034101554979E+002
  1.754300149280E-002  8.451170598329E-004  2.462269281510E-001  1.309888385795E+001 -1.028589534852E+002
  1.839865912351E-002  8.662097189796E-004  2.573975027381E-001  1.301111277238E+001 -1.022961142387E+002
  1.927544426443E-002  8.873723795480E-004  2.687662065693E-001  1.292167302647E+001 -1.017217652096E+002
  2.017342781695E-002  9.086068435487E-004  2.803287223059E-001  1.283059173118E+001 -1.011360378055E+002
  2.109268249069E-002  9.299149254598E-004  2.920806564413E-001  1.273789654370E+001 -1.005390674243E+002
  2.203328281612E-002  9.512984525641E-004  3.040175409291E-001  1.264361566023E+001 -9.993099348504E+001
  2.299530515754E-002  9.727592652906E-004  3.161348348509E-001  1.254777780847E+001 -9.931195945573E+001
  2.397882772639E-002  9.942992175591E-004  3.284279261256E-001  1.245041223968E+001 -9.868211287854E+001
  2.498393059493E-002  1.015920177130E-003  3.408921332571E-001  1.235154872046E+001 -9.804160539158E+001
  2.601069571024E-002  1.037624025957E-003  3.535227071231E-001  1.225121752411E+001 -9.739059274730E+001
