# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0100
  9.830308526508E-006  1.966074589941E-005  1.472307085913E-004  1.497665796577E+001 -1.146578588890E+002
  3.932200719717E-005  3.932303800261E-005  5.888679330266E-004  1.497327682013E+001 -1.146368784616E+002
  8.847741541455E-005  5.898842277178E-005  1.324746985636E-003  1.496764265692E+001 -1.146019149961E+002
  1.573003992804E-004  7.865844718600E-005  2.354593441469E-003  1.495975709538E+001 -1.145529743674E+002
  2.457963722417E-004  9.833465899987E-005  3.678023220066E-003  1.494962240225E+001 -1.144900648101E+002
  3.539722959954E-004  1.180186070023E-004  5.294542700020E-003  1.493724149167E+001 -1.144131969279E+002
  4.818366816528E-004  1.377118412759E-004  7.203548866353E-003  1.492261792494E+001 -1.143223837059E+002
  6.293995911626E-004  1.574159134560E-004  9.404329490825E-003  1.490575591028E+001 -1.142176405255E+002
  7.966726389934E-004  1.771323769912E-004  1.189606334524E-002  1.488666030252E+001 -1.140989851817E+002
  9.836689940782E-004  1.968627874036E-004  1.467782044789E-002  1.486533660272E+001 -1.139664379038E+002
  1.190403382016E-003  2.166087025496E-004  1.774856234322E-002  1.484179095780E+001 -1.138200213773E+002
  1.416892087541E-003  2.363716828821E-004  2.110714241497E-002  1.481603016000E+001 -1.136597607693E+002
  1.663152957245E-003  2.561532917128E-004  2.475230623276E-002  1.478806164637E+001 -1.134856837561E+002
  1.929205402573E-003  2.759550954757E-004  2.868269193249E-002  1.475789349813E+001 -1.132978205527E+002
  2.215070403074E-003  2.957786639908E-004  3.289683063065E-002  1.472553444001E+001 -1.130962039447E+002
  2.520770509919E-003  3.156255707300E-004  3.739314687271E-002  1.469099383944E+001 -1.128808693230E+002
  2.846329849692E-003  3.354973930828E-004  4.216995911592E-002  1.465428170572E+001 -1.126518547195E+002
  3.191774128432E-003  3.553957126240E-004  4.722548024658E-002  1.461540868905E+001 -1.124092008455E+002
  3.557130635959E-003  3.753221153821E-004  5.255781813216E-002  1.457438607953E+001 -1.121529511316E+002
  3.942428250463E-003  3.952781921092E-004  5.816497620849E-002  1.453122580592E+001 -1.118831517695E+002
  4.347697443358E-003  4.152655385525E-004  6.404485410215E-002  1.448594043446E+001 -1.115998517555E+002
  4.772970284417E-003  4.352857557265E-004  7.019524828850E-002  1.443854316747E+001 -1.113031029352E+002
  5.218280447175E-003  4.553404501876E-004  7.661385278550E-002  1.438904784180E+001 -1.109929600501E+002
  5.683663214611E-003  4.754312343099E-004  8.329825988359E-002  1.433746892725E+001 -1.106694807847E+002
  6.169155485101E-003  4.955597265624E-004  9.024596091202E-002  1.428382152474E+001 -1.103327258152E+002
  6.674795778653E-003  5.157275517886E-004  9.745434704174E-002  1.422812136442E+001 -1.099827588592E+002
  7.200624243425E-003  5.359363414876E-004  1.049207101252E-001  1.417038480353E+001 -1.096196467262E+002
  7.746682662519E-003  5.561877340970E-004  1.126422435735E-001  1.411062882419E+001 -1.092434593683E+002
  8.313014461060E-003  5.764833752781E-004  1.206160432709E-001  1.404887103093E+001 -1.088542699320E+002
  8.899664713569E-003  5.968249182030E-004  1.288391085269E-001  1.398512964811E+001 -1.084521548099E+002
  9.506680151615E-003  6.172140238444E-004  1.373083430668E-001  1.391942351707E+001 -1.080371936932E+002
  1.013410917176E-002  6.376523612666E-004  1.460205560600E-001  1.385177209315E+001 -1.076094696230E+002
  1.078200184380E-002  6.581416079202E-004  1.549724631874E-001  1.378219544242E+001 -1.071690690433E+002
  1.145040991929E-002  6.786834499385E-004  1.641606877470E-001  1.371071423830E+001 -1.067160818517E+002
  1.213938684040E-002  6.992795824361E-004  1.735817617990E-001  1.363734975780E+001 -1.062506014510E+002
  1.284898774901E-002  7.199317098113E-004  1.832321273495E-001  1.356212387765E+001 -1.057727247995E+002
  1.357926949620E-002  7.406415460502E-004  1.931081375747E-001  1.348505907014E+001 -1.052825524608E+002
  1.433029065191E-002  7.614108150341E-004  2.032060580835E-001  1.340617839865E+001 -1.047801886521E+002
  1.510211151509E-002  7.822412508494E-004  2.135220682206E-001  1.332550551297E+001 -1.042657412915E+002
  1.589479412397E-002  8.031345981016E-004  2.240522624094E-001  1.324306464434E+001 -1.037393220443E+002
  1.670840226680E-002  8.240926122311E-004  2.347926515351E-001  1.315888060016E+001 -1.032010463671E+002
  1.754300149280E-002  8.451170598329E-004  2.457391643675E-001  1.307297875843E+001 -1.026510335504E+002
  1.839865912351E-002  8.662097189796E-004  2.568876490246E-001  1.298538506194E+001 -1.020894067593E+002
  1.927544426443E-002  8.873723795480E-004  2.682338744765E-001  1.289612601199E+001 -1.015162930721E+002
  2.017342781695E-002  9.086068435487E-004  2.797735320887E-001  1.280522866198E+001 -1.009318235165E+002
  2.109268249069E-002  9.299149254598E-004  2.915022372072E-001  1.271272061053E+001 -1.003361331031E+002
  2.203328281612E-002  9.512984525641E-004  3.034155307828E-001  1.261862999434E+001 -9.972936085666E+001
