# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.476839080641E-004  1.502275833777E+001 -1.150426560997E+002
  3.932200719717E-005  3.932303800261E-005  5.906805434518E-004  1.501936584518E+001 -1.150215818596E+002
  8.847741541455E-005  5.898842277178E-005  1.328824656194E-003  1.501371277557E+001 -1.149864620921E+002
  1.573003992804E-004  7.865844718600E-005  2.361840884508E-003  1.500580075587E+001 -1.149373027509E+002
  2.457963722417E-004  9.833465899987E-005  3.689343837065E-003  1.499563206366E+001 -1.148741121805E+002
  3.539722959954E-004  1.180186070023E-004  5.310838208247E-003  1.498320962697E+001 -1.147969011261E+002
  4.818366816528E-004  1.377118412759E-004  7.225718926416E-003  1.496853702404E+001 -1.147056827453E+002
  6.293995911626E-004  1.574159134560E-004  9.433271335317E-003  1.495161848312E+001 -1.146004726231E+002
  7.966726389934E-004  1.771323769912E-004  1.193267140866E-002  1.493245888208E+001 -1.144812887890E+002
  9.836689940782E-004  1.968627874036E-004  1.472298599807E-002  1.491106374807E+001 -1.143481517373E+002
  1.190403382016E-003  2.166087025496E-004  1.780317311439E-002  1.488743925706E+001 -1.142010844489E+002
  1.416892087541E-003  2.363716828821E-004  2.117208224272E-002  1.486159223337E+001 -1.140401124166E+002
  1.663152957245E-003  2.561532917128E-004  2.482845469102E-002  1.483353014907E+001 -1.138652636722E+002
  1.929205402573E-003  2.759550954757E-004  2.877092397283E-002  1.480326112335E+001 -1.136765688158E+002
  2.215070403074E-003  2.957786639908E-004  3.299801622391E-002  1.477079392179E+001 -1.134740610475E+002
  2.520770509919E-003  3.156255707300E-004  3.750815065334E-002  1.473613795558E+001 -1.132577762012E+002
  2.846329849692E-003  3.354973930828E-004  4.229964002906E-002  1.469930328060E+001 -1.130277527806E+002
  3.191774128432E-003  3.553957126240E-004  4.737069119813E-002  1.466030059649E+001 -1.127840319968E+002
  3.557130635959E-003  3.753221153821E-004  5.271940564204E-002  1.461914124550E+001 -1.125266578080E+002
  3.942428250463E-003  3.952781921092E-004  5.834378006714E-002  1.457583721136E+001 -1.122556769607E+002
  4.347697443358E-003  4.152655385525E-004  6.424170703065E-002  1.453040111793E+001 -1.119711390325E+002
  4.772970284417E-003  4.352857557265E-004  7.041097560226E-002  1.448284622783E+001 -1.116730964771E+002
  5.218280447175E-003  4.553404501876E-004  7.684927206184E-002  1.443318644084E+001 -1.113616046692E+002
  5.683663214611E-003  4.754312343099E-004  8.355418063329E-002  1.438143629225E+001 -1.110367219521E+002
  6.169155485101E-003  4.955597265624E-004  9.052318425503E-002  1.432761095103E+001 -1.106985096853E+002
  6.674795778653E-003  5.157275517886E-004  9.775366538718E-002  1.427172621783E+001 -1.103470322941E+002
  7.200624243425E-003  5.359363414876E-004  1.052429068559E-001  1.421379852284E+001 -1.099823573187E+002
  7.746682662519E-003  5.561877340970E-004  1.129880927350E-001  1.415384492352E+001 -1.096045554651E+002
  8.313014461060E-003  5.764833752781E-004  1.209863092653E-001  1.409188310208E+001 -1.092137006556E+002
  8.899664713569E-003  5.968249182030E-004  1.292345458117E-001  1.402793136280E+001 -1.088098700806E+002
  9.506680151615E-003  6.172140238444E-004  1.377296958584E-001  1.396200862920E+001 -1.083931442496E+002
  1.013410917176E-002  6.376523612666E-004  1.464685580429E-001  1.389413444095E+001 -1.079636070427E+002
  1.078200184380E-002  6.581416079202E-004  1.554478372282E-001  1.382432895059E+001 -1.075213457619E+002
  1.145040991929E-002  6.786834499385E-004  1.646641456139E-001  1.375261292001E+001 -1.070664511820E+002
  1.213938684040E-002  6.992795824361E-004  1.741140038871E-001  1.367900771672E+001 -1.065990176010E+002
  1.284898774901E-002  7.199317098113E-004  1.837938424116E-001  1.360353530988E+001 -1.061191428898E+002
