# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   3.9900
  9.830308526508E-006  1.966074589941E-005  1.475430910211E-004  1.500843419778E+001 -1.149117024855E+002
  3.932200719717E-005  3.932303800261E-005  5.901173401317E-004  1.500504556664E+001 -1.148906692298E+002
  8.847741541455E-005  5.898842277178E-005  1.327557691868E-003  1.499939893040E+001 -1.148556177358E+002
  1.573003992804E-004  7.865844718600E-005  2.359589108451E-003  1.499149591252E+001 -1.148065539063E+002
  2.457963722417E-004  9.833465899987E-005  3.685826651800E-003  1.498133878563E+001 -1.147434860150E+002
  3.539722959954E-004  1.180186070023E-004  5.305775598430E-003  1.496893047144E+001 -1.146664247158E+002
  4.818366816528E-004  1.377118412759E-004  7.218831587267E-003  1.495427454050E+001 -1.145753830553E+002
  6.293995911626E-004  1.574159134560E-004  9.424280800486E-003  1.493737521196E+001 -1.144703764873E+002
  7.966726389934E-004  1.771323769912E-004  1.192130017744E-002  1.491823735323E+001 -1.143514228907E+002
  9.836689940782E-004  1.968627874036E-004  1.470895766184E-002  1.489686647965E+001 -1.142185425893E+002
  1.190403382016E-003  2.166087025496E-004  1.778621248224E-002  1.487326875404E+001 -1.140717583745E+002
  1.416892087541E-003  2.363716828821E-004  2.115191546606E-002  1.484745098621E+001 -1.139110955306E+002
  1.663152957245E-003  2.561532917128E-004  2.480480938723E-002  1.481942063244E+001 -1.137365818615E+002
  1.929205402573E-003  2.759550954757E-004  2.874352934767E-002  1.478918579481E+001 -1.135482477213E+002
  2.215070403074E-003  2.957786639908E-004  3.296660319281E-002  1.475675522054E+001 -1.133461260458E+002
  2.520770509919E-003  3.156255707300E-004  3.747245196129E-002  1.472213830118E+001 -1.131302523866E+002
  2.846329849692E-003  3.354973930828E-004  4.225939036911E-002  1.468534507175E+001 -1.129006649475E+002
  3.191774128432E-003  3.553957126240E-004  4.732562732843E-002  1.464638620981E+001 -1.126574046225E+002
  3.557130635959E-003  3.753221153821E-004  5.266926650126E-002  1.460527303435E+001 -1.124005150358E+002
  3.942428250463E-003  3.952781921092E-004  5.828830688832E-002  1.456201750469E+001 -1.121300425837E+002
  4.347697443358E-003  4.152655385525E-004  6.418064345317E-002  1.451663221914E+001 -1.118460364776E+002
  4.772970284417E-003  4.352857557265E-004  7.034406778216E-002  1.446913041365E+001 -1.115485487890E+002
  5.218280447175E-003  4.553404501876E-004  7.677626878015E-002  1.441952596029E+001 -1.112376344958E+002
  5.683663214611E-003  4.754312343099E-004  8.347483340247E-002  1.436783336559E+001 -1.109133515298E+002
  6.169155485101E-003  4.955597265624E-004  9.043724742337E-002  1.431406776870E+001 -1.105757608250E+002
  6.674795778653E-003  5.157275517886E-004  9.766089624112E-002  1.425824493953E+001 -1.102249263672E+002
  7.200624243425E-003  5.359363414876E-004  1.051430657202E-001  1.420038127657E+001 -1.098609152446E+002
  7.746682662519E-003  5.561877340970E-004  1.128809430707E-001  1.414049380465E+001 -1.094837976981E+002
  8.313014461060E-003  5.764833752781E-004  1.208716177656E-001  1.407860017247E+001 -1.090936471738E+002
  8.899664713569E-003  5.968249182030E-004  1.291120824950E-001  1.401471865001E+001 -1.086905403737E+002
  9.506680151615E-003  6.172140238444E-004  1.375992341600E-001  1.394886812564E+001 -1.082745573086E+002
  1.013410917176E-002  6.376523612666E-004  1.463298749031E-001  1.388106810312E+001 -1.078457813495E+002
  1.078200184380E-002  6.581416079202E-004  1.553007131787E-001  1.381133869836E+001 -1.074042992800E+002
  1.145040991929E-002  6.786834499385E-004  1.645083648619E-001  1.373970063594E+001 -1.069502013472E+002
  1.213938684040E-002  6.992795824361E-004  1.739493543961E-001  1.366617524541E+001 -1.064835813134E+002
  1.284898774901E-002  7.199317098113E-004  1.836201159805E-001  1.359078445734E+001 -1.060045365058E+002
  1.357926949620E-002  7.406415460502E-004  1.935169947964E-001  1.351355079916E+001 -1.055131678667E+002
  1.433029065191E-002  7.614108150341E-004  2.036362482744E-001  1.343449739066E+001 -1.050095800012E+002
  1.510211151509E-002  7.822412508494E-004  2.139740473996E-001  1.335364793931E+001 -1.044938812249E+002
