# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   3.9900
  9.830308526508E-006  1.966074589941E-005  1.475037394465E-004  1.500443130346E+001 -1.148726189339E+002
  3.932200719717E-005  3.932303800261E-005  5.899599533991E-004  1.500104382479E+001 -1.148515973873E+002
  8.847741541455E-005  5.898842277178E-005  1.327203645077E-003  1.499539910867E+001 -1.148165654026E+002
  1.573003992804E-004  7.865844718600E-005  2.358959874459E-003  1.498749877754E+001 -1.147675288742E+002
  2.457963722417E-004  9.833465899987E-005  3.684843840227E-003  1.497734510266E+001 -1.147044960638E+002
  3.539722959954E-004  1.180186070023E-004  5.304360994560E-003  1.496494100392E+001 -1.146274776098E+002
  4.818366816528E-004  1.377118412759E-004  7.216907190825E-003  1.495029004970E+001 -1.145364865400E+002
  6.293995911626E-004  1.574159134560E-004  9.421768864258E-003  1.493339645653E+001 -1.144315382859E+002
  7.966726389934E-004  1.771323769912E-004  1.191812324571E-002  1.491426508887E+001 -1.143126507007E+002
  9.836689940782E-004  1.968627874036E-004  1.470503860861E-002  1.489290145865E+001 -1.141798440791E+002
  1.190403382016E-003  2.166087025496E-004  1.778147454921E-002  1.486931172495E+001 -1.140331411800E+002
  1.416892087541E-003  2.363716828821E-004  2.114628230035E-002  1.484350269341E+001 -1.138725672516E+002
  1.663152957245E-003  2.561532917128E-004  2.479820507879E-002  1.481548181576E+001 -1.136981500586E+002
  1.929205402573E-003  2.759550954757E-004  2.873587846637E-002  1.478525718917E+001 -1.135099199123E+002
  2.215070403074E-003  2.957786639908E-004  3.295783082519E-002  1.475283755554E+001 -1.133079097022E+002
  2.520770509919E-003  3.156255707300E-004  3.746248374691E-002  1.471823230073E+001 -1.130921549305E+002
  2.846329849692E-003  3.354973930828E-004  4.224815253653E-002  1.468145145373E+001 -1.128626937478E+002
  3.191774128432E-003  3.553957126240E-004  4.731304673070E-002  1.464250568564E+001 -1.126195669918E+002
  3.557130635959E-003  3.753221153821E-004  5.265527065103E-002  1.460140630867E+001 -1.123628182271E+002
  3.942428250463E-003  3.952781921092E-004  5.827282399236E-002  1.455816527496E+001 -1.120924937866E+002
  4.347697443358E-003  4.152655385525E-004  6.416360244649E-002  1.451279517533E+001 -1.118086428152E+002
  4.772970284417E-003  4.352857557265E-004  7.032539836152E-002  1.446530923784E+001 -1.115113173148E+002
  5.218280447175E-003  4.553404501876E-004  7.675590143702E-002  1.441572132635E+001 -1.112005721898E+002
  5.683663214611E-003  4.754312343099E-004  8.345269945540E-002  1.436404593880E+001 -1.108764652955E+002
  6.169155485101E-003  4.955597265624E-004  9.041327904978E-002  1.431029820547E+001 -1.105390574860E+002
  6.674795778653E-003  5.157275517886E-004  9.763502650838E-002  1.425449388700E+001 -1.101884126640E+002
  7.200624243425E-003  5.359363414876E-004  1.051152286162E-001  1.419664937234E+001 -1.098245978310E+002
  7.746682662519E-003  5.561877340970E-004  1.128510735334E-001  1.413678167641E+001 -1.094476831384E+002
  8.313014461060E-003  5.764833752781E-004  1.208396517123E-001  1.407490843774E+001 -1.090577419389E+002
  8.899664713569E-003  5.968249182030E-004  1.290779568509E-001  1.401104791577E+001 -1.086548508385E+002
  9.506680151615E-003  6.172140238444E-004  1.375628868850E-001  1.394521898806E+001 -1.082390897484E+002
  1.013410917176E-002  6.376523612666E-004  1.462912450195E-001  1.387744114727E+001 -1.078105419369E+002
  1.078200184380E-002  6.581416079202E-004  1.552597407968E-001  1.380773449793E+001 -1.073692940817E+002
  1.145040991929E-002  6.786834499385E-004  1.644649912050E-001  1.373611975292E+001 -1.069154363210E+002
  1.213938684040E-002  6.992795824361E-004  1.739035218252E-001  1.366261822984E+001 -1.064490623048E+002
  1.284898774901E-002  7.199317098113E-004  1.835717680177E-001  1.358725184708E+001 -1.059702692454E+002
  1.357926949620E-002  7.406415460502E-004  1.934660761475E-001  1.351004311957E+001 -1.054791579665E+002
  1.433029065191E-002  7.614108150341E-004  2.035827048504E-001  1.343101515440E+001 -1.049758329522E+002
  1.510211151509E-002  7.822412508494E-004  2.139178263381E-001  1.335019164610E+001 -1.044604023939E+002
