# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.475162273340E-004  1.500570147992E+001 -1.149069929325E+002
  3.932200719717E-005  3.932303800261E-005  5.900098860031E-004  1.500231298789E+001 -1.148859450070E+002
  8.847741541455E-005  5.898842277178E-005  1.327315922433E-003  1.499666658448E+001 -1.148508690916E+002
  1.573003992804E-004  7.865844718600E-005  2.359159302089E-003  1.498876389458E+001 -1.148017711315E+002
  2.457963722417E-004  9.833465899987E-005  3.685155091638E-003  1.497860719288E+001 -1.147386594597E+002
  3.539722959954E-004  1.180186070023E-004  5.304808574044E-003  1.496619940370E+001 -1.146615448062E+002
  4.818366816528E-004  1.377118412759E-004  7.217515396645E-003  1.495154410075E+001 -1.145704403100E+002
  6.293995911626E-004  1.574159134560E-004  9.422561752305E-003  1.493464550690E+001 -1.144653615342E+002
  7.966726389934E-004  1.771323769912E-004  1.191912459372E-002  1.491550849386E+001 -1.143463264830E+002
  9.836689940782E-004  1.968627874036E-004  1.470627188099E-002  1.489413858176E+001 -1.142133556217E+002
  1.190403382016E-003  2.166087025496E-004  1.778296286265E-002  1.487054193877E+001 -1.140664718992E+002
  1.416892087541E-003  2.363716828821E-004  2.114804839013E-002  1.484472538055E+001 -1.139057007724E+002
  1.663152957245E-003  2.561532917128E-004  2.480027126604E-002  1.481669636971E+001 -1.137310702336E+002
  1.929205402573E-003  2.759550954757E-004  2.873826662626E-002  1.478646301515E+001 -1.135426108400E+002
  2.215070403074E-003  2.957786639908E-004  3.296056235614E-002  1.475403407136E+001 -1.133403557449E+002
  2.520770509919E-003  3.156255707300E-004  3.746557954085E-002  1.471941893762E+001 -1.131243407321E+002
  2.846329849692E-003  3.354973930828E-004  4.225163295039E-002  1.468262765709E+001 -1.128946042512E+002
  3.191774128432E-003  3.553957126240E-004  4.731693155910E-002  1.464367091585E+001 -1.126511874555E+002
  3.557130635959E-003  3.753221153821E-004  5.265957910022E-002  1.460256004183E+001 -1.123941342415E+002
  3.942428250463E-003  3.952781921092E-004  5.827757465558E-002  1.455930700358E+001 -1.121234912902E+002
  4.347697443358E-003  4.152655385525E-004  6.416881328071E-002  1.451392440903E+001 -1.118393081098E+002
  4.772970284417E-003  4.352857557265E-004  7.033108666558E-002  1.446642550401E+001 -1.115416370804E+002
  5.218280447175E-003  4.553404501876E-004  7.676208383140E-002  1.441682417076E+001 -1.112305334992E+002
  5.683663214611E-003  4.754312343099E-004  8.345939186346E-002  1.436513492620E+001 -1.109060556278E+002
