# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.477121043067E-004  1.502562661923E+001 -1.150457793485E+002
  3.932200719717E-005  3.932303800261E-005  5.907933288261E-004  1.502223403427E+001 -1.150247231603E+002
  8.847741541455E-005  5.898842277178E-005  1.329078424767E-003  1.501658080950E+001 -1.149896334452E+002
  1.573003992804E-004  7.865844718600E-005  2.362292032190E-003  1.500866857010E+001 -1.149405161063E+002
  2.457963722417E-004  9.833465899987E-005  3.690048762105E-003  1.499849959114E+001 -1.148773794170E+002
  3.539722959954E-004  1.180186070023E-004  5.311853311475E-003  1.498607679745E+001 -1.148002340313E+002
  4.818366816528E-004  1.377118412759E-004  7.227100611181E-003  1.497140376342E+001 -1.147090929959E+002
  6.293995911626E-004  1.574159134560E-004  9.435076007033E-003  1.495448471271E+001 -1.146039717647E+002
  7.966726389934E-004  1.771323769912E-004  1.193495547392E-002  1.493532451796E+001 -1.144848882172E+002
  9.836689940782E-004  1.968627874036E-004  1.472580586320E-002  1.491392870043E+001 -1.143518626777E+002
  1.190403382016E-003  2.166087025496E-004  1.780658518353E-002  1.489030342957E+001 -1.142049179387E+002
  1.416892087541E-003  2.363716828821E-004  2.117614291511E-002  1.486445552251E+001 -1.140440792856E+002
  1.663152957245E-003  2.561532917128E-004  2.483322035775E-002  1.483639244358E+001 -1.138693745244E+002
  1.929205402573E-003  2.759550954757E-004  2.877645101268E-002  1.480612230359E+001 -1.136808340116E+002
  2.215070403074E-003  2.957786639908E-004  3.300436099854E-002  1.477365385923E+001 -1.134784906860E+002
  2.520770509919E-003  3.156255707300E-004  3.751536950146E-002  1.473899651219E+001 -1.132623801033E+002
  2.846329849692E-003  3.354973930828E-004  4.230778925974E-002  1.470216030841E+001 -1.130325404720E+002
  3.191774128432E-003  3.553957126240E-004  4.737982708321E-002  1.466315593702E+001 -1.127890126922E+002
  3.557130635959E-003  3.753221153821E-004  5.272958440743E-002  1.462199472935E+001 -1.125318403950E+002
  3.942428250463E-003  3.952781921092E-004  5.835505788315E-002  1.457868865775E+001 -1.122610699850E+002
  4.347697443358E-003  4.152655385525E-004  6.425414000114E-002  1.453325033430E+001 -1.119767506835E+002
  4.772970284417E-003  4.352857557265E-004  7.042461975279E-002  1.448569300945E+001 -1.116789345735E+002
  5.218280447175E-003  4.553404501876E-004  7.686418332655E-002  1.443603057050E+001 -1.113676766461E+002
  5.683663214611E-003  4.754312343099E-004  8.357041484067E-002  1.438427753993E+001 -1.110430348480E+002
  6.169155485101E-003  4.955597265624E-004  9.054079711245E-002  1.433044907360E+001 -1.107050701304E+002
  6.674795778653E-003  5.157275517886E-004  9.777271246421E-002  1.427456095884E+001 -1.103538464987E+002
  7.200624243425E-003  5.359363414876E-004  1.052634435664E-001  1.421662961232E+001 -1.099894310628E+002
  7.746682662519E-003  5.561877340970E-004  1.130101743179E-001  1.415667207779E+001 -1.096118940881E+002
  8.313014461060E-003  5.764833752781E-004  1.210099907642E-001  1.409470602362E+001 -1.092213090479E+002
  8.899664713569E-003  5.968249182030E-004  1.292598820532E-001  1.403074974019E+001 -1.088177526743E+002
  9.506680151615E-003  6.172140238444E-004  1.377567414290E-001  1.396482213702E+001 -1.084013050115E+002
  1.013410917176E-002  6.376523612666E-004  1.464973672651E-001  1.389694273981E+001 -1.079720494671E+002
  1.078200184380E-002  6.581416079202E-004  1.554784641347E-001  1.382713168710E+001 -1.075300728648E+002
  1.145040991929E-002  6.786834499385E-004  1.646966439212E-001  1.375540972690E+001 -1.070754654957E+002
  1.213938684040E-002  6.992795824361E-004  1.741484269672E-001  1.368179821292E+001 -1.066083211697E+002
  1.284898774901E-002  7.199317098113E-004  1.838302432634E-001  1.360631910066E+001 -1.061287372660E+002
  1.357926949620E-002  7.406415460502E-004  1.937384336763E-001  1.352899494322E+001 -1.056368147828E+002
  1.433029065191E-002  7.614108150341E-004  2.038692512161E-001  1.344984888683E+001 -1.051326583859E+002
  1.510211151509E-002  7.822412508494E-004  2.142188623450E-001  1.336890466614E+001 -1.046163764561E+002
  1.589479412397E-002  8.031345981016E-004  2.247833483244E-001  1.328618659921E+001 -1.040880811354E+002
  1.670840226680E-002  8.240926122311E-004  2.355587066035E-001  1.320171958225E+001 -1.035478883712E+002
  1.754300149280E-002  8.451170598329E-004  2.465408522473E-001  1.311552908400E+001 -1.029959179589E+002
  1.839865912351E-002  8.662097189796E-004  2.577256194057E-001  1.302764113982E+001 -1.024322935831E+002
  1.927544426443E-002  8.873723795480E-004  2.691087628226E-001  1.293808234556E+001 -1.018571428553E+002
  2.017342781695E-002  9.086068435487E-004  2.806859593853E-001  1.284687985092E+001 -1.012705973511E+002
  2.109268249069E-002  9.299149254598E-004  2.924528097152E-001  1.275406135267E+001 -1.006727926430E+002
  2.203328281612E-002  9.512984525641E-004  3.044048397978E-001  1.265965508741E+001 -1.000638683322E+002
  2.299530515754E-002  9.727592652906E-004  3.165375026537E-001  1.256368982403E+001 -9.944396807642E+001
  2.397882772639E-002  9.942992175591E-004  3.288461800501E-001  1.246619485576E+001 -9.881323961491E+001
  2.498393059493E-002  1.015920177130E-003  3.413261842513E-001  1.236719999197E+001 -9.817183479069E+001
  2.601069571024E-002  1.037624025957E-003  3.539727598105E-001  1.226673554947E+001 -9.751990956886E+001
  2.705920690860E-002  1.059412660547E-003  3.667810854001E-001  1.216483234352E+001 -9.685762405165E+001
  2.812954993023E-002  1.081287992318E-003  3.797462756820E-001  1.206152167840E+001 -9.618514248963E+001
  2.922181243436E-002  1.103251947969E-003  3.928633832168E-001  1.195683533768E+001 -9.550263328914E+001
  3.033608401473E-002  1.125306469854E-003  4.061274004119E-001  1.185080557399E+001 -9.481026901556E+001
  3.147245621542E-002  1.147453516351E-003  4.195332615077E-001  1.174346509846E+001 -9.410822639247E+001
  3.263102254705E-002  1.169695062249E-003  4.330758446016E-001  1.163484706975E+001 -9.339668629645E+001
  3.381187850339E-002  1.192033099133E-003  4.467499737099E-001  1.152498508267E+001 -9.267583374739E+001
  3.501512157837E-002  1.214469635775E-003  4.605504208655E-001  1.141391315636E+001 -9.194585789420E+001
  3.624085128345E-002  1.237006698530E-003  4.744719082534E-001  1.130166572212E+001 -9.120695199575E+001
  3.748916916538E-002  1.259646331739E-003  4.885091103795E-001  1.118827761080E+001 -9.045931339693E+001
  3.876017882444E-002  1.282390598136E-003  5.026566562766E-001  1.107378403974E+001 -8.970314349978E+001
