# 1st line: number of mesh points
# abcissa weight wavefunction wavefunction_1st wavefunction_2nd
500
# Principal QN=   1 , l=   1 , Occupation=   4.0000
  9.830308526508E-006  1.966074589941E-005  1.490544419678E-004  1.516217118845E+001 -1.163375651348E+002
  3.932200719717E-005  3.932303800261E-005  5.961620360672E-004  1.515874051278E+001 -1.163160849661E+002
  8.847741541455E-005  5.898842277178E-005  1.341155603839E-003  1.515302382796E+001 -1.162802889446E+002
  1.573003992804E-004  7.865844718600E-005  2.383756571039E-003  1.514502279580E+001 -1.162301834642E+002
  2.457963722417E-004  9.833465899987E-005  3.723575052443E-003  1.513473974265E+001 -1.161657774852E+002
  3.539722959954E-004  1.180186070023E-004  5.360109970641E-003  1.512217765914E+001 -1.160870825434E+002
  4.818366816528E-004  1.377118412759E-004  7.292749208863E-003  1.510734019997E+001 -1.159941127608E+002
  6.293995911626E-004  1.574159134560E-004  9.520769797917E-003  1.509023168348E+001 -1.158868848603E+002
  7.966726389934E-004  1.771323769912E-004  1.204333813733E-002  1.507085709134E+001 -1.157654181811E+002
  9.836689940782E-004  1.968627874036E-004  1.485951025078E-002  1.504922206799E+001 -1.156297346977E+002
  1.190403382016E-003  2.166087025496E-004  1.796823207597E-002  1.502533292013E+001 -1.154798590405E+002
  1.416892087541E-003  2.363716828821E-004  2.136833978906E-002  1.499919661609E+001 -1.153158185195E+002
  1.663152957245E-003  2.561532917128E-004  2.505856016375E-002  1.497082078512E+001 -1.151376431491E+002
  1.929205402573E-003  2.759550954757E-004  2.903751096530E-002  1.494021371656E+001 -1.149453656756E+002
  2.215070403074E-003  2.957786639908E-004  3.330370137953E-002  1.490738435904E+001 -1.147390216071E+002
  2.520770509919E-003  3.156255707300E-004  3.785553247706E-002  1.487234231942E+001 -1.145186492450E+002
  2.846329849692E-003  3.354973930828E-004  4.269129771296E-002  1.483509786176E+001 -1.142842897168E+002
  3.191774128432E-003  3.553957126240E-004  4.780918346202E-002  1.479566190611E+001 -1.140359870118E+002
  3.557130635959E-003  3.753221153821E-004  5.320726958988E-002  1.475404602726E+001 -1.137737880178E+002
  3.942428250463E-003  3.952781921092E-004  5.888353006015E-002  1.471026245329E+001 -1.134977425593E+002
  4.347697443358E-003  4.152655385525E-004  6.483583357789E-002  1.466432406404E+001 -1.132079034376E+002
  4.772970284417E-003  4.352857557265E-004  7.106194426957E-002  1.461624438947E+001 -1.129043264719E+002
  5.218280447175E-003  4.553404501876E-004  7.755952239983E-002  1.456603760784E+001 -1.125870705415E+002
  5.683663214611E-003  4.754312343099E-004  8.432612512519E-002  1.451371854375E+001 -1.122561976297E+002
  6.169155485101E-003  4.955597265624E-004  9.135920728509E-002  1.445930266608E+001 -1.119117728678E+002
  6.674795778653E-003  5.157275517886E-004  9.865612223038E-002  1.440280608568E+001 -1.115538645807E+002
  7.200624243425E-003  5.359363414876E-004  1.062141226896E-001  1.434424555295E+001 -1.111825443326E+002
  7.746682662519E-003  5.561877340970E-004  1.140303616733E-001  1.428363845526E+001 -1.107978869736E+002
  8.313014461060E-003  5.764833752781E-004  1.221018934163E-001  1.422100281412E+001 -1.103999706864E+002
  8.899664713569E-003  5.968249182030E-004  1.304256743593E-001  1.415635728224E+001 -1.099888770336E+002
  9.506680151615E-003  6.172140238444E-004  1.389985641677E-001  1.408972114026E+001 -1.095646910043E+002
  1.013410917176E-002  6.376523612666E-004  1.478173267912E-001  1.402111429345E+001 -1.091275010617E+002
  1.078200184380E-002  6.581416079202E-004  1.568786315611E-001  1.395055726798E+001 -1.086773991896E+002
  1.145040991929E-002  6.786834499385E-004  1.661790543276E-001  1.387807120717E+001 -1.082144809384E+002
  1.213938684040E-002  6.992795824361E-004  1.757150786368E-001  1.380367786732E+001 -1.077388454717E+002
  1.284898774901E-002  7.199317098113E-004  1.854830969471E-001  1.372739961341E+001 -1.072505956102E+002
  1.357926949620E-002  7.406415460502E-004  1.954794118856E-001  1.364925941452E+001 -1.067498378766E+002
  1.433029065191E-002  7.614108150341E-004  2.057002375449E-001  1.356928083895E+001 -1.062366825379E+002
  1.510211151509E-002  7.822412508494E-004  2.161417008199E-001  1.348748804906E+001 -1.057112436477E+002
  1.589479412397E-002  8.031345981016E-004  2.267998427845E-001  1.340390579593E+001 -1.051736390856E+002
  1.670840226680E-002  8.240926122311E-004  2.376706201096E-001  1.331855941359E+001 -1.046239905962E+002
  1.754300149280E-002  8.451170598329E-004  2.487499065206E-001  1.323147481305E+001 -1.040624238259E+002
  1.839865912351E-002  8.662097189796E-004  2.600334942964E-001  1.314267847594E+001 -1.034890683572E+002
  1.927544426443E-002  8.873723795480E-004  2.715170958082E-001  1.305219744795E+001 -1.029040577415E+002
  2.017342781695E-002  9.086068435487E-004  2.831963450988E-001  1.296005933182E+001 -1.023075295295E+002
  2.109268249069E-002  9.299149254598E-004  2.950667995032E-001  1.286629228005E+001 -1.016996252986E+002
  2.203328281612E-002  9.512984525641E-004  3.071239413084E-001  1.277092498732E+001 -1.010804906779E+002
  2.299530515754E-002  9.727592652906E-004  3.193631794547E-001  1.267398668247E+001 -1.004502753704E+002
  2.397882772639E-002  9.942992175591E-004  3.317798512759E-001  1.257550712020E+001 -9.980913317219E+001
  2.498393059493E-002  1.015920177130E-003  3.443692242808E-001  1.247551657235E+001 -9.915722198834E+001
  2.601069571024E-002  1.037624025957E-003  3.571264979730E-001  1.237404581889E+001 -9.849470384526E+001
  2.705920690860E-002  1.059412660547E-003  3.700468057115E-001  1.227112613843E+001 -9.782174489987E+001
  2.812954993023E-002  1.081287992318E-003  3.831252166093E-001  1.216678929848E+001 -9.713851544488E+001
  2.922181243436E-002  1.103251947969E-003  3.963567374720E-001  1.206106754520E+001 -9.644518991033E+001
  3.033608401473E-002  1.125306469854E-003  4.097363147733E-001  1.195399359289E+001 -9.574194686104E+001
  3.147245621542E-002  1.147453516351E-003  4.232588366700E-001  1.184560061293E+001 -9.502896899004E+001
  3.263102254705E-002  1.169695062249E-003  4.369191350537E-001  1.173592222249E+001 -9.430644310767E+001
  3.381187850339E-002  1.192033099133E-003  4.507119876394E-001  1.162499247276E+001 -9.357456012629E+001
  3.501512157837E-002  1.214469635775E-003  4.646321200907E-001  1.151284583675E+001 -9.283351504045E+001
  3.624085128345E-002  1.237006698530E-003  4.786742081806E-001  1.139951719672E+001 -9.208350690243E+001
  3.748916916538E-002  1.259646331739E-003  4.928328799876E-001  1.128504183128E+001 -9.132473879295E+001
  3.876017882444E-002  1.282390598136E-003  5.071027181257E-001  1.116945540191E+001 -9.055741778708E+001
  4.005398593302E-002  1.305241579266E-003  5.214782620079E-001  1.105279393929E+001 -8.978175491507E+001
  4.137069825459E-002  1.328201375897E-003  5.359540101428E-001  1.093509382902E+001 -8.899796511815E+001
  4.271042566323E-002  1.351272108452E-003  5.505244224626E-001  1.081639179708E+001 -8.820626719916E+001
  4.407328016341E-002  1.374455917436E-003  5.651839226815E-001  1.069672489487E+001 -8.740688376790E+001
  4.545937591035E-002  1.397754963880E-003  5.799269006847E-001  1.057613048374E+001 -8.660004118115E+001
  4.686882923075E-002  1.421171429779E-003  5.947477149453E-001  1.045464621930E+001 -8.578596947732E+001
  4.830175864396E-002  1.444707518548E-003  6.096406949689E-001  1.033231003519E+001 -8.496490230565E+001
  4.975828488365E-002  1.468365455478E-003  6.246001437647E-001  1.020916012657E+001 -8.413707684988E+001
